N	2gram	Medvedev_U_1	FransuaR
1	и в	14	56
2	в его	2	18
3	таким образом	2	17
4	в этом	7	14
5	в том	2	13
6	в то	3	12
7	то же	5	11
8	же время	3	10
9	только в	2	9
10	в самом	2	9
11	но и	4	9
12	и не	8	9
13	том что	2	8
14	не только	10	8
15	сих пор	2	8
16	все это	5	8
17	до сих	2	8
18	и с	2	8
19	в частности	3	7
20	все они	2	6
21	прежде всего	8	6
22	в этой	4	6
23	но в	3	6
24	но не	2	5
25	с его	2	5
26	как и	3	5
27	одним из	2	5
28	в области	3	5
29	что все	2	4
30	в себе	2	4
31	конечно не	4	4
32	всех этих	2	3
33	может быть	6	3
34	меньшей степени	2	3
35	в некоторых	2	3
36	что и	2	3
37	то что	7	3
38	в их	4	3
39	не в	2	3
40	между тем	2	3
41	на эту	2	3
42	и т.д	3	3
43	если бы	2	2
44	с другой	4	2
45	это не	3	2
46	не как	3	2
47	что он	2	2
48	бы и	2	2
49	ни было	3	2
50	но это	2	2
51	для него	3	2
52	было бы	3	2
53	фактов и	2	2
54	все же	3	2
55	в своей	3	2
56	самом деле	2	2
57	что она	2	2
58	другой стороны	3	2
59	как раз	2	2
60	не может	7	2
61	то ни	3	2
62	а не	10	2
63	и для	2	2
64	бы то	3	2
65	мы не	2	2
66	и то	3	2
67	их и	2	2
