N	2gram	Tiupa_Hudo_2	Istorich
1	и в	28	25
2	что он	8	22
3	вместе с	2	22
4	и т	4	20
5	т д	2	18
6	может быть	8	17
7	т е	2	16
8	не только	11	13
9	но и	9	13
10	в его	11	12
11	и не	18	11
12	уже не	10	11
13	все же	2	10
14	в этом	13	10
15	тем что	6	10
16	с другой	3	9
17	его в	2	9
18	и его	5	9
19	в виде	2	9
20	что в	5	8
21	мы знаем	2	8
22	том что	19	8
23	еще не	3	8
24	на него	3	8
25	и на	3	8
26	в частности	7	7
27	в качестве	4	7
28	как и	11	7
29	то что	6	7
30	одной стороны	3	7
31	в нем	3	7
32	с одной	3	7
33	превращается в	4	7
34	потому что	2	7
35	только в	4	7
36	о том	12	7
37	в этих	3	6
38	это не	6	6
39	прежде всего	3	6
40	этот мотив	2	6
41	что и	4	6
42	себя в	8	6
43	как в	5	6
44	не может	4	6
45	и он	3	6
46	не в	13	6
47	или в	3	6
48	в том	15	6
49	что это	5	5
50	как мы	2	5
51	для нас	3	5
52	но не	4	5
53	в ней	3	5
54	так же	3	5
55	не менее	5	4
56	что у	3	4
57	не как	2	4
58	что все	3	4
59	с другими	3	4
60	тем не	4	4
61	в ее	18	4
62	мы уже	3	4
63	наряду с	5	4
64	же как	2	4
65	все это	3	4
66	то же	6	4
67	он не	4	4
68	и это	3	4
69	с ним	7	4
70	того как	2	4
71	никогда не	5	3
72	и все	7	3
73	ему в	2	3
74	в этой	5	3
75	в то	6	3
76	того чтобы	4	3
77	в роли	2	3
78	о нем	2	3
79	если в	2	3
80	на себя	3	3
81	на этом	2	3
82	для того	4	3
83	к нему	3	3
84	а в	6	3
85	в данном	2	3
86	и с	6	3
87	человека в	4	3
88	героя и	3	3
89	ей в	2	3
90	перед нами	11	2
91	ли он	2	2
92	это уже	2	2
93	у него	5	2
94	его и	2	2
95	человека и	3	2
96	вовсе не	2	2
97	а как	2	2
98	можно сказать	6	2
99	об этом	7	2
100	о которых	2	2
101	одна из	2	2
102	как у	2	2
103	до сих	2	2
104	она не	5	2
105	в это	3	2
106	и сам	5	2
107	жизни и	6	2
108	несмотря на	3	2
109	если бы	6	2
110	во сне	3	2
111	как бы	5	2
112	один из	2	2
113	сих пор	2	2
114	в своей	6	2
115	отношению к	7	2
116	данном случае	2	2
117	со стороны	3	2
118	говорит о	4	2
119	по отношению	7	2
120	и для	2	2
121	самом деле	3	2
122	именно на	2	2
123	а не	14	2
124	в других	4	2
125	роль в	2	2
126	то в	4	2
127	сказать что	2	2
128	точки зрения	2	2
129	из них	2	2
130	ничего не	5	2
131	о чем	8	2
132	все его	3	2
133	это было	2	2
134	том как	2	2
