N	2gram	Tiupa_Teor_1	Literetu
1	а не	9	20
2	и в	18	19
3	может быть	17	17
4	в стихотворении	4	13
5	своего рода	7	13
6	то же	7	12
7	и не	13	11
8	и т.п	4	10
9	в том	16	10
10	как и	4	10
11	но и	9	10
12	лирический герой	2	10
13	состоит в	17	9
14	же время	5	9
15	такого рода	8	9
16	не может	4	9
17	тогда как	15	9
18	в мире	19	9
19	в этом	8	9
20	в то	6	9
21	с другой	7	8
22	не только	16	8
23	и даже	2	8
24	том что	9	7
25	то что	3	7
26	так и	10	7
27	с одной	2	7
28	я в	16	7
29	и т.д	3	7
30	не менее	4	6
31	однако в	7	6
32	в себе	9	6
33	одной стороны	2	6
34	при этом	12	6
35	себя в	6	6
36	конечном счете	6	5
37	столь же	2	5
38	я не	2	5
39	у нас	2	5
40	но не	9	5
41	в качестве	24	5
42	он не	3	5
43	в конечном	6	5
44	на фоне	2	5
45	вместе с	2	5
46	так в	4	5
47	того что	4	5
48	в принципе	4	5
49	то есть	12	5
50	в рамках	7	4
51	лирическое я	2	4
52	что в	9	4
53	в частности	16	4
54	жизни в	2	4
55	прежде всего	2	4
56	не в	7	4
57	отнюдь не	3	4
58	того же	3	4
59	для него	2	4
60	в его	6	4
61	даже в	3	4
62	один из	2	4
63	другой стороны	5	4
64	причастности к	2	4
65	по отношению	4	4
66	точки зрения	9	4
67	в искусстве	6	4
68	лирического героя	4	4
69	в русской	6	4
70	не случайно	5	4
71	в области	4	4
72	я и	2	4
73	обращается к	2	3
74	никогда не	4	3
75	о себе	2	3
76	в поэзии	2	3
77	личности в	3	3
78	в себя	3	3
79	русской поэзии	2	3
80	в нем	4	3
81	и как	2	3
82	одним из	2	3
83	в этой	3	3
84	лирического я	3	3
85	не с	3	3
86	отношению к	4	3
87	в культуре	2	3
88	данном случае	5	3
89	со стороны	2	3
90	а именно	2	3
91	в их	2	3
92	и для	2	3
93	всего лишь	6	3
94	тем самым	4	3
95	с точки	3	3
96	а в	13	3
97	и его	8	3
98	и то	2	3
99	я на	3	3
100	в данном	8	3
101	как к	2	3
102	в другом	3	3
103	как правило	4	3
104	в равной	3	3
105	без остатка	2	3
106	том числе	2	2
107	к жизни	2	2
108	в нашем	4	2
109	могут служить	2	2
110	не является	4	2
111	в них	2	2
112	в какой	2	2
113	в противоположность	2	2
114	в конце	2	2
115	в виду	5	2
116	в одном	2	2
117	в жизни	2	2
118	вовсе не	3	2
119	и к	3	2
120	а также	6	2
121	жизни как	4	2
122	равной степени	3	2
123	в ее	5	2
124	системе ценностей	3	2
125	тем не	3	2
126	присутствия в	6	2
127	еще не	4	2
128	со своей	3	2
129	одной из	2	2
130	в роли	3	2
131	как бы	5	2
132	не вполне	2	2
133	если в	2	2
134	духовной культуры	2	2
135	эстетических отношений	3	2
136	что и	2	2
137	с ее	3	2
138	в целом	3	2
139	могут быть	4	2
140	по преимуществу	4	2
141	русской литературе	2	2
142	как раз	2	2
143	и одновременно	4	2
144	способ существования	2	2
145	уже не	4	2
146	и что	3	2
147	художественного мира	2	2
148	не знает	3	2
149	являет собой	2	2
150	то в	2	2
151	потому что	3	2
152	в основе	3	2
153	на себя	2	2
154	соответствии с	2	2
155	из тех	2	2
156	произведения искусства	2	2
157	в художественном	3	2
158	представляет собой	9	2
159	как это	8	2
160	но в	9	2
