N	2gram	Tiupa_Anal_3	Tragedij
1	и в	18	18
2	в романе	2	10
3	в году	3	9
4	в этом	14	9
5	не только	22	8
6	и не	12	7
7	и на	4	7
8	может быть	9	7
9	как бы	10	7
10	что он	4	6
11	и его	13	6
12	же время	3	6
13	ивана петровича	10	6
14	но в	2	6
15	все же	4	5
16	к жизни	3	5
17	так и	14	5
18	это не	2	5
19	не может	2	5
20	то же	3	5
21	в дальнейшем	2	5
22	как и	14	5
23	в то	3	5
24	несмотря на	2	5
25	но и	13	4
26	то что	2	4
27	в целом	3	4
28	что в	9	4
29	все это	3	4
30	прежде всего	5	4
31	и все	2	4
32	в нем	2	4
33	и даже	8	4
34	том что	12	4
35	в этой	6	4
36	в себе	2	4
37	еще не	6	4
38	об этом	2	4
39	уже в	3	3
40	один из	2	3
41	с ее	3	3
42	о чем	4	3
43	отнюдь не	4	3
44	в своем	4	3
45	в конце	5	3
46	как в	3	3
47	все эти	2	3
48	тем самым	4	3
49	жизнь и	3	3
50	и он	2	3
51	и как	4	3
52	в его	7	3
53	для него	6	3
54	при этом	11	3
55	и сам	4	3
56	своего рода	8	3
57	в мире	5	3
58	как это	3	3
59	то есть	10	3
60	перед нами	4	2
61	но они	2	2
62	что и	5	2
63	только к	2	2
64	как говорит	3	2
65	в частности	12	2
66	в отличие	2	2
67	данном случае	3	2
68	который в	3	2
69	уже не	5	2
70	бы и	2	2
71	с его	8	2
72	к тому	6	2
73	столь же	4	2
74	о его	2	2
75	и здесь	2	2
76	в ее	3	2
77	в том	9	2
78	поведение в	2	2
79	говорит о	2	2
80	отличие от	2	2
81	не в	6	2
82	в глазах	2	2
83	в данном	4	2
84	не случайно	8	2
85	одна из	2	2
86	в первом	2	2
87	лицо его	2	2
88	с тем	2	2
89	тем что	2	2
90	личности и	2	2
91	его за	2	2
92	в глаза	2	2
93	он и	3	2
94	и ее	2	2
95	на меня	2	2
96	по поводу	3	2
97	о том	6	2
98	его в	3	2
99	в самом	5	2
100	во сне	3	2
101	не мог	2	2
102	ничего не	3	2
103	он не	6	2
104	в одном	4	2
105	что она	2	2
106	никогда не	5	2
