N	2gram	Savitsky_P_1	VrazhdaK
1	и достоевского	2	9
2	не только	17	9
3	в этом	10	8
4	и в	14	8
5	но и	6	7
6	что в	4	7
7	то что	4	7
8	в котором	4	6
9	в нем	3	6
10	в начале	2	6
11	но в	9	6
12	и с	2	6
13	то же	9	5
14	не было	2	5
15	и не	12	5
16	между тем	3	5
17	в то	7	5
18	же время	7	5
19	в россии	3	5
20	для нас	2	4
21	как бы	4	4
22	все это	2	4
23	это не	3	4
24	может быть	5	4
25	в ней	6	4
26	в своем	4	3
27	т е	3	3
28	в том	9	3
29	том что	4	3
30	и как	3	3
31	в его	2	3
32	в русской	4	3
33	наряду с	3	3
34	и о	5	3
35	и это	2	2
36	из них	2	2
37	не менее	2	2
38	отнюдь не	2	2
39	в них	2	2
40	столь же	3	2
41	россии в	5	2
42	как раз	2	2
43	не может	4	2
44	а в	4	2
45	отношения к	2	2
46	с точки	3	2
47	же в	4	2
48	и дети	2	2
49	тем более	2	2
50	а н	5	2
51	точки зрения	3	2
52	в себе	3	2
53	в мире	2	2
54	одна из	2	2
55	в эту	2	2
56	а также	4	2
