N	2gram	Vygotskiy__6	Vvedenie
1	и в	28	32
2	в том	28	31
3	в этом	27	30
4	может быть	13	26
5	том что	19	26
6	не только	16	22
7	для того	8	21
8	того чтобы	10	20
9	таким образом	18	19
10	то что	28	16
11	потому что	22	15
12	так как	10	15
13	не может	19	14
14	в самом	8	13
15	в нем	7	13
16	того что	24	12
17	в их	3	12
18	и не	11	12
19	как на	3	12
20	представляет собой	3	12
21	в его	3	12
22	только в	18	12
23	как мы	10	11
24	что такое	3	11
25	ясно что	4	11
26	в данном	2	11
27	языка и	5	10
28	что в	17	10
29	но в	5	9
30	и как	6	9
31	этом смысле	2	9
32	по себе	3	9
33	то же	7	9
34	в той	4	9
35	не менее	2	8
36	с другой	2	8
37	это не	5	8
38	а только	2	8
39	не в	4	8
40	именно в	4	8
41	прежде всего	2	7
42	вопрос о	5	7
43	точки зрения	13	7
44	но не	10	7
45	было бы	9	7
46	все же	2	7
47	дело с	2	7
48	самом деле	2	7
49	можно было	7	7
50	не могут	5	6
51	из этих	3	6
52	до сих	3	6
53	один из	3	6
54	но и	10	6
55	все это	2	6
56	о природе	2	6
57	в то	6	6
58	его в	6	6
59	с тем	5	6
60	представить себе	3	6
61	как и	6	6
62	в качестве	4	6
63	сих пор	3	6
64	и его	3	6
65	этот вопрос	3	6
66	тем что	8	6
67	так что	6	5
68	на этот	4	5
69	но если	4	5
70	как бы	11	5
71	и тем	5	5
72	в целом	3	5
73	другой стороны	2	5
74	одним из	2	5
75	в которых	2	5
76	сказать что	13	5
77	в них	3	5
78	по своему	2	5
79	вместе с	7	5
80	а не	3	5
81	могут быть	5	5
82	представляют собой	3	5
83	на вопрос	2	4
84	независимо от	3	4
85	с этой	2	4
86	в каждом	3	4
87	и обратно	4	4
88	этом случае	2	4
89	в котором	2	4
90	по мере	3	4
91	по отношению	10	4
92	этом отношении	3	4
93	и что	6	4
94	не имеет	6	4
95	а в	2	4
96	в первом	4	4
97	как это	3	4
98	мы имеем	4	4
99	от этого	3	4
100	должен был	3	4
101	сравнению с	14	4
102	в разных	5	4
103	относящихся к	3	4
104	что он	18	4
105	еще не	8	4
106	отношению к	10	4
107	по сравнению	15	4
108	в своей	2	4
109	только что	2	4
110	внимание на	2	4
111	как раз	6	4
112	связи между	6	4
113	речь в	2	4
114	той же	4	4
115	и то	4	4
116	в себе	4	4
117	этого понятия	3	4
118	и т.д	3	4
119	за собой	3	3
120	он сам	2	3
121	зависит от	3	3
122	в частности	4	3
123	в этих	2	3
124	вообще не	6	3
125	в конце	2	3
126	раньше чем	2	3
127	можно сказать	6	3
128	к тому	10	3
129	только по	4	3
130	в этой	5	3
131	на этом	4	3
132	но что	4	3
133	что с	3	3
134	до конца	3	3
135	при этом	3	3
136	хотя и	3	3
137	себе что	2	3
138	мы видели	8	3
139	на этой	5	3
140	отношение к	7	3
141	во второй	2	3
142	из них	2	3
143	на том	2	3
144	отношений между	10	3
145	в своем	7	3
146	все эти	2	3
147	и других	7	3
148	этой области	2	3
149	заключается в	7	3
150	так же	15	3
151	и на	5	3
152	языка в	2	3
153	действительность в	2	3
154	тогда когда	6	3
155	если бы	7	3
156	с понятием	2	3
157	и к	6	3
158	что уже	2	3
159	связи с	3	3
160	в чем	6	3
161	чем в	2	3
162	в одном	2	3
163	своей природе	4	3
164	в сущности	7	3
165	как оно	3	3
166	что и	4	3
167	каждой из	2	3
168	он мог	2	3
169	но с	2	3
170	вот почему	2	3
171	и вообще	2	3
172	в области	6	3
173	как только	2	2
174	все время	3	2
175	же как	6	2
176	до того	3	2
177	казалось бы	2	2
178	и другие	2	2
179	все более	2	2
180	никогда не	8	2
181	не иначе	4	2
182	тому что	11	2
183	для этого	2	2
184	в отношении	10	2
185	само собой	2	2
186	мы называем	2	2
187	это в	2	2
188	работа над	2	2
189	это есть	3	2
190	но это	2	2
191	что если	2	2
192	несмотря на	2	2
193	и той	3	2
194	значительной мере	2	2
195	мог бы	3	2
196	и др	2	2
197	от того	10	2
198	меньшей мере	2	2
199	во внимание	2	2
200	в связи	2	2
201	мы говорим	2	2
202	с помощью	13	2
203	во втором	3	2
204	к таким	2	2
205	принять во	2	2
206	с этим	4	2
207	нуждается в	3	2
208	и здесь	3	2
209	же самое	6	2
210	могут не	2	2
211	когда мы	6	2
212	бы в	3	2
213	так и	6	2
214	этих понятий	2	2
215	на котором	2	2
216	лежит в	3	2
217	состоит в	2	2
218	по самой	5	2
219	не с	2	2
220	что научное	2	2
221	у нас	2	2
222	по существу	2	2
223	самой своей	4	2
224	что чем	2	2
225	того же	7	2
226	во всех	4	2
227	что мы	11	2
228	мы должны	3	2
229	для объяснения	2	2
230	мы уже	2	2
231	себе и	2	2
232	том же	5	2
233	этого слова	2	2
234	и развития	6	2
235	с ней	3	2
236	мысли и	2	2
237	только на	2	2
238	понятия в	6	2
239	связь между	4	2
240	того как	5	2
241	хотя в	2	2
242	одной и	3	2
243	из того	5	2
244	в значительной	2	2
245	между ними	7	2
246	с точки	10	2
247	мы не	6	2
248	у них	2	2
249	языка на	2	2
250	исследования и	3	2
251	в силу	17	2
252	мы можем	9	2
253	в другом	2	2
254	в каждой	4	2
255	не могли	5	2
