N	2gram	Kanaev_Sov_1	FransuaR
1	и в	7	29
2	таким образом	11	20
3	и не	6	16
4	и все	3	13
5	в этой	3	13
6	как и	6	12
7	но в	3	12
8	в этом	7	11
9	то же	3	10
10	как мы	2	10
11	не только	4	10
12	в конце	3	9
13	все эти	5	9
14	прежде всего	5	8
15	в его	2	8
16	как бы	4	8
17	мы видели	4	7
18	в том	4	7
19	так как	4	7
20	из них	4	6
21	что это	2	5
22	у него	2	5
23	это не	4	5
24	в нем	3	5
25	и по	2	5
26	в нашем	2	4
27	еще не	3	4
28	и есть	2	4
29	жизни и	4	4
30	все это	3	4
31	с помощью	4	4
32	в результате	6	4
33	точки зрения	12	4
34	в которой	2	4
35	самого начала	3	3
36	все же	3	3
37	с самого	3	3
38	в дальнейшем	4	3
39	мы видим	2	3
40	такой же	2	3
41	мы можем	6	3
42	ведь это	3	3
43	тот же	2	3
44	той же	2	3
45	при этом	3	3
46	и они	2	3
47	и даже	2	3
48	роль в	2	3
49	в себе	3	3
50	уже в	3	2
51	времени и	2	2
52	но мы	3	2
53	и к	3	2
54	на этом	2	2
55	как известно	2	2
56	не может	17	2
57	и мы	3	2
58	на его	2	2
59	может быть	12	2
60	уже не	2	2
61	все те	2	2
62	дает нам	2	2
63	на котором	2	2
64	на этой	3	2
65	с одной	2	2
66	на их	2	2
67	и наконец	5	2
68	с точки	5	2
69	их в	4	2
70	в один	2	2
71	если же	2	2
72	как он	3	2
73	так сказать	2	2
