N	2gram	Vygotskiy__3	Vladivir
1	и в	25	31
2	не только	6	24
3	но и	4	19
4	то что	15	18
5	и не	10	17
6	том что	20	14
7	что в	17	14
8	в этом	14	14
9	что он	6	12
10	в его	15	12
11	с его	2	11
12	в том	23	11
13	потому что	6	11
14	о том	5	11
15	так что	2	10
16	и то	2	10
17	он не	4	10
18	никогда не	4	9
19	как мы	8	9
20	а в	4	9
21	в течение	2	9
22	только в	10	9
23	и по	5	8
24	в то	4	8
25	так как	12	8
26	уже в	7	7
27	для него	5	7
28	об этом	2	7
29	и его	2	7
30	как это	7	7
31	сказать что	4	7
32	мы уже	5	7
33	к этому	3	6
34	и к	5	6
35	в качестве	12	6
36	того же	6	6
37	и потому	2	6
38	и сам	3	6
39	может быть	13	6
40	в котором	3	6
41	так и	5	6
42	не может	6	6
43	то же	2	6
44	и что	10	6
45	на этот	2	6
46	а с	3	5
47	все это	6	5
48	на то	4	5
49	не в	6	5
50	но как	3	5
51	и от	2	5
52	а также	2	5
53	что и	10	5
54	когда он	3	5
55	в своих	2	5
56	с ним	4	5
57	в своем	4	4
58	и все	4	4
59	этом смысле	2	4
60	в нем	2	4
61	главным образом	2	4
62	для нас	2	4
63	в себе	2	4
64	как и	15	4
65	и как	5	4
66	мы и	2	4
67	в этой	5	4
68	по своей	7	4
69	такого рода	2	4
70	хотя и	2	4
71	еще в	2	4
72	и особенно	2	4
73	один из	6	4
74	в своей	2	4
75	и у	6	4
76	во всем	3	4
77	как он	3	4
78	мы увидим	4	3
79	но только	3	3
80	но на	3	3
81	к тому	4	3
82	в виде	3	3
83	отнюдь не	4	3
84	с другой	6	3
85	в жизни	3	3
86	как в	9	3
87	но не	6	3
88	но это	5	3
89	что они	10	3
90	по своему	11	3
91	тот же	2	3
92	все же	6	3
93	на его	2	3
94	в целом	13	3
95	вместе с	14	3
96	или менее	3	3
97	другой стороны	3	3
98	в отношении	6	3
99	в связи	6	3
100	и речи	20	3
101	таким образом	17	3
102	все эти	7	3
103	здесь мы	2	3
104	не мог	4	3
105	уже не	2	3
106	едва ли	2	3
107	и на	6	3
108	на себя	2	3
109	и здесь	2	3
110	в начале	2	3
111	место в	2	2
112	можно считать	3	2
113	тем что	8	2
114	мы будем	2	2
115	с тем	16	2
116	первый план	2	2
117	не менее	6	2
118	в частности	4	2
119	по этому	3	2
120	от нее	4	2
121	в них	2	2
122	к изучению	2	2
123	не столько	4	2
124	указывает на	2	2
125	то обстоятельство	3	2
126	ясно что	2	2
127	его к	3	2
128	в тех	2	2
129	на первый	2	2
130	тем не	5	2
131	мы знаем	4	2
132	ни в	9	2
133	этот момент	2	2
134	на этом	3	2
135	все что	2	2
136	то время	4	2
137	это мы	2	2
138	что с	4	2
139	еще не	4	2
140	при этом	5	2
141	того что	10	2
142	было бы	10	2
143	некоторое время	2	2
144	нее в	2	2
145	в самом	3	2
146	одним из	5	2
147	всяком случае	4	2
148	виде в	2	2
149	к жизни	2	2
150	этом и	2	2
151	из них	4	2
152	что она	5	2
153	только что	2	2
154	которых он	2	2
155	то и	4	2
156	и для	2	2
157	и других	2	2
158	на основании	11	2
159	тем самым	2	2
160	того чтобы	8	2
161	для того	7	2
162	что мы	7	2
163	как на	2	2
164	той же	4	2
165	с ними	3	2
166	а по	2	2
167	в результате	3	2
168	во всяком	4	2
169	точки зрения	6	2
170	связи со	2	2
171	в каком	2	2
172	обстоятельство что	3	2
173	из этих	4	2
174	того и	2	2
175	о котором	2	2
176	мы должны	6	2
177	и это	4	2
178	в чем	2	2
