N	2gram	Tiupa_Lite_3	DiskursI
1	в качестве	5	34
2	не только	14	28
3	в том	12	23
4	а не	12	22
5	то есть	5	20
6	том что	8	19
7	тогда как	17	19
8	может быть	12	17
9	представляет собой	2	17
10	и в	16	16
11	как и	5	16
12	в этом	14	15
13	еще не	6	14
14	но и	14	14
15	коммуникативного события	5	14
16	при этом	15	13
17	и т.п	6	12
18	прежде всего	3	11
19	но не	4	11
20	и не	22	11
21	по своей	3	11
22	с другой	6	10
23	как в	5	10
24	далеко не	2	10
25	в частности	11	9
26	состоит в	6	9
27	в нем	2	9
28	отношению к	4	9
29	одной стороны	4	9
30	по отношению	4	9
31	не может	8	9
32	с одной	4	9
33	а также	4	8
34	отнюдь не	3	8
35	своего рода	10	8
36	так и	9	8
37	о том	6	8
38	но в	3	8
39	в основе	5	7
40	в его	6	7
41	со стороны	7	7
42	то же	9	7
43	в себе	6	7
44	только в	7	7
45	не в	10	7
46	и как	3	6
47	ни к	3	6
48	в рамках	4	5
49	к тому	6	5
50	или иной	2	5
51	можно сказать	2	5
52	тому же	5	5
53	как бы	8	5
54	в своей	7	5
55	то что	12	5
56	во всех	2	5
57	коммуникативное событие	4	5
58	в отличие	5	5
59	а в	5	5
60	отличие от	5	5
61	и на	2	5
62	в данном	4	5
63	с его	6	4
64	что в	2	4
65	в сторону	3	4
66	для себя	2	4
67	во втором	2	4
68	не как	2	4
69	и к	3	4
70	что он	5	4
71	уже не	3	4
72	для него	2	4
73	в целом	5	4
74	же время	7	4
75	связи с	2	4
76	на его	3	4
77	такого рода	10	4
78	отношение к	2	4
79	внимание на	2	4
80	лишь в	5	4
81	по рассуждению	3	4
82	что не	2	4
83	потому что	3	4
84	между тем	3	4
85	однако в	4	3
86	литературной традиции	2	3
87	того же	2	3
88	это не	5	3
89	по мысли	6	3
90	вследствие этого	2	3
91	по себе	2	3
92	что и	2	3
93	в ее	5	3
94	в ситуации	2	3
95	эстетической деятельности	2	3
96	в свою	2	3
97	в самом	3	3
98	той или	2	3
99	еще в	3	3
100	один из	2	3
101	не с	2	3
102	на смену	3	3
103	все же	2	3
104	из них	4	3
105	именно в	5	3
106	того что	9	3
107	другой стороны	2	3
108	и даже	2	3
109	в своих	2	3
110	тем что	2	3
111	точки зрения	7	3
112	в то	9	3
113	тому как	3	3
114	в первом	2	3
115	и потому	2	3
116	в каждой	2	3
117	мира в	3	3
118	в противоположность	2	2
119	то она	2	2
120	не менее	2	2
121	никогда не	4	2
122	и одновременно	2	2
123	том числе	3	2
124	а.н веселовского	2	2
125	к себе	8	2
126	за его	2	2
127	в одном	4	2
128	сказать и	2	2
129	одного из	2	2
130	к этому	2	2
131	не всегда	2	2
132	в году	5	2
133	стороны и	2	2
134	но одновременно	2	2
135	в г	3	2
136	в соответствии	3	2
137	эстетического субъекта	7	2
138	более того	3	2
139	е годы	9	2
140	числе и	2	2
141	в начале	4	2
142	в принципе	2	2
143	текста и	2	2
144	одним из	4	2
145	хотя и	4	2
146	о нем	2	2
147	например в	3	2
148	оно не	2	2
149	говоря уже	4	2
150	и тем	3	2
151	с ее	3	2
152	а по	2	2
153	себя в	7	2
154	когда он	2	2
155	в е	8	2
156	в тексте	4	2
157	данном случае	4	2
158	человеческого присутствия	2	2
159	жизни в	4	2
160	для своего	2	2
161	отношения к	3	2
162	человека в	2	2
163	как мы	2	2
164	том чтобы	2	2
165	х годов	15	2
166	и его	6	2
167	начале х	3	2
168	следует признать	2	2
169	подобно тому	2	2
170	на себя	2	2
171	и ее	2	2
172	соответствии с	5	2
173	в другом	6	2
174	не говоря	4	2
175	же самое	2	2
176	в этой	8	2
177	по этой	2	2
178	и адресата	2	2
179	уже о	3	2
180	едва ли	3	2
181	особого рода	5	2
182	о чем	3	2
