N	2gram	Bakhtin_fo_1	TeoriaLi
1	не только	9	18
2	в качестве	3	17
3	и не	14	16
4	а в	3	14
5	в частности	6	13
6	и в	50	13
7	может быть	11	12
8	так и	12	12
9	то есть	33	12
10	при этом	3	11
11	в этом	25	11
12	в том	9	11
13	но не	5	10
14	а не	3	10
15	и его	16	10
16	в его	13	9
17	то же	11	9
18	что в	5	8
19	отношению к	5	8
20	но и	8	8
21	по отношению	3	8
22	в себе	3	7
23	том что	4	7
24	в отличие	2	7
25	в данном	2	7
26	точки зрения	5	7
27	в то	9	7
28	только в	4	7
29	отличие от	2	7
30	место в	2	6
31	с его	9	6
32	же время	9	6
33	еще не	5	6
34	лишь в	6	6
35	как бы	2	6
36	но в	10	6
37	в своем	4	5
38	или иной	2	5
39	а также	2	5
40	в ее	6	5
41	как и	8	5
42	не в	5	5
43	в пределах	5	5
44	между ними	3	5
45	в самом	8	5
46	в нем	24	5
47	как в	6	5
48	он не	5	5
49	уже не	2	5
50	с другой	2	5
51	героя и	7	5
52	личности и	2	4
53	в свою	2	4
54	ни в	8	4
55	в своей	2	4
56	то что	6	4
57	отношение к	2	4
58	по преимуществу	3	4
59	в форме	3	4
60	в их	6	4
61	и т.п	4	4
62	не может	6	4
63	сказать что	3	4
64	хотя и	3	4
65	но он	2	4
66	и ее	3	4
67	не знает	3	4
68	ни к	3	3
69	в порядке	3	3
70	и др	9	3
71	никогда не	2	3
72	в нашем	2	3
73	в этих	3	3
74	со своей	3	3
75	в отношении	3	3
76	он должен	2	3
77	прежде всего	15	3
78	и к	2	3
79	а только	2	3
80	в соответствии	2	3
81	для него	2	3
82	того что	2	3
83	например в	6	3
84	той или	2	3
85	и потому	3	3
86	на почве	2	3
87	хронотоп в	5	3
88	с ее	6	3
89	во времени	3	3
90	как раз	13	3
91	входит в	3	3
92	таким образом	11	3
93	именно в	3	3
94	мира в	3	3
95	и по	2	3
96	или в	3	3
97	самим собой	2	3
98	и то	4	3
99	потому что	4	3
100	в основе	5	3
101	между двумя	6	3
102	его в	3	3
103	все эти	9	3
104	но на	4	2
105	если бы	5	2
106	была бы	2	2
107	могут быть	5	2
108	себя и	3	2
109	между собой	4	2
110	в конце	9	2
111	жизни в	8	2
112	того же	8	2
113	это не	6	2
114	одного и	5	2
115	на фоне	3	2
116	вовсе не	13	2
117	по себе	2	2
118	в литературе	16	2
119	совершенно иной	3	2
120	к тому	3	2
121	об этом	2	2
122	и того	6	2
123	и как	10	2
124	в присутствии	4	2
125	соответствии с	2	2
126	одной стороны	2	2
127	в глаза	2	2
128	во втором	2	2
129	одно и	3	2
130	одной из	3	2
131	имеет место	3	2
132	этом мире	2	2
133	в виду	3	2
134	частной жизни	23	2
135	к жизни	2	2
136	времени в	7	2
137	не могло	5	2
138	в целом	2	2
139	принадлежит к	2	2
140	во всех	6	2
141	вместе с	3	2
142	но она	2	2
143	могло быть	4	2
144	человеческой жизни	6	2
145	жизни то	2	2
146	здесь не	4	2
147	в романе	32	2
148	и для	4	2
149	с одной	3	2
150	в той	4	2
151	с точки	2	2
152	и даже	2	2
153	во всей	3	2
154	так же	6	2
155	роль в	9	2
156	в мировой	2	2
157	их в	3	2
158	автора и	2	2
159	у него	6	2
160	самим собою	3	2
161	на себя	2	2
162	жизни но	5	2
163	и это	4	2
164	в чем	2	2
165	в которой	2	2
166	отношения к	3	2
167	мире и	2	2
168	имеет в	2	2
