N	2gram	Propp_Russ_1	Vladivir
1	и в	36	40
2	то что	6	28
3	и не	6	25
4	не только	22	25
5	то есть	3	24
6	у него	2	24
7	но и	16	18
8	в том	17	18
9	том что	19	18
10	что в	19	17
11	в этом	12	16
12	так что	2	14
13	в его	2	14
14	не может	4	14
15	точки зрения	3	13
16	в виде	6	13
17	только в	4	13
18	таким образом	6	11
19	потому что	10	11
20	о том	8	11
21	тем не	3	10
22	не просто	2	10
23	и потому	2	10
24	в году	2	10
25	не менее	3	9
26	что это	3	9
27	уже не	6	9
28	и с	2	9
29	в своем	3	8
30	может быть	8	8
31	так же	3	8
32	и что	4	8
33	а также	3	8
34	как мы	10	8
35	а не	2	8
36	к тому	4	7
37	и как	2	7
38	несмотря на	3	7
39	хотя и	2	7
40	там же	5	7
41	а в	9	7
42	в своих	2	7
43	так как	15	7
44	с тем	8	7
45	того что	4	7
46	что и	7	7
47	вместе с	10	7
48	как и	10	7
49	и здесь	2	6
50	и на	10	6
51	об этом	9	6
52	так и	7	6
53	с точки	3	6
54	но это	4	6
55	значит что	2	6
56	для нас	6	5
57	не было	2	5
58	все эти	2	5
59	в ней	2	5
60	тут же	2	5
61	отнюдь не	2	5
62	в древнем	3	5
63	в одном	3	5
64	у нас	8	5
65	между прочим	2	5
66	еще в	4	5
67	только на	3	5
68	тем что	4	5
69	ничего общего	2	5
70	ничего не	3	5
71	но даже	2	4
72	тому что	4	4
73	в дальнейшем	2	4
74	такой же	2	4
75	до конца	2	4
76	не имеет	6	4
77	мы должны	2	4
78	как это	8	4
79	не с	3	4
80	по существу	4	4
81	чем в	2	4
82	но не	2	4
83	еще не	4	4
84	в основном	3	4
85	то же	3	4
86	а с	4	4
87	в течение	5	4
88	все же	5	4
89	но в	2	4
90	независимо от	2	3
91	в качестве	3	3
92	это не	10	3
93	из этих	4	3
94	но все	3	3
95	при этом	6	3
96	как бы	5	3
97	в настоящее	3	3
98	в нем	2	3
99	в связи	4	3
100	настоящее время	3	3
101	в россии	4	3
102	мы имеем	4	3
103	по этому	3	3
104	всякого рода	3	3
105	на самом	2	3
106	находится в	2	3
107	и у	5	3
108	и для	2	3
109	что этот	4	3
110	далеко не	3	3
111	в нашем	2	2
112	в этих	3	2
113	в какой	2	2
114	что на	4	2
115	он был	2	2
116	не можем	3	2
117	но что	2	2
118	в целом	2	2
119	что она	2	2
120	в их	4	2
121	в разных	3	2
122	к тем	3	2
123	и по	8	2
124	это время	2	2
125	и более	2	2
126	с этим	2	2
127	в жизни	2	2
128	к этому	4	2
129	а и	5	2
130	и к	3	2
131	в силу	2	2
132	она не	2	2
133	в это	3	2
134	из них	8	2
135	в этот	10	2
136	как можно	2	2
137	как не	2	2
138	быть и	2	2
139	не на	2	2
140	еще до	2	2
141	мы не	6	2
142	на себя	2	2
143	как например	3	2
144	связи с	4	2
145	в в	2	2
146	которые можно	2	2
147	которые не	3	2
148	же не	2	2
