N	2gram	Trubetskoy_1	Narrotol
1	не только	7	26
2	но и	9	15
3	тогда как	6	15
4	в том	30	14
5	при этом	9	14
6	и не	8	14
7	том что	19	13
8	и в	23	13
9	в этом	12	13
10	в частности	2	11
11	только в	6	11
12	может быть	16	10
13	в данном	3	10
14	к тому	8	9
15	так и	10	9
16	сводится к	2	9
17	а в	3	9
18	то есть	2	9
19	то что	18	8
20	в себе	5	8
21	не может	17	8
22	не в	8	8
23	иначе говоря	4	7
24	никогда не	4	6
25	в своем	10	6
26	в жизни	3	6
27	прежде всего	3	6
28	и к	5	6
29	того что	6	6
30	в его	5	6
31	данном случае	3	6
32	все же	13	6
33	у него	5	6
34	как бы	10	6
35	но в	4	6
36	точки зрения	13	5
37	тем не	4	5
38	что он	7	5
39	одной стороны	2	5
40	хотя и	4	5
41	он не	3	5
42	в котором	2	5
43	я не	2	5
44	в нем	3	5
45	отношению к	9	5
46	на него	2	5
47	по отношению	9	5
48	таким образом	31	5
49	с одной	3	5
50	тем самым	3	5
51	с другой	6	5
52	отличие от	3	5
53	в то	6	5
54	я в	2	5
55	далеко не	5	5
56	о том	7	5
57	что это	5	4
58	не менее	7	4
59	если бы	8	4
60	отнюдь не	2	4
61	в глазах	2	4
62	в конце	4	4
63	тому же	6	4
64	как и	9	4
65	как у	3	4
66	все что	9	4
67	что в	8	4
68	для него	2	4
69	и уже	2	4
70	жизни и	2	4
71	то же	4	4
72	в мире	6	4
73	и у	4	4
74	в силу	7	4
75	в другом	2	4
76	все его	2	4
77	в этой	6	4
78	и т.д	4	4
79	и все	7	4
80	с ним	6	4
81	в себя	2	4
82	тому что	2	3
83	точку зрения	2	3
84	это не	3	3
85	представить себе	2	3
86	о которой	2	3
87	и того	3	3
88	а к	2	3
89	что они	2	3
90	одна из	2	3
91	о котором	7	3
92	но не	2	3
93	же время	2	3
94	и сам	2	3
95	для себя	2	3
96	в целом	5	3
97	на том	2	3
98	между собой	4	3
99	то и	2	3
100	как к	5	3
101	все эти	19	3
102	самом деле	12	3
103	того чтобы	8	3
104	и по	3	3
105	и для	6	3
106	в таком	4	3
107	с ними	2	3
108	с этой	3	3
109	между тем	12	3
110	по своей	7	3
111	же как	3	2
112	только не	2	2
113	можно назвать	3	2
114	одно из	3	2
115	в нашем	3	2
116	двух или	3	2
117	что у	2	2
118	о них	2	2
119	хотя бы	4	2
120	столь же	5	2
121	из этих	8	2
122	вовсе не	2	2
123	вследствие этого	2	2
124	со своими	2	2
125	в свою	2	2
126	на то	9	2
127	для нас	3	2
128	в начале	2	2
129	тем более	3	2
130	и более	2	2
131	по своему	5	2
132	должна быть	5	2
133	что с	5	2
134	еще не	5	2
135	было бы	3	2
136	в самом	8	2
137	несмотря на	6	2
138	может служить	3	2
139	имеет место	2	2
140	ни для	2	2
141	но для	2	2
142	все то	2	2
143	не вполне	3	2
144	что и	7	2
145	не будет	5	2
146	в процессе	2	2
147	давно уже	2	2
148	а с	4	2
149	именно в	5	2
150	у нас	3	2
151	в течение	4	2
152	и состоит	2	2
153	те же	2	2
154	на самом	7	2
155	они не	2	2
156	и что	8	2
157	только что	3	2
158	с точки	8	2
159	по его	2	2
160	так же	8	2
161	как на	4	2
162	или иначе	5	2
163	на одном	2	2
164	в результате	9	2
165	в ней	3	2
166	в виде	4	2
167	в своих	2	2
168	говорить о	2	2
169	бы в	3	2
170	потому что	9	2
171	в области	4	2
172	в сознании	6	2
