N	2gram	Medvedev_F_1	FransuaR
1	и в	24	49
2	прежде всего	22	19
3	в его	23	18
4	не только	7	17
5	и его	10	17
6	и на	8	17
7	и не	20	15
8	в этом	15	15
9	в них	3	13
10	только в	2	13
11	но и	7	13
12	в году	2	13
13	как и	11	11
14	как бы	6	11
15	вовсе не	10	10
16	в этой	6	10
17	все это	9	9
18	для него	3	9
19	и др	5	9
20	в нем	14	9
21	отношение к	3	8
22	все же	3	7
23	один из	3	7
24	жизни и	7	7
25	не может	16	7
26	таким образом	13	7
27	то же	10	7
28	все эти	6	7
29	о мире	2	7
30	как мы	5	7
31	именно в	8	6
32	то что	8	6
33	в литературе	5	6
34	в истории	4	6
35	же время	8	6
36	здесь в	2	6
37	во всех	5	6
38	так и	18	6
39	и с	8	6
40	точки зрения	16	6
41	в то	9	6
42	с его	4	5
43	никогда не	4	5
44	в своем	11	5
45	но не	3	5
46	при этом	5	5
47	может быть	14	5
48	в основном	3	5
49	и потому	9	5
50	в своей	11	5
51	в особенности	3	5
52	с точки	13	5
53	в эту	2	5
54	и более	2	4
55	она была	2	4
56	с другой	5	4
57	в жизни	3	4
58	и к	4	4
59	в себе	3	4
60	но все	2	4
61	одна из	2	4
62	и чисто	2	4
63	в своих	2	4
64	значение в	3	4
65	и до	5	4
66	сих пор	6	4
67	до сих	6	4
68	отношения к	6	4
69	не было	3	4
70	а в	6	4
71	лишь в	8	4
72	как на	4	4
73	в области	3	4
74	с ним	2	4
75	но в	5	4
76	место в	7	3
77	всех этих	3	3
78	с одной	4	3
79	жизни в	2	3
80	в одном	2	3
81	его целом	8	3
82	на все	3	3
83	что он	3	3
84	же в	3	3
85	в ее	8	3
86	в том	6	3
87	во всем	2	3
88	не дает	2	3
89	одной стороны	4	3
90	было бы	6	3
91	в самом	5	3
92	наконец в	3	3
93	и особенно	2	3
94	точка зрения	2	3
95	и со	2	3
96	с ее	7	3
97	мы видели	2	3
98	ни в	2	3
99	и все	6	3
100	и других	3	3
101	культуры и	3	3
102	и вот	2	3
103	менее всего	2	3
104	и это	2	3
105	под влиянием	2	2
106	учение о	4	2
107	связи с	3	2
108	что в	4	2
109	на фоне	3	2
110	отчасти и	4	2
111	перестает быть	3	2
112	за пределы	2	2
113	в нашем	2	2
114	думать что	3	2
115	своей статье	3	2
116	даже и	2	2
117	в отношении	3	2
118	в самой	2	2
119	по существу	2	2
120	это и	3	2
121	но это	3	2
122	лишь как	5	2
123	литературы и	2	2
124	литературы в	8	2
125	громадное значение	3	2
126	так например	3	2
127	ничего не	2	2
128	до конца	7	2
129	в пределах	6	2
130	еще не	6	2
131	в формах	4	2
132	со всеми	3	2
133	своей книге	2	2
134	в эстетике	2	2
135	в новое	2	2
136	в ней	10	2
137	к ней	2	2
138	в него	2	2
139	еще в	2	2
140	метода в	6	2
141	в мире	4	2
142	вполне понятно	2	2
143	в понимании	5	2
144	вместе с	2	2
145	в их	11	2
146	целый ряд	3	2
147	в связи	4	2
148	форм и	6	2
149	на языке	2	2
150	на самом	7	2
151	и даже	3	2
152	так же	4	2
153	особенно в	3	2
154	на основе	6	2
155	жизнь и	3	2
156	во всяком	4	2
157	одной из	2	2
158	на литературу	6	2
159	на его	2	2
160	нельзя понять	3	2
161	как к	3	2
162	метод в	4	2
163	в художественном	3	2
164	в произведении	2	2
165	тех же	2	2
166	здесь не	3	2
167	всяком случае	4	2
