N	3gram	Losev_Dial_1	StatiiOP
1	и т д	19	21
2	в том что	7	17
3	о том что	2	11
4	и т п	2	9
5	можно было бы	4	8
6	с точки зрения	12	8
7	в этом отношении	2	7
8	до сих пор	2	7
9	на самом деле	2	6
10	с другой стороны	4	6
11	во всяком случае	2	6
12	не может быть	3	5
13	то же время	4	4
14	в то же	4	4
15	т д но	2	4
16	на то что	4	4
17	не значит что	3	3
18	и в этом	3	3
19	ничего общего с	3	3
20	то или иное	2	3
21	т д и	2	2
22	не имеет ничего	3	2
23	на точку зрения	2	2
24	с одной стороны	2	2
25	по крайней мере	4	2
26	может быть и	3	2
27	имеет ничего общего	3	2
28	и даже не	2	2
29	что в нем	3	2
