N	2gram	Trubetskoy_1	Otkroven
1	и в	26	19
2	но и	9	13
3	и не	8	13
4	в этом	15	12
5	а не	5	11
6	не в	2	11
7	может быть	10	11
8	не только	10	11
9	и все	2	10
10	в нем	4	10
11	никогда не	5	9
12	не было	2	9
13	в самой	2	9
14	потому что	7	9
15	прежде всего	2	9
16	лишь в	5	7
17	он не	4	7
18	в его	5	7
19	все это	6	6
20	то что	7	5
21	а в	4	5
22	отношение к	5	5
23	в том	11	5
24	для него	3	5
25	в этой	4	5
26	в самом	4	5
27	в россии	2	5
28	с его	2	4
29	того чтобы	5	4
30	все эти	6	4
31	не может	4	4
32	что в	9	4
33	к нему	7	3
34	не могут	2	3
35	в этих	4	3
36	что он	4	3
37	того что	3	3
38	для того	5	3
39	хотя бы	3	3
40	еще не	2	3
41	и от	4	3
42	все что	2	3
43	в себе	6	3
44	когда он	3	3
45	о том	6	3
46	как бы	12	3
47	от человека	2	2
48	подойти к	3	2
49	уже в	2	2
50	все же	6	2
51	что и	6	2
52	он в	2	2
53	и для	5	2
54	с тем	18	2
55	так и	6	2
56	в своем	3	2
57	что все	4	2
58	к этому	3	2
59	и к	5	2
60	не имеет	5	2
61	его не	2	2
62	в которой	3	2
63	в других	3	2
64	том что	7	2
65	так что	3	2
66	ни у	2	2
67	и на	2	2
68	сказать что	2	2
69	и с	10	2
70	учение о	4	2
71	одно из	2	2
72	и нет	3	2
73	на западе	3	2
74	мысль о	2	2
75	русского народа	3	2
76	должен был	4	2
77	так как	9	2
78	и о	3	2
79	и из	2	2
80	но в	7	2
81	и потому	6	2
