N	2gram	Medvedev_U_1	Komedia
1	и в	14	22
2	и не	8	21
3	том что	2	13
4	в том	2	12
5	таким образом	2	12
6	до сих	2	9
7	в самом	2	9
8	сих пор	2	9
9	если бы	2	8
10	что он	2	8
11	в его	2	8
12	что и	2	8
13	в этом	7	8
14	о чем	2	7
15	то же	5	7
16	в конце	2	7
17	может быть	6	6
18	как раз	2	6
19	самом деле	2	6
20	в то	3	6
21	же время	3	5
22	прежде всего	8	5
23	не только	10	5
24	в своей	3	5
25	все это	5	5
26	тем что	2	5
27	более чем	2	5
28	но в	3	5
29	с другой	4	4
30	все же	3	4
31	не в	2	4
32	то что	7	4
33	но и	4	4
34	что она	2	4
35	а не	10	4
36	и для	2	4
37	в себе	2	4
38	хотя бы	5	4
39	и с	2	4
40	с его	2	3
41	в частности	3	3
42	то ни	3	3
43	если не	2	3
44	как и	3	3
45	в этой	4	3
46	было бы	3	3
47	конечно не	4	3
48	не может	7	3
49	не о	3	3
50	же самое	2	3
51	ничего не	2	3
52	ни было	3	2
53	а о	2	2
54	конечном счете	4	2
55	не как	3	2
56	это не	3	2
57	не могут	2	2
58	а как	2	2
59	по существу	2	2
60	бы то	3	2
61	одним из	2	2
62	в конечном	4	2
63	конце концов	2	2
64	в их	4	2
65	другой стороны	3	2
66	этом отношении	2	2
67	не приходится	2	2
68	мы не	2	2
69	между тем	2	2
70	что мы	2	2
71	в области	3	2
