N	3gram	Trubetskoy_1	Myshleni
1	в том что	15	19
2	по сравнению с	5	14
3	с точки зрения	8	10
4	по отношению к	9	10
5	для того чтобы	7	8
6	в то время	2	6
7	так же как	3	6
8	друг с другом	9	5
9	заключается в том	2	5
10	и того же	3	4
11	на то что	7	4
12	одного и того	3	4
13	в своем развитии	3	4
14	мы знаем что	7	3
15	друг к другу	2	3
16	до сих пор	8	3
17	в том же	3	2
18	не в состоянии	2	2
19	несмотря на то	2	2
20	и то что	3	2
21	в этом случае	4	2
22	с другой стороны	4	2
23	в связи с	3	2
24	только то что	2	2
25	именно потому что	2	2
26	не может быть	3	2
27	в этой области	4	2
28	принять во внимание	2	2
29	вместе с тем	2	2
