N	2gram	Potebnia_M_3	Mirosoze
1	может быть	28	30
2	не только	21	29
3	и в	30	28
4	не может	6	28
5	но и	19	25
6	а не	15	25
7	он не	4	24
8	в этом	10	20
9	не было	4	18
10	у него	2	17
11	не в	15	16
12	потому что	46	16
13	в ней	8	15
14	в своей	2	15
15	и есть	3	14
16	человека и	5	14
17	в нем	9	13
18	и это	4	12
19	для него	9	11
20	в самом	8	11
21	и не	15	11
22	что в	17	10
23	в своем	5	10
24	был бы	2	10
25	прежде всего	3	10
26	и все	3	10
27	человек не	2	10
28	что он	6	10
29	было бы	9	10
30	и потому	4	10
31	с тем	7	9
32	в его	4	9
33	не есть	17	9
34	и его	4	9
35	но не	7	8
36	человеке и	2	8
37	в человеке	3	8
38	в котором	4	8
39	быть может	3	7
40	того что	18	7
41	к нему	3	7
42	в себе	16	7
43	в том	32	6
44	в этой	2	6
45	все это	4	6
46	и на	3	6
47	все в	2	6
48	вместе с	12	6
49	только в	21	6
50	в которой	3	6
51	не могут	5	5
52	от нее	2	5
53	как и	10	5
54	то что	18	5
55	что есть	2	5
56	уже в	5	4
57	с этой	2	4
58	не знает	3	4
59	и вместе	3	4
60	есть уже	11	4
61	не к	4	4
62	отношение к	2	4
63	в их	2	4
64	и по	4	4
65	а в	12	4
66	в которых	2	4
67	точки зрения	2	4
68	в них	5	4
69	не как	2	4
70	один из	4	4
71	это и	2	4
72	от него	2	4
73	она не	2	4
74	за пределы	2	4
75	к ней	5	4
76	в человеческой	3	4
77	что и	13	4
78	есть не	7	4
79	уже не	6	4
80	тем что	7	4
81	себя и	4	3
82	к тому	7	3
83	для нас	20	3
84	для человека	4	3
85	заключает в	5	3
86	не имеет	6	3
87	должно быть	5	3
88	с этим	6	3
89	его в	3	3
90	так как	13	3
91	то есть	34	3
92	и с	2	3
93	природы в	2	3
94	одно из	5	3
95	в ее	2	3
96	том что	18	3
97	что человек	2	3
98	ко всем	2	3
99	место в	3	2
100	по своему	2	2
101	прежде чем	2	2
102	ли она	4	2
103	и от	4	2
104	в свою	3	2
105	для того	4	2
106	и мы	2	2
107	его с	2	2
108	под ним	2	2
109	человека то	2	2
110	жизни и	2	2
111	могут быть	3	2
112	по отношению	5	2
113	быть не	2	2
114	и что	10	2
115	есть только	5	2
116	людей и	2	2
117	сказать что	5	2
118	в начале	3	2
119	самого себя	3	2
120	как бы	3	2
121	о том	2	2
122	том смысле	3	2
123	когда мы	2	2
124	бы в	2	2
125	с ним	6	2
126	не существует	3	2
127	одно только	3	2
128	а как	2	2
129	если бы	12	2
130	на человека	2	2
131	мысли о	2	2
132	только один	2	2
133	человек может	2	2
134	к этому	3	2
135	отношению к	5	2
136	мы видим	2	2
137	в то	10	2
138	все что	4	2
139	то время	4	2
140	до сих	3	2
141	никто не	3	2
142	есть одно	2	2
143	душевной жизни	6	2
144	относится к	4	2
145	все же	2	2
146	в свой	2	2
147	сих пор	3	2
148	как в	10	2
149	мысли и	2	2
150	человеческой жизни	3	2
151	входит в	2	2
152	бы не	4	2
153	того чтобы	3	2
154	и как	5	2
155	образ и	6	2
156	от этого	2	2
157	эти слова	2	2
158	в каком	5	2
159	отношении к	2	2
160	не все	4	2
161	смысле в	2	2
