N	2gram	Bakhtin_Pr_4	Narrotol
1	не только	14	26
2	а не	11	17
3	но и	12	15
4	в том	9	14
5	при этом	5	14
6	и не	27	14
7	том что	4	13
8	и в	46	13
9	в этом	16	13
10	только в	6	11
11	может быть	23	10
12	в данном	2	10
13	своего рода	4	9
14	к тому	2	9
15	так и	4	9
16	а в	2	9
17	то есть	40	9
18	то что	4	8
19	в себе	7	8
20	не может	19	8
21	не в	10	8
22	к себе	6	7
23	никогда не	6	6
24	в своем	3	6
25	в жизни	5	6
26	прежде всего	9	6
27	можно сказать	4	6
28	и к	9	6
29	в его	9	6
30	и т.п	14	6
31	героя в	3	6
32	все же	4	6
33	у него	5	6
34	как бы	19	6
35	ничего не	2	6
36	но в	6	6
37	точки зрения	11	5
38	себе самому	4	5
39	что он	6	5
40	хотя и	6	5
41	он не	4	5
42	в котором	5	5
43	и тем	2	5
44	в нем	17	5
45	отношению к	5	5
46	на него	3	5
47	как в	4	5
48	по отношению	5	5
49	в отличие	3	5
50	таким образом	4	5
51	в той	3	5
52	с другой	3	5
53	отличие от	3	5
54	в то	5	5
55	далеко не	3	5
56	о том	5	5
57	перед нами	12	4
58	не менее	2	4
59	если бы	3	4
60	в конце	3	4
61	об этом	2	4
62	как и	12	4
63	времени и	2	4
64	все что	2	4
65	что в	4	4
66	для него	2	4
67	не к	3	4
68	жизни и	5	4
69	в своей	3	4
70	то же	6	4
71	уже не	4	4
72	в мире	3	4
73	в рассказе	2	4
74	в другом	2	4
75	в этой	3	4
76	и т.д	3	4
77	и все	9	4
78	с ним	2	4
79	в себя	4	4
80	но при	3	4
81	а как	2	3
82	с его	5	3
83	мы имеем	3	3
84	это не	5	3
85	или иной	2	3
86	да и	4	3
87	в слове	3	3
88	что я	6	3
89	одна из	2	3
90	о котором	2	3
91	но не	4	3
92	же время	5	3
93	и сам	5	3
94	в произведениях	2	3
95	к ней	2	3
96	как раз	7	3
97	той или	2	3
98	о нем	6	3
99	только к	2	3
100	на том	2	3
101	то и	2	3
102	все эти	4	3
103	самом деле	4	3
104	и даже	3	3
105	и по	2	3
106	и для	3	3
107	и его	6	3
108	самим собой	2	3
109	никак не	3	3
110	сказать что	2	3
111	между тем	2	3
112	по своей	3	3
113	так сказать	5	3
114	он сам	2	2
115	же как	2	2
116	а то	3	2
117	превращается в	4	2
118	хотя бы	2	2
119	к другому	5	2
120	из этих	3	2
121	и другого	2	2
122	с нею	2	2
123	на фоне	6	2
124	вовсе не	9	2
125	на свой	6	2
126	себе самом	5	2
127	и здесь	4	2
128	на то	3	2
129	к своему	3	2
130	для нас	2	2
131	в строгом	2	2
132	другого человека	3	2
133	должна быть	2	2
134	еще не	7	2
135	было бы	3	2
136	и он	6	2
137	себе и	3	2
138	своей природе	2	2
139	в самом	9	2
140	во сне	2	2
141	в центре	3	2
142	но для	3	2
143	у меня	3	2
144	в него	6	2
145	не могло	2	2
146	что и	3	2
147	раз в	2	2
148	себя в	3	2
149	в процессе	4	2
150	только на	3	2
151	в других	2	2
152	у нас	2	2
153	те же	2	2
154	достоевского и	2	2
155	они не	2	2
156	и что	3	2
157	в направлении	4	2
158	с точки	9	2
159	главного героя	2	2
160	так же	3	2
161	той же	3	2
162	мы не	4	2
163	можно было	2	2
164	но это	6	2
165	в результате	2	2
166	вся жизнь	4	2
167	но он	3	2
168	как он	3	2
169	героя и	4	2
170	здесь не	4	2
171	бы в	3	2
172	потому что	4	2
173	могло бы	2	2
