N	2gram	Medvedev_V_1	Myshleni
1	в процессе	16	27
2	и в	26	25
3	в том	15	23
4	на основе	5	22
5	том что	8	20
6	что в	10	17
7	так же	3	17
8	мышления в	2	17
9	таким образом	31	17
10	с тем	3	16
11	как и	7	15
12	то что	6	15
13	в его	14	15
14	в этом	26	14
15	вместе с	7	14
16	может быть	22	13
17	в целом	4	13
18	в качестве	11	12
19	на основании	8	11
20	перед нами	4	10
21	что они	3	10
22	как бы	5	10
23	и не	19	10
24	того что	3	10
25	было бы	7	10
26	что и	3	10
27	только в	7	10
28	заключается в	2	9
29	связи с	4	9
30	того чтобы	3	8
31	не является	5	8
32	все эти	6	7
33	что мы	2	7
34	как это	12	7
35	интеллектуальной деятельности	3	7
36	по себе	2	7
37	для того	3	7
38	в области	2	7
39	не менее	2	6
40	с другой	11	6
41	не в	6	6
42	же как	2	6
43	и у	2	6
44	один из	5	6
45	мы видели	3	6
46	не может	17	6
47	в связи	3	6
48	в основном	5	6
49	что он	4	6
50	в силу	11	6
51	зависимости от	5	6
52	но не	2	6
53	не только	25	6
54	все же	5	6
55	точки зрения	3	6
56	все это	10	6
57	можно было	2	6
58	так и	5	5
59	именно в	2	5
60	и как	3	5
61	в пользу	2	5
62	для него	8	5
63	одной стороны	2	5
64	одним из	5	5
65	что она	2	5
66	показывают что	3	5
67	с одной	2	5
68	и по	3	5
69	человека и	3	5
70	если бы	3	5
71	в зависимости	6	5
72	и к	3	5
73	о том	10	5
74	как говорит	5	5
75	из которых	2	5
76	могут быть	5	5
77	в этой	4	5
78	не могут	7	4
79	в частности	11	4
80	никогда не	4	4
81	в своем	8	4
82	из этих	7	4
83	прежде всего	13	4
84	к тому	4	4
85	мы знаем	3	4
86	отнюдь не	3	4
87	из них	9	4
88	но и	10	4
89	от того	2	4
90	не столько	2	4
91	а в	3	4
92	сказать что	5	4
93	в то	6	4
94	которая не	2	4
95	мы имеем	3	4
96	тогда когда	2	4
97	с этим	3	4
98	нет никаких	2	4
99	что оно	3	4
100	еще не	2	4
101	он не	2	4
102	приводит к	5	4
103	могло бы	2	4
104	значит что	2	4
105	ни один	7	4
106	оно является	2	3
107	в самом	4	3
108	вслед за	2	3
109	в котором	3	3
110	если в	2	3
111	отдельных элементов	2	3
112	и их	3	3
113	этот процесс	2	3
114	другой стороны	8	3
115	отличается от	2	3
116	по отношению	7	3
117	с ними	4	3
118	в которых	3	3
119	этом отношении	13	3
120	в результате	5	3
121	их в	6	3
122	между тем	5	3
123	его в	3	3
124	как он	2	3
125	видели что	3	3
126	по этому	9	3
127	в жизни	2	3
128	к этому	9	3
129	но как	3	3
130	или иной	2	3
131	образом по	2	3
132	или менее	6	3
133	когда он	3	3
134	между ними	3	3
135	как известно	2	3
136	этот вопрос	3	3
137	которые в	2	3
138	то же	10	2
139	можно ли	2	2
140	все они	2	2
141	тому что	6	2
142	и от	3	2
143	часто не	2	2
144	этой точки	2	2
145	является не	4	2
146	смысле слова	2	2
147	в нашей	4	2
148	хотя и	2	2
149	в сфере	2	2
150	в нем	6	2
151	уже по	2	2
152	этой проблемы	3	2
153	должно быть	2	2
154	как на	3	2
155	в своих	2	2
156	того или	2	2
157	процесса как	3	2
158	бы в	3	2
159	говорит об	2	2
160	в плане	5	2
161	образом не	3	2
162	с его	3	2
163	всех этих	2	2
164	главным образом	7	2
165	моментов в	3	2
166	в них	4	2
167	в одном	4	2
168	с нею	2	2
169	говорит и	8	2
170	и заключается	2	2
171	об этом	9	2
172	же в	6	2
173	в другую	2	2
174	одна из	4	2
175	это мы	3	2
176	и может	2	2
177	и потому	2	2
178	отношению к	7	2
179	этом и	2	2
180	в своей	4	2
181	только что	4	2
182	связанное с	2	2
183	в течение	2	2
184	и для	2	2
185	и его	6	2
186	или в	3	2
187	с другими	2	2
188	тому как	2	2
189	и том	2	2
190	в себе	6	2
191	в чем	2	2
192	что говорит	3	2
193	а как	2	2
