N	2gram	Potebnia_M_1	Stilisti
1	и в	39	42
2	как бы	6	27
3	не только	21	27
4	прежде всего	4	22
5	хотя бы	2	17
6	но и	20	15
7	то же	6	15
8	и не	18	14
9	может быть	27	12
10	не может	22	12
11	точки зрения	8	11
12	как и	9	11
13	и как	6	10
14	что мы	4	10
15	мы должны	3	10
16	как мы	2	10
17	в этом	15	10
18	при этом	6	9
19	в то	4	9
20	то что	10	9
21	для того	3	9
22	мы не	10	9
23	все же	6	8
24	в ней	7	8
25	таким образом	13	8
26	с тем	5	8
27	что же	2	8
28	тем самым	4	8
29	в себе	13	8
30	и это	3	8
31	никогда не	4	7
32	и от	3	7
33	же время	4	7
34	и тем	3	7
35	потому что	52	7
36	так как	21	7
37	слов и	4	7
38	было бы	12	7
39	а не	21	7
40	того чтобы	2	7
41	и его	5	7
42	мы можем	2	7
43	только в	25	7
44	в которой	2	7
45	мы будем	2	6
46	не в	15	6
47	в этой	3	6
48	в свою	4	6
49	язык и	5	6
50	когда мы	2	6
51	в нем	20	6
52	во всех	5	6
53	так и	13	6
54	язык в	8	6
55	речи и	10	6
56	слова в	2	5
57	независимо от	6	5
58	тому что	3	5
59	и той	3	5
60	и следовательно	2	5
61	мы видели	4	5
62	и их	3	5
63	а в	5	5
64	и с	3	5
65	в сознании	3	5
66	что язык	16	5
67	в его	5	5
68	вместе с	8	5
69	с точки	3	5
70	той же	3	5
71	слова и	4	5
72	самого начала	3	4
73	что это	3	4
74	во внутренней	3	4
75	и без	3	4
76	мы называем	2	4
77	в каждом	4	4
78	что именно	2	4
79	к тому	4	4
80	влияние на	2	4
81	с самого	3	4
82	но все	2	4
83	свою очередь	4	4
84	в самом	3	4
85	в словах	3	4
86	языка и	17	4
87	того что	8	4
88	речь и	2	4
89	так же	5	4
90	о том	2	4
91	бы в	4	4
92	но в	9	4
93	не существует	2	4
94	если бы	14	4
95	были бы	3	4
96	не что	2	4
97	у нас	2	4
98	мы видим	4	4
99	человека не	2	4
100	мы увидим	3	4
101	если б	2	4
102	на него	3	4
103	если мы	3	4
104	уже не	2	4
105	тем же	2	4
106	в слове	8	4
107	и то	3	4
108	то есть	42	4
109	вопроса о	2	4
110	так сказать	2	4
111	в разных	2	3
112	язык не	5	3
113	это не	7	3
114	слова но	2	3
115	словом и	2	3
116	для нас	9	3
117	не мог	3	3
118	хотя и	3	3
119	не имеем	2	3
120	представить себе	3	3
121	в целом	2	3
122	жизни и	2	3
123	от того	4	3
124	заключает в	2	3
125	что оно	2	3
126	и даже	4	3
127	не так	3	3
128	нуждается в	2	3
129	сказать что	3	3
130	в начале	2	3
131	в виду	2	3
132	то он	2	3
133	и все	3	3
134	в одном	8	3
135	но при	3	3
136	том что	16	3
137	еще не	6	3
138	уважение к	2	3
139	мы в	2	3
140	как предмет	2	3
141	и развития	2	3
142	что и	6	3
143	не будет	2	3
144	только на	3	3
145	связь между	2	3
146	если не	2	3
147	деятельности и	5	3
148	и для	5	3
149	то мы	2	3
150	связи с	3	3
151	зависит от	5	2
152	в душе	11	2
153	друг другу	3	2
154	происхождении языка	7	2
155	или даже	3	2
156	без языка	4	2
157	иное как	2	2
158	вопрос о	4	2
159	в мире	3	2
160	слова мы	3	2
161	в том	26	2
162	но это	5	2
163	времени и	2	2
164	очевидно что	3	2
165	для него	4	2
166	несмотря на	5	2
167	значительной степени	2	2
168	в этих	7	2
169	для всякого	2	2
170	в нас	7	2
171	как например	2	2
172	не было	4	2
173	должно быть	7	2
174	в своих	4	2
175	о происхождении	8	2
176	даже и	2	2
177	что иное	2	2
178	все то	2	2
179	нет ничего	2	2
180	к которому	3	2
181	в жизни	3	2
182	для них	2	2
183	для всех	5	2
184	однако в	4	2
185	с этим	7	2
186	значение и	2	2
187	членораздельный звук	2	2
188	есть не	2	2
189	только тогда	5	2
190	только потому	3	2
191	и при	3	2
192	но не	8	2
193	нужно было	3	2
194	помнить что	3	2
195	и потому	5	2
196	не есть	10	2
197	слова не	2	2
198	в своей	3	2
199	связь с	2	2
200	как в	10	2
201	бы не	6	2
202	одной и	3	2
203	перейти к	2	2
204	с ним	3	2
205	или в	2	2
206	в движении	2	2
207	этот вопрос	2	2
208	в языке	33	2
209	тем что	9	2
210	в каком	6	2
211	и вообще	3	2
212	ее с	2	2
213	заметить что	2	2
