N	2gram	Bakhtin_sl_2	Russkaja
1	не может	20	22
2	и не	22	19
3	в том	5	17
4	в этом	16	17
5	и в	39	14
6	то что	2	13
7	таким образом	8	11
8	то же	4	11
9	точки зрения	8	11
10	же время	4	10
11	но и	21	10
12	в то	4	10
13	том что	5	9
14	не только	24	9
15	в себе	2	9
16	с точки	3	9
17	может быть	37	9
18	во всяком	3	9
19	прежде всего	8	8
20	того чтобы	2	8
21	ни к	2	7
22	в данном	2	7
23	о том	2	7
24	и с	9	7
25	что он	2	6
26	и к	6	6
27	и при	2	6
28	для него	7	6
29	для того	2	6
30	для всех	4	6
31	всяком случае	2	6
32	все это	16	6
33	в своем	6	6
34	и для	5	6
35	себя и	4	5
36	жизни в	2	5
37	хотя бы	3	5
38	и на	4	5
39	или иной	5	5
40	при этом	7	5
41	лишь при	2	5
42	до сих	2	5
43	конечно не	5	5
44	он не	2	5
45	никогда не	7	5
46	в нем	19	5
47	сих пор	2	5
48	во всех	12	5
49	а в	4	5
50	только в	5	5
51	между тем	3	5
52	а лишь	2	4
53	но не	6	4
54	не могут	5	4
55	что в	3	4
56	тогда когда	2	4
57	как и	6	4
58	более или	2	4
59	все что	2	4
60	как бы	7	4
61	все же	6	4
62	себя в	8	4
63	жизни и	6	4
64	вместе с	2	4
65	или менее	2	4
66	в их	2	4
67	точку зрения	3	4
68	не в	9	4
69	во всем	4	4
70	в его	7	4
71	его в	4	4
72	так как	4	4
73	может не	2	3
74	именно в	2	3
75	в большинстве	6	3
76	этом случае	6	3
77	всех этих	4	3
78	и как	3	3
79	в другом	2	3
80	лишь в	3	3
81	еще не	7	3
82	той или	5	3
83	и потому	7	3
84	для этого	4	3
85	но мы	2	3
86	что и	3	3
87	и т	35	3
88	все они	2	3
89	не было	2	3
90	что оно	4	3
91	в значительной	6	3
92	или в	2	3
93	в виде	2	3
94	говорить о	3	3
95	связи с	3	3
96	и ни	2	3
97	она может	2	3
98	одна из	4	3
99	сама по	3	2
100	и более	2	2
101	должна быть	3	2
102	от нас	2	2
103	у него	3	2
104	его и	2	2
105	и от	3	2
106	с этим	2	2
107	тот факт	2	2
108	по себе	5	2
109	ни в	4	2
110	уже не	5	2
111	но это	3	2
112	от него	5	2
113	именно на	2	2
114	отличается от	2	2
115	она не	6	2
116	в ней	3	2
117	отношении к	4	2
118	на почве	4	2
119	для нас	5	2
120	в некоторых	3	2
121	быть и	3	2
122	но она	2	2
123	всем этим	2	2
124	по отношению	4	2
125	отношения к	4	2
126	все эти	6	2
127	а не	14	2
128	факт что	2	2
129	в единое	2	2
130	и наконец	5	2
131	и даже	7	2
132	к нему	3	2
133	в таком	4	2
134	людей и	2	2
135	в результате	2	2
136	остается в	5	2
137	даже и	4	2
138	мы уже	2	2
139	в этих	7	2
140	стремиться к	2	2
141	большинстве случаев	5	2
142	только с	2	2
143	с ним	7	2
144	отметить что	3	2
145	в области	2	2
146	но в	6	2
