N	2gram	Savitsky_E_1	Narrotol
1	не только	18	26
2	а не	2	17
3	представляет собой	3	16
4	но и	14	15
5	в том	11	14
6	в качестве	14	14
7	и не	14	14
8	том что	6	13
9	и в	37	13
10	в этом	12	13
11	в частности	5	11
12	только в	9	11
13	может быть	6	10
14	в данном	3	10
15	к тому	8	9
16	так и	10	9
17	а в	2	9
18	то есть	6	9
19	то что	6	8
20	в себе	9	8
21	не может	9	8
22	не в	5	8
23	иначе говоря	2	7
24	никогда не	3	6
25	в своем	14	6
26	прежде всего	9	6
27	можно сказать	4	6
28	и к	3	6
29	вслед за	6	6
30	того что	7	6
31	в его	2	6
32	данном случае	2	6
33	со стороны	5	6
34	жизни в	3	6
35	как бы	6	6
36	а также	7	6
37	всего лишь	3	6
38	но в	14	6
39	место в	3	5
40	точки зрения	23	5
41	одной стороны	8	5
42	хотя и	2	5
43	он не	2	5
44	в котором	2	5
45	и тем	3	5
46	как в	3	5
47	таким образом	2	5
48	с одной	8	5
49	в той	5	5
50	тем самым	5	5
51	с другой	7	5
52	в то	16	5
53	далеко не	2	5
54	о том	3	5
55	что это	2	4
56	если бы	2	4
57	отнюдь не	9	4
58	же в	2	4
59	как и	7	4
60	что в	21	4
61	не является	3	4
62	не к	2	4
63	жизни и	2	4
64	в своей	8	4
65	в ее	8	4
66	то же	15	4
67	в какой	2	4
68	в мире	2	4
69	войны и	2	4
70	в силу	2	4
71	в этой	2	4
72	и все	2	4
73	как это	4	4
74	мира в	4	4
75	в известном	3	3
76	или иного	4	3
77	большей части	2	3
78	или иной	4	3
79	и того	2	3
80	но не	5	3
81	же время	14	3
82	того или	4	3
83	известном смысле	3	3
84	к ней	4	3
85	той или	4	3
86	только к	2	3
87	между собой	2	3
88	того чтобы	6	3
89	и даже	6	3
90	и по	5	3
91	и для	3	3
92	в таком	3	3
93	с этой	6	3
94	этом отношении	3	3
95	сказать что	4	3
96	между тем	8	3
97	по своей	2	3
98	мира и	3	3
99	он сам	2	2
100	же как	5	2
101	хотя бы	15	2
102	столь же	5	2
103	мира не	2	2
104	но также	2	2
105	в случае	2	2
106	вовсе не	6	2
107	в свою	3	2
108	на то	6	2
109	для нас	4	2
110	говорит о	3	2
111	тем более	4	2
112	и более	2	2
113	по своему	7	2
114	как было	3	2
115	должна быть	2	2
116	участие в	2	2
117	было бы	8	2
118	во второй	3	2
119	своему характеру	2	2
120	в самом	4	2
121	в будущем	3	2
122	несмотря на	4	2
123	имеет место	2	2
124	что и	3	2
125	не будет	3	2
126	в процессе	4	2
127	в культуре	3	2
128	в других	2	2
129	именно в	4	2
130	в течение	5	2
131	и что	2	2
132	более чем	2	2
133	в направлении	4	2
134	с точки	17	2
135	не имеет	4	2
136	так же	9	2
137	как на	3	2
138	мы не	4	2
139	можно было	3	2
140	в результате	3	2
141	исключительно в	2	2
142	существования в	3	2
143	в ней	4	2
144	в виде	5	2
145	в своих	2	2
146	бы в	2	2
147	потому что	3	2
148	в области	11	2
