N	2gram	Propp_Morf_1	Myslijsy
1	потому что	3	52
2	и в	13	39
3	может быть	52	27
4	в том	6	26
5	только в	2	25
6	что в	8	22
7	не может	14	22
8	а не	11	21
9	так как	16	21
10	не только	4	21
11	но и	4	20
12	и не	12	18
13	том что	4	16
14	не в	3	15
15	в этом	14	15
16	если бы	2	14
17	отношению к	4	13
18	так и	6	13
19	по отношению	4	13
20	таким образом	21	13
21	было бы	3	12
22	мы не	8	10
23	то что	8	10
24	как в	3	10
25	и что	2	10
26	могут быть	16	9
27	для нас	2	9
28	как и	3	9
29	тем что	4	9
30	но в	2	9
31	но не	4	8
32	со стороны	3	8
33	того что	3	8
34	о происхождении	2	8
35	точки зрения	2	8
36	с другой	8	7
37	с этим	11	7
38	это не	6	7
39	в этих	13	7
40	не менее	5	6
41	независимо от	3	6
42	тем не	5	6
43	и как	5	6
44	еще не	3	6
45	как бы	3	6
46	что и	7	6
47	все же	7	6
48	и т	41	6
49	то же	7	6
50	и наоборот	4	6
51	и по	2	6
52	между собою	2	6
53	в каком	2	6
54	того как	2	6
55	с тем	2	5
56	вовсе не	4	5
57	несмотря на	4	5
58	но это	6	5
59	то в	3	5
60	что при	2	5
61	то это	3	5
62	в первом	3	5
63	другой стороны	4	5
64	во всех	4	5
65	так же	3	5
66	а в	7	5
67	и для	2	5
68	во втором	3	5
69	не имеет	2	5
70	друг друга	3	5
71	между тем	5	5
72	если же	5	5
73	не могут	4	4
74	однако в	2	4
75	вопрос о	7	4
76	прежде всего	9	4
77	мы видим	13	4
78	самого себя	2	4
79	к тому	4	4
80	от того	3	4
81	не по	2	4
82	есть нечто	3	4
83	т д	39	4
84	тому как	5	4
85	можно бы	2	4
86	в то	3	4
87	что мы	2	4
88	там где	5	4
89	прежде чем	3	3
90	тому что	4	3
91	оно не	2	3
92	так например	3	3
93	в этой	2	3
94	если мы	5	3
95	мы увидим	8	3
96	она не	2	3
97	и их	2	3
98	но оно	2	3
99	для того	2	3
100	никто не	3	3
101	и тем	2	3
102	связи с	10	3
103	на него	3	3
104	или же	6	3
105	то ни	3	3
106	сказать что	2	3
107	во всяком	2	3
108	хотя и	3	3
109	он не	3	3
110	подобно тому	6	3
111	быть названо	3	3
112	с точки	2	3
113	мы должны	3	3
114	но как	2	3
115	не существует	3	2
116	мы будем	3	2
117	могла бы	4	2
118	и есть	2	2
119	он должен	2	2
120	эти формы	2	2
121	бы то	3	2
122	как например	2	2
123	в собственном	3	2
124	на то	2	2
125	но если	7	2
126	как мы	6	2
127	же в	2	2
128	в другую	2	2
129	ни было	2	2
130	уже не	2	2
131	у нас	2	2
132	но все	3	2
133	того чтобы	3	2
134	как эти	2	2
135	в сущности	3	2
136	ни одна	4	2
137	не все	6	2
138	его самого	4	2
139	в целом	3	2
140	что же	2	2
141	только что	2	2
142	тогда как	2	2
143	можно заметить	2	2
144	этот вопрос	2	2
145	перейти к	2	2
146	или в	4	2
147	хотя бы	4	2
148	в таких	2	2
149	мы постараемся	2	2
150	в начале	3	2
151	как будто	2	2
152	в один	3	2
153	о том	2	2
154	при помощи	9	2
155	заметить что	8	2
156	в которой	3	2
157	он старается	2	2
158	в других	3	2
159	то мы	4	2
160	бы они	2	2
161	мы можем	2	2
