N	2gram	Losev_Vlad_3	Istorich
1	что он	5	24
2	не только	25	18
3	может быть	8	17
4	никогда не	11	15
5	и в	40	15
6	мы имеем	3	15
7	но и	18	14
8	так как	7	14
9	так же	8	13
10	что в	17	12
11	знаем что	2	12
12	а в	7	12
13	то что	28	12
14	об этом	6	11
15	в этих	2	11
16	мы знаем	3	11
17	и не	25	11
18	в этом	16	11
19	его в	2	10
20	то же	4	10
21	с тем	7	9
22	еще не	4	9
23	все же	4	9
24	и здесь	6	9
25	в другом	2	9
26	потому что	11	9
27	связи с	2	8
28	он не	8	8
29	том что	18	7
30	в нем	3	7
31	вместе с	7	7
32	таким образом	11	7
33	не в	3	7
34	ничего не	5	7
35	точно так	4	6
36	так что	14	6
37	мы уже	5	6
38	что это	9	6
39	наряду с	2	6
40	в его	14	6
41	как бы	3	6
42	то это	10	6
43	что и	7	6
44	и что	8	6
45	в том	18	6
46	только в	13	6
47	но в	4	6
48	с этим	2	5
49	прежде всего	10	5
50	в одном	5	5
51	к тому	7	5
52	но все	3	5
53	она не	2	5
54	было бы	4	5
55	этого не	3	5
56	же как	3	5
57	в котором	4	5
58	на него	2	5
59	так и	6	5
60	что она	2	5
61	не может	14	5
62	в связи	3	5
63	а не	8	5
64	и наконец	2	5
65	к нему	3	5
66	можно было	5	5
67	можно найти	2	5
68	с одной	3	4
69	вопрос о	4	4
70	у него	24	4
71	для нас	5	4
72	но это	6	4
73	в этой	8	4
74	при этом	3	4
75	одной из	2	4
76	в ней	5	4
77	и с	9	4
78	тем что	5	4
79	и на	6	4
80	в себе	9	4
81	что здесь	3	4
82	мы должны	4	4
83	все эти	5	4
84	к этой	2	4
85	должен был	2	3
86	в качестве	3	3
87	не мог	6	3
88	и его	10	3
89	из этих	3	3
90	на то	4	3
91	он был	2	3
92	как это	4	3
93	одной стороны	3	3
94	в каких	2	3
95	мог бы	4	3
96	между прочим	5	3
97	же и	2	3
98	но если	5	3
99	о том	11	3
100	выше мы	2	3
101	а именно	12	3
102	в их	2	3
103	того что	7	3
104	роль в	2	3
105	мы не	2	3
106	что этот	3	3
107	что мы	2	3
108	и это	6	3
109	уже в	3	2
110	я не	3	2
111	не было	5	2
112	и более	2	2
113	перед нами	3	2
114	с другой	5	2
115	это не	3	2
116	не столько	3	2
117	и так	2	2
118	но с	2	2
119	в жизни	2	2
120	на самом	3	2
121	и вместе	2	2
122	нисколько не	3	2
123	ни в	10	2
124	да и	6	2
125	именно в	3	2
126	в основном	4	2
127	по существу	4	2
128	как и	7	2
129	мы видели	3	2
130	в силу	2	2
131	такой же	4	2
132	является не	3	2
133	но не	4	2
134	а то	2	2
135	в глаза	4	2
136	есть и	4	2
137	здесь в	4	2
138	кроме того	6	2
139	в нашей	2	2
140	того чтобы	3	2
141	и если	7	2
142	и для	3	2
143	в сущности	2	2
144	которые были	2	2
145	а также	8	2
146	был бы	3	2
147	не все	3	2
148	здесь нет	2	2
149	хотя бы	6	2
150	ее в	3	2
151	из них	2	2
152	оказывается что	2	2
153	и только	3	2
154	другой стороны	2	2
155	в разных	2	2
156	а с	4	2
157	не просто	10	2
158	то не	2	2
159	тут же	5	2
160	тем самым	2	2
161	и по	2	2
162	и вполне	2	2
163	и то	9	2
164	сказать что	12	2
165	находится в	3	2
166	под названием	9	2
167	интересно что	2	2
168	при помощи	4	2
169	нет ничего	2	2
170	что эта	2	2
171	здесь не	3	2
172	иметь в	2	2
173	заметить что	2	2
174	только с	2	2
175	в которой	2	2
176	тому же	5	2
177	еще до	2	2
178	в виду	3	2
