N	2gram	Tiupa_Anal_1	Problema
1	то есть	11	46
2	в его	13	43
3	и не	21	42
4	и в	18	38
5	эстетического объекта	11	37
6	эстетический объект	6	37
7	не может	22	27
8	может быть	29	26
9	как бы	5	22
10	по отношению	6	21
11	в художественном	3	20
12	отнюдь не	15	19
13	отношению к	5	19
14	и с	2	17
15	и его	5	16
16	в нем	3	15
17	в этом	13	15
18	и т	3	14
19	эстетического анализа	2	13
20	прежде всего	6	13
21	только в	6	13
22	т п	3	13
23	художественного творчества	2	12
24	за пределы	2	12
25	в искусстве	2	12
26	но не	10	12
27	ни в	4	11
28	художественного произведения	5	11
29	в области	4	11
30	к нему	3	10
31	отношение к	2	10
32	в их	5	10
33	таким образом	3	10
34	но и	17	9
35	не только	15	9
36	место в	3	8
37	в том	27	8
38	и как	5	8
39	точки зрения	6	8
40	произведения как	7	8
41	было бы	2	8
42	то что	6	8
43	художественное произведение	5	8
44	что в	5	7
45	с другой	4	7
46	не в	14	7
47	в самом	6	7
48	эстетический анализ	2	7
49	объекта и	3	7
50	между тем	5	7
51	как и	13	7
52	художественное творчество	2	7
53	еще не	3	7
54	в своей	6	7
55	как мы	2	7
56	есть чисто	2	6
57	не всегда	4	6
58	в пределах	2	6
59	не к	2	6
60	а в	9	6
61	на основе	2	6
62	в психике	2	6
63	произведение в	2	6
64	не есть	8	6
65	все же	4	6
66	дело с	4	6
67	самом деле	2	6
68	с точки	4	6
69	отношения к	2	6
70	творчества и	2	5
71	то же	9	5
72	это не	6	5
73	при этом	12	5
74	имеет место	5	5
75	никогда не	2	5
76	все эти	2	5
77	должно быть	2	5
78	эстетическим объектом	4	5
79	в основе	6	5
80	может иметь	2	5
81	далеко не	6	5
82	с ним	4	5
83	произведения в	11	5
84	и о	2	5
85	так и	4	5
86	в отличие	6	5
87	а не	17	5
88	могут быть	4	5
89	отличие от	6	5
90	в нашем	3	4
91	принципиально не	3	4
92	на самом	2	4
93	в конечном	4	4
94	другой стороны	2	4
95	данном случае	2	4
96	в то	9	4
97	о том	5	4
98	в произведении	5	4
99	и потому	2	4
100	но в	8	4
101	конечном счете	4	4
102	не с	4	4
103	тем самым	7	4
104	что не	3	4
105	хотя бы	3	4
106	в данном	2	4
107	более того	3	4
108	в себе	11	4
109	здесь не	2	4
110	себя и	4	3
111	то ни	3	3
112	вследствие этого	3	3
113	основе своей	2	3
114	имеем дело	4	3
115	же время	6	3
116	одной стороны	3	3
117	несмотря на	2	3
118	не является	2	3
119	в целом	5	3
120	с одной	3	3
121	материальное произведение	2	3
122	и на	5	3
123	также и	2	3
124	а как	2	3
125	ни было	4	3
126	если бы	3	3
127	и все	3	3
128	на фоне	2	3
129	и к	3	3
130	она может	3	3
131	том что	12	3
132	бы то	3	3
133	он не	3	3
134	об искусстве	2	3
135	нет и	2	3
136	произведение не	2	3
137	в мире	8	3
138	в таком	3	3
139	с другими	4	3
140	вопроса о	3	3
141	едва ли	2	3
142	на этом	2	2
143	внешнее материальное	2	2
144	не могут	3	2
145	человек в	3	2
146	и есть	3	2
147	в частности	19	2
148	в равной	3	2
149	и внешнего	2	2
150	в какой	2	2
151	столь же	4	2
152	была бы	2	2
153	эстетической деятельности	4	2
154	или иной	6	2
155	можно сказать	2	2
156	искусства в	4	2
157	не более	4	2
158	случае не	2	2
159	совпадает с	2	2
160	той или	6	2
161	опираются на	3	2
162	в котором	3	2
163	он может	2	2
164	в культуре	3	2
165	ни с	3	2
166	отличается от	2	2
167	как к	2	2
168	особенно в	2	2
169	этом отношении	2	2
170	лишь в	5	2
171	того что	4	2
172	коем случае	2	2
173	не следует	4	2
174	нуждается в	8	2
175	в начале	2	2
176	же самое	2	2
177	того или	3	2
178	подхода к	3	2
179	оно может	3	2
180	мы имеем	6	2
181	художественного восприятия	7	2
182	с его	3	2
183	и более	4	2
184	следует что	2	2
185	не все	2	2
186	вовсе не	2	2
187	или иного	3	2
188	есть не	8	2
189	в коем	2	2
190	что он	3	2
191	должен быть	6	2
192	что и	3	2
193	себя в	6	2
194	не остается	2	2
195	для науки	3	2
196	бы не	2	2
197	в двух	2	2
198	в себя	6	2
199	того чтобы	3	2
200	для того	4	2
201	из которых	4	2
202	художественного впечатления	14	2
203	в другом	4	2
