N	2gram	Savitsky_P_1	Problemy
1	и в	14	46
2	и не	12	27
3	может быть	5	23
4	как бы	4	19
5	не может	4	19
6	в нем	3	17
7	в этом	10	16
8	не только	17	14
9	но и	6	12
10	точки зрения	3	11
11	а не	2	11
12	не в	5	10
13	в пределах	8	10
14	прежде всего	3	9
15	в том	9	9
16	и к	4	9
17	в его	2	9
18	с точки	3	9
19	и с	2	7
20	по себе	4	7
21	как раз	2	7
22	в себе	3	7
23	есть в	2	6
24	хотя и	3	6
25	но в	9	6
26	то же	9	6
27	все это	2	6
28	только в	7	6
29	это не	3	5
30	же время	7	5
31	в котором	4	5
32	в то	7	5
33	в жизни	2	5
34	во всех	2	5
35	том числе	2	4
36	что в	4	4
37	слова но	2	4
38	да и	2	4
39	например в	2	4
40	и других	2	4
41	должно быть	2	4
42	потому что	3	4
43	мы не	3	4
44	точек зрения	2	4
45	том что	4	4
46	но не	3	4
47	то что	4	4
48	в отношении	10	3
49	с другой	5	3
50	в мире	2	3
51	в своем	4	3
52	не к	2	3
53	если бы	4	3
54	было бы	6	3
55	и о	5	3
56	никак не	2	3
57	еще более	2	3
58	и это	2	3
59	не менее	2	2
60	для нас	2	2
61	и как	3	2
62	в общем	2	2
63	если в	2	2
64	и тем	2	2
65	отношения к	2	2
66	не было	2	2
67	а в	4	2
68	в которых	5	2
69	именно как	2	2
70	что мы	3	2
71	между тем	3	2
72	и резко	2	2
73	с этим	2	2
74	стороны и	2	2
75	бы ни	2	2
76	одна из	2	2
77	не нужно	2	2
78	сами по	3	2
79	и пр	5	2
80	хотя бы	8	2
81	могут быть	3	2
82	отношении к	5	2
