N	2gram	Potebnia_M_2	Mirosoze
1	и в	24	46
2	в нем	9	22
3	у него	2	22
4	может быть	23	21
5	в этом	8	20
6	никогда не	4	18
7	для него	10	18
8	и не	19	18
9	не только	15	18
10	но и	9	15
11	не может	12	15
12	человека в	3	14
13	как и	7	13
14	не есть	6	13
15	а не	18	13
16	прежде всего	7	12
17	друг друга	2	12
18	потому что	49	12
19	не было	6	11
20	в ней	3	11
21	но он	2	11
22	у нас	2	11
23	но в	4	10
24	в себе	10	10
25	не в	13	9
26	и есть	2	8
27	но это	3	8
28	как бы	9	8
29	так как	10	8
30	человека и	3	7
31	в нашем	2	7
32	человеческой природы	2	7
33	что он	4	7
34	и потому	2	7
35	как в	10	7
36	хотя бы	2	7
37	и для	3	7
38	вопрос о	2	6
39	что это	3	6
40	так же	2	6
41	того что	7	6
42	и здесь	2	6
43	то же	12	5
44	что все	2	5
45	есть прежде	2	5
46	совсем не	2	5
47	в самом	4	5
48	один из	2	5
49	что она	3	5
50	те же	3	5
51	это не	3	5
52	и все	3	5
53	есть не	5	5
54	во всем	2	5
55	то что	20	5
56	для того	5	5
57	и его	2	5
58	в его	2	5
59	и это	2	5
60	что в	16	4
61	тому что	2	4
62	все что	3	4
63	что у	2	4
64	они не	4	4
65	не имеет	6	4
66	должны быть	4	4
67	с его	2	4
68	в жизни	2	4
69	думать что	3	4
70	в свою	6	4
71	том что	8	4
72	что и	11	4
73	так и	5	4
74	уже не	4	4
75	того чтобы	2	4
76	его на	2	4
77	на деле	3	4
78	себя и	2	3
79	и от	3	3
80	в каждом	2	3
81	на все	3	3
82	в том	18	3
83	что они	5	3
84	было в	2	3
85	не так	3	3
86	и на	8	3
87	сказать что	2	3
88	о том	5	3
89	его в	3	3
90	как он	4	3
91	с ним	5	3
92	к которому	2	3
93	если бы	11	3
94	в них	5	3
95	к другому	4	3
96	и во	3	3
97	связано с	2	3
98	до сих	4	3
99	сих пор	4	3
100	от того	5	3
101	и тогда	3	3
102	того как	7	3
103	той же	3	3
104	тем что	7	3
105	и человек	3	3
106	только в	11	3
107	отношении к	2	3
108	есть в	2	3
109	в чем	7	3
110	что нет	2	3
111	место в	4	2
112	уже в	5	2
113	но на	2	2
114	в этих	3	2
115	быть может	7	2
116	в человеке	4	2
117	так что	10	2
118	в действительности	2	2
119	и если	4	2
120	есть явление	3	2
121	и той	2	2
122	она есть	2	2
123	хотя и	3	2
124	но она	3	2
125	не имеют	2	2
126	по отношению	2	2
127	что есть	2	2
128	отношения к	2	2
129	что за	2	2
130	и других	2	2
131	должно быть	2	2
132	его не	3	2
133	а в	8	2
134	в мысли	5	2
135	было для	2	2
136	другим и	3	2
137	бы в	2	2
138	между тем	6	2
139	на этом	2	2
140	превращается в	2	2
141	его с	2	2
142	же что	3	2
143	себе в	3	2
144	на природу	2	2
145	тогда когда	10	2
146	по себе	15	2
147	мы видим	2	2
148	связи с	6	2
149	после того	2	2
150	и что	4	2
151	тот же	5	2
152	и тот	2	2
153	мысль о	7	2
154	не от	5	2
155	во всех	7	2
156	к ней	2	2
157	оно не	3	2
158	с таким	3	2
159	вместе с	11	2
160	бы не	5	2
161	одной и	2	2
162	что не	5	2
163	тому как	4	2
164	нас в	2	2
165	сам по	4	2
166	то все	4	2
167	подобно тому	4	2
168	души и	4	2
169	в которой	5	2
170	а от	3	2
171	и поэтому	2	2
