N	2gram	Vinokur_St_2	Myshleni
1	в процессе	2	27
2	и в	29	25
3	в том	27	23
4	том что	27	20
5	и речи	2	20
6	что в	19	17
7	так же	3	17
8	таким образом	10	17
9	с тем	7	16
10	как и	2	15
11	то что	11	15
12	в его	13	15
13	в этом	21	14
14	вместе с	7	14
15	может быть	2	13
16	так как	2	12
17	в качестве	5	12
18	по своему	2	11
19	что они	2	10
20	как бы	5	10
21	и не	9	10
22	и что	6	10
23	того что	5	10
24	было бы	5	10
25	что и	2	10
26	только в	2	10
27	связи с	4	9
28	как в	3	9
29	ни в	3	9
30	того чтобы	6	8
31	не является	3	8
32	тем что	3	8
33	все эти	2	7
34	как это	2	7
35	по себе	3	7
36	для того	7	7
37	в области	2	7
38	самого начала	3	6
39	не менее	3	6
40	с другой	4	6
41	с самого	3	6
42	не в	4	6
43	же как	3	6
44	не может	2	6
45	и на	6	6
46	потому что	9	6
47	что он	13	6
48	в отношении	2	6
49	но не	3	6
50	того же	2	6
51	не только	19	6
52	все же	6	6
53	в отличие	2	6
54	точки зрения	5	6
55	все это	11	6
56	отличие от	2	6
57	так и	9	5
58	именно в	4	5
59	что это	3	5
60	тем не	2	5
61	и как	2	5
62	но это	3	5
63	в пользу	3	5
64	для него	4	5
65	при этом	2	5
66	одним из	6	5
67	и по	3	5
68	если бы	2	5
69	тот факт	4	5
70	и к	4	5
71	о том	17	5
72	как говорит	2	5
73	в этой	2	5
74	факт что	6	5
75	в частности	4	4
76	никогда не	3	4
77	в своем	9	4
78	в какой	2	4
79	прежде всего	5	4
80	на то	2	4
81	к тому	10	4
82	что с	2	4
83	не мог	3	4
84	всяком случае	3	4
85	из них	3	4
86	но и	19	4
87	не столько	7	4
88	сказать что	2	4
89	в то	2	4
90	в известном	3	4
91	с этим	3	4
92	он не	9	4
93	по пути	2	4
94	тем же	2	4
95	которые не	3	4
96	во всяком	3	4
97	и это	2	4
98	там где	2	4
99	оба эти	3	3
100	с этой	2	3
101	и сам	2	3
102	в самом	7	3
103	в котором	7	3
104	другой стороны	3	3
105	то обстоятельство	4	3
106	этом отношении	9	3
107	в результате	2	3
108	между тем	5	3
109	обстоятельство что	4	3
110	его в	2	3
111	как он	2	3
112	по этому	2	3
113	к этому	4	3
114	сами по	2	3
115	связь с	2	3
116	или менее	2	3
117	а с	3	3
118	как известно	2	3
119	этот вопрос	2	3
120	не могли	2	3
121	того как	7	3
122	то же	2	2
123	в этих	3	2
124	тому что	7	2
125	раньше чем	4	2
126	в тех	2	2
127	в один	2	2
128	ни было	2	2
129	так что	3	2
130	но все	7	2
131	такого рода	2	2
132	хотя и	4	2
133	в нем	4	2
134	с той	2	2
135	относятся к	3	2
136	как на	9	2
137	на себя	3	2
138	на его	2	2
139	и здесь	3	2
140	в начале	3	2
141	совершенно так	2	2
142	в чисто	2	2
143	говорит об	2	2
144	образом не	2	2
145	но они	2	2
146	с его	2	2
147	из нее	3	2
148	в них	2	2
149	в одном	6	2
150	с нею	3	2
151	конечно в	2	2
152	об этом	6	2
153	только потому	2	2
154	и потому	2	2
155	а также	2	2
156	еще в	2	2
157	оно не	3	2
158	в своей	7	2
159	только что	2	2
160	внимание на	4	2
161	в течение	6	2
162	в речи	4	2
163	на этот	2	2
164	и его	6	2
165	связан с	3	2
166	в каком	2	2
167	в себе	2	2
168	в эту	3	2
169	а как	4	2
