N	2gram	Medvedev_U_1	FransuaR
1	и в	14	41
2	таким образом	2	17
3	и с	2	16
4	но и	4	13
5	в этом	7	12
6	все это	5	11
7	прежде всего	8	10
8	в самом	2	10
9	не только	10	10
10	то что	7	10
11	в этой	4	8
12	но в	3	8
13	том что	2	7
14	как и	3	7
15	в его	2	7
16	что он	2	6
17	в то	3	6
18	то же	5	5
19	с его	2	5
20	же время	3	5
21	тем что	2	5
22	в себе	2	5
23	с другой	4	4
24	у нас	3	4
25	не в	2	4
26	меньшей степени	2	4
27	все же	3	4
28	не может	7	4
29	самом деле	2	4
30	одним из	2	4
31	на первый	2	3
32	но это	2	3
33	до сих	2	3
34	было бы	3	3
35	конечно не	4	3
36	в искусстве	6	3
37	сих пор	2	3
38	и для	2	3
39	этом отношении	2	3
40	и не	8	3
41	только в	2	3
42	не могут	2	2
43	всех этих	2	2
44	это уже	2	2
45	в частности	3	2
46	все они	2	2
47	для этого	3	2
48	превращается в	2	2
49	в конце	2	2
50	что все	2	2
51	в том	2	2
52	литературы и	2	2
53	но не	2	2
54	должна быть	2	2
55	может быть	6	2
56	в своей	3	2
57	другой стороны	3	2
58	как раз	2	2
59	а не	10	2
60	и у	2	2
61	мы не	2	2
62	и то	3	2
63	между тем	2	2
64	что мы	2	2
65	но конечно	2	2
66	в области	3	2
67	это было	2	2
