N	2gram	Voloshinov_1	Sovremen
1	не может	13	17
2	точки зрения	13	12
3	может быть	13	12
4	таким образом	21	11
5	мы не	4	9
6	не можем	3	7
7	в этом	13	7
8	и в	15	7
9	и не	16	6
10	как и	6	6
11	мы можем	12	6
12	только одна	2	6
13	ничего не	2	6
14	что же	4	5
15	прежде всего	11	5
16	все эти	9	5
17	и наконец	10	5
18	с точки	10	5
19	в условиях	3	5
20	как бы	11	4
21	в развитии	4	4
22	мы видели	5	4
23	если мы	5	4
24	в целом	2	4
25	жизни и	5	4
26	вместе с	4	4
27	в зависимости	2	4
28	это не	2	4
29	а в	6	4
30	не только	5	4
31	с помощью	9	4
32	в том	4	4
33	в дальнейшем	2	4
34	их в	2	4
35	точку зрения	4	4
36	мы должны	7	4
37	зависимости от	2	4
38	так как	9	4
39	но мы	2	3
40	самого начала	5	3
41	все же	5	3
42	на этой	2	3
43	отнюдь не	2	3
44	между собой	4	3
45	все это	5	3
46	то же	7	3
47	живого организма	3	3
48	на две	3	3
49	в нем	4	3
50	а не	2	3
51	и к	7	3
52	у нас	3	3
53	с самого	7	3
54	не в	4	3
55	в этой	5	3
56	одна из	3	3
57	еще не	7	3
58	при этом	7	3
59	было бы	6	3
60	в одном	3	3
61	и все	4	3
62	в первом	2	3
63	в себе	4	3
64	в области	3	3
65	что она	2	3
66	но в	9	3
67	и потому	8	3
68	так сказать	3	2
69	совершенно не	2	2
70	этих двух	2	2
71	не могут	3	2
72	что это	3	2
73	не менее	3	2
74	и есть	2	2
75	у него	3	2
76	не будем	2	2
77	значение в	3	2
78	быть и	2	2
79	в нашем	3	2
80	приводит к	2	2
81	из этих	4	2
82	что все	5	2
83	еще более	2	2
84	носит название	2	2
85	как мы	10	2
86	уже не	5	2
87	для развития	2	2
88	рот и	2	2
89	в свою	2	2
90	самом деле	7	2
91	и что	3	2
92	роль в	6	2
93	первый период	5	2
94	что при	2	2
95	и пр	9	2
96	что такое	3	2
97	и даже	2	2
98	дает нам	2	2
99	и по	5	2
100	тем не	2	2
101	мы знаем	7	2
102	он должен	2	2
103	той же	2	2
104	конечно в	2	2
105	в таком	3	2
106	но все	2	2
107	во всяком	4	2
108	на этом	5	2
109	знаем что	3	2
110	могут быть	6	2
111	с этим	6	2
112	что в	6	2
113	тот же	5	2
114	со всеми	3	2
115	которой он	2	2
116	период развития	4	2
117	по мнению	6	2
118	в самом	6	2
119	в его	9	2
120	всяком случае	3	2
121	все те	4	2
