N	2gram	Medvedev_S_1	Psycholo
1	то что	2	32
2	и в	3	31
3	в том	5	30
4	что в	2	23
5	может быть	2	22
6	таким образом	2	20
7	том что	2	16
8	только в	2	14
9	не только	3	13
10	в этом	5	12
11	не в	3	11
12	все это	7	8
13	и что	2	8
14	очевидно что	2	6
15	было бы	2	6
16	в его	3	6
17	для нас	3	5
18	как бы	2	5
19	то же	2	5
20	как будто	2	5
21	по существу	2	4
22	в результате	2	4
23	в частности	2	3
24	должна быть	2	3
25	это и	2	3
26	и только	3	3
27	в конце	2	3
28	конце концов	2	3
29	главным образом	2	2
30	далеко не	2	2
31	но и	2	2
