N	2gram	Tiupa_Disk_2	Freidism
1	и не	15	23
2	не может	9	20
3	точки зрения	4	19
4	прежде всего	7	18
5	в этом	16	15
6	в его	3	15
7	может быть	16	13
8	и его	3	12
9	как и	16	11
10	как бы	4	11
11	то что	5	11
12	все эти	3	11
13	с точки	2	11
14	так и	9	10
15	его в	3	10
16	но в	11	10
17	с его	6	9
18	и в	16	9
19	по отношению	4	9
20	что он	2	8
21	отношению к	4	8
22	еще не	6	8
23	в своей	6	8
24	он не	3	8
25	не только	10	8
26	все это	2	8
27	то же	6	8
28	только в	3	8
29	и все	3	8
30	ни в	7	7
31	отношение к	2	7
32	что же	2	7
33	и наконец	3	7
34	никогда не	2	6
35	и ее	3	6
36	для него	5	6
37	в ней	2	6
38	и с	2	6
39	в период	4	5
40	можно сказать	3	5
41	не в	3	5
42	в этой	4	5
43	в то	5	5
44	в большинстве	2	5
45	что в	5	5
46	но и	11	5
47	и прежде	2	5
48	в себя	2	5
49	а в	2	5
50	и на	5	5
51	могут быть	3	5
52	я и	4	5
53	не менее	7	4
54	но не	7	4
55	в котором	3	4
56	в этих	3	4
57	из этих	3	4
58	в пределах	4	4
59	сводится к	2	4
60	же время	5	4
61	при этом	17	4
62	в основе	4	4
63	в нем	7	4
64	все же	6	4
65	данном случае	6	4
66	не было	3	4
67	уже не	3	4
68	и для	2	4
69	той же	2	4
70	с их	2	4
71	в данном	7	4
72	потому что	4	4
73	говорить о	2	4
74	в них	3	3
75	в себе	19	3
76	и как	3	3
77	но это	3	3
78	и может	3	3
79	с ее	2	3
80	себя в	6	3
81	жизни и	3	3
82	вместе с	2	3
83	со стороны	10	3
84	приводит к	3	3
85	не знает	3	3
86	как в	8	3
87	чем не	2	3
88	и т.п	12	3
89	мы имеем	2	3
90	такой же	2	3
91	не является	4	3
92	человека в	4	2
93	реальности и	2	2
94	для себя	2	2
95	того же	2	2
96	с другой	5	2
97	это не	3	2
98	к этому	4	2
99	том что	10	2
100	а не	14	2
101	из важнейших	2	2
102	одной стороны	4	2
103	отсюда и	2	2
104	из них	3	2
105	же касается	2	2
106	в своем	5	2
107	на почве	2	2
108	что как	2	2
109	а с	5	2
110	этом отношении	4	2
111	с одной	4	2
112	внутренней речи	3	2
113	в отличие	12	2
114	как на	3	2
115	отличие от	12	2
116	роль в	4	2
117	и то	4	2
118	здесь в	3	2
119	их в	2	2
120	себя с	2	2
121	в своих	6	2
122	что и	2	2
123	к его	4	2
124	в другом	3	2
125	жизни но	3	2
126	в области	2	2
