N	2gram	Nazirov_Tv_1	StatiiOP
1	и в	21	44
2	в том	7	36
3	и т	3	30
4	что в	12	30
5	том что	11	29
6	в этом	6	21
7	вовсе не	5	19
8	то что	8	18
9	не только	7	18
10	а в	6	17
11	о том	6	17
12	и не	7	16
13	а не	5	16
14	может быть	5	15
15	в данном	2	14
16	как в	8	13
17	не в	2	12
18	в первой	2	12
19	в этой	5	11
20	самом деле	2	11
21	что он	6	10
22	но и	3	10
23	но в	7	10
24	только в	5	10
25	с другой	3	9
26	в то	15	9
27	как и	12	9
28	того что	3	9
29	т п	2	9
30	во второй	2	9
31	так и	2	9
32	в его	13	9
33	у пушкина	2	8
34	все же	5	8
35	из них	2	8
36	не может	4	8
37	и его	6	8
38	это не	4	8
39	я не	3	7
40	прежде всего	4	7
41	в самом	3	7
42	на эти	2	7
43	таким образом	5	7
44	сказать что	2	7
45	потому что	5	6
46	так что	2	6
47	но это	5	6
48	для него	6	6
49	что и	2	6
50	в своей	4	6
51	данном случае	2	6
52	именно в	2	6
53	на самом	3	6
54	дело в	3	6
55	хотя бы	5	6
56	не менее	6	5
57	никогда не	3	5
58	такой же	2	5
59	так же	3	5
60	в котором	6	5
61	в нем	3	5
62	в целом	4	5
63	жизни и	3	5
64	все это	10	5
65	вряд ли	2	5
66	той же	3	5
67	то же	13	5
68	и даже	3	5
69	и по	3	5
70	могут быть	2	5
71	так как	3	5
72	в частности	2	4
73	что она	2	4
74	гораздо более	2	4
75	представление о	3	4
76	это в	3	4
77	мы находим	2	4
78	это и	3	4
79	же время	12	4
80	в качестве	2	4
81	же и	2	4
82	но если	3	4
83	как бы	17	4
84	дело не	3	4
85	в россии	3	4
86	еще более	2	4
87	как будто	5	4
88	на эту	4	4
89	в которой	3	4
90	в основе	2	3
91	не существует	3	3
92	и с	3	3
93	стремление к	2	3
94	в каждом	3	3
95	об этом	2	3
96	то в	2	3
97	но не	3	3
98	того же	2	3
99	что не	2	3
100	своего рода	4	3
101	не по	3	3
102	в ней	2	3
103	даже в	3	3
104	и тем	2	3
105	говорит о	3	3
106	по мнению	3	3
107	в виде	3	3
108	что для	2	3
109	в двух	2	3
110	говорит что	2	3
111	за то	2	3
112	значит что	2	3
113	в чем	2	3
114	как к	2	3
115	может не	2	2
116	что все	3	2
117	уже в	3	2
118	а как	2	2
119	в этих	2	2
120	в своем	4	2
121	по крайней	2	2
122	второй части	2	2
123	больше чем	2	2
124	крайней мере	2	2
125	при этом	7	2
126	со всеми	3	2
127	следовало бы	2	2
128	если в	2	2
129	тем не	2	2
130	в первом	2	2
131	что как	2	2
132	справедливо указывает	2	2
133	тем самым	7	2
134	и у	2	2
135	свидетельствует о	2	2
136	не знает	2	2
137	в своих	5	2
138	у него	7	2
139	ни на	3	2
140	он не	8	2
141	но он	2	2
142	в себе	2	2
143	нет ни	2	2
144	о котором	2	2
145	и все	6	2
146	при помощи	2	2
147	ли в	2	2
148	говорит об	2	2
149	то есть	12	2
