N	2gram	Tiupa_Hudo_2	Vladivir
1	и в	28	31
2	не только	11	24
3	но и	9	19
4	то что	6	18
5	и не	18	17
6	у него	5	15
7	том что	19	14
8	что в	5	14
9	в этом	13	14
10	и с	6	14
11	что он	8	12
12	по поводу	3	12
13	в его	11	12
14	но в	2	12
15	с его	5	11
16	в том	15	11
17	потому что	2	11
18	о том	12	11
19	и то	2	10
20	он не	4	10
21	никогда не	5	9
22	как мы	2	9
23	а в	6	9
24	только в	4	9
25	в то	6	8
26	для него	5	7
27	об этом	7	7
28	о нем	2	7
29	как раз	4	7
30	и его	5	7
31	как это	7	7
32	сказать что	2	7
33	мы уже	3	7
34	еще и	2	7
35	и к	2	6
36	можно сказать	6	6
37	в качестве	4	6
38	и сам	5	6
39	может быть	8	6
40	в котором	6	6
41	его жизни	5	6
42	так и	8	6
43	не может	4	6
44	то же	6	6
45	это было	2	6
46	это был	2	5
47	а с	3	5
48	все это	3	5
49	вовсе не	2	5
50	не в	13	5
51	со своим	3	5
52	и от	2	5
53	а также	2	5
54	что и	4	5
55	жизни и	6	5
56	что же	2	5
57	не было	6	5
58	с ним	7	5
59	я не	7	4
60	же время	4	4
61	в своем	5	4
62	что у	3	4
63	и все	7	4
64	в нем	3	4
65	для нас	3	4
66	к ней	2	4
67	в себе	9	4
68	да и	5	4
69	как и	11	4
70	в этой	5	4
71	он уже	2	4
72	один из	2	4
73	в нашем	2	4
74	себя в	8	4
75	в своей	6	4
76	ни с	2	4
77	мысли и	2	4
78	и у	2	4
79	несмотря на	3	4
80	как он	3	4
81	к нему	3	4
82	к тому	7	3
83	в виде	2	3
84	отнюдь не	2	3
85	со своей	2	3
86	с другой	3	3
87	и просто	2	3
88	в жизни	8	3
89	как в	5	3
90	но не	4	3
91	это была	3	3
92	что они	4	3
93	ничего не	5	3
94	нам представляется	2	3
95	все же	2	3
96	отношение к	2	3
97	вместе с	2	3
98	на него	3	3
99	только на	5	3
100	о которой	2	3
101	уже не	10	3
102	и он	3	3
103	едва ли	3	3
104	и на	3	3
105	на себя	3	3
106	здесь не	2	3
107	место в	2	2
108	мы читаем	2	2
109	тем что	6	2
110	он сам	2	2
111	в ответ	3	2
112	не менее	5	2
113	в частности	7	2
114	для нее	4	2
115	в них	3	2
116	хотя бы	2	2
117	не столько	2	2
118	что все	3	2
119	одной из	3	2
120	все было	3	2
121	о его	2	2
122	тем не	4	2
123	мы знаем	2	2
124	личности с	2	2
125	тому же	2	2
126	что я	2	2
127	на этом	2	2
128	все что	3	2
129	он будет	2	2
130	еще не	3	2
131	при этом	11	2
132	было бы	3	2
133	в это	3	2
134	что на	3	2
135	в самом	5	2
136	ему в	2	2
137	и о	4	2
138	для себя	6	2
139	в детстве	5	2
140	и т	4	2
141	и а	2	2
142	этом и	3	2
143	из них	2	2
144	не по	2	2
145	дело не	2	2
146	который был	2	2
147	со стороны	3	2
148	что она	7	2
149	то и	4	2
150	именно так	2	2
151	т д	2	2
152	и для	2	2
153	жизнь в	2	2
154	лишь в	2	2
155	тем самым	2	2
156	того чтобы	4	2
157	для того	4	2
158	по его	3	2
159	как на	2	2
160	своей жизни	4	2
161	той же	2	2
162	с того	2	2
163	с ними	3	2
164	а по	2	2
165	пока еще	3	2
166	точки зрения	2	2
167	к себе	3	2
168	из этих	2	2
169	и это	3	2
170	ответ на	2	2
