N	2gram	Losev_Vlad_2	slovoVRo
1	и в	30	39
2	может быть	7	37
3	и его	6	33
4	то есть	7	26
5	не только	12	24
6	и не	18	22
7	но и	8	21
8	не может	9	20
9	в нем	4	19
10	до конца	7	17
11	все это	5	16
12	в этом	20	16
13	так и	5	15
14	а не	7	14
15	как в	3	13
16	отличие от	3	13
17	во всех	3	12
18	в отличие	3	12
19	вовсе не	4	10
20	не в	9	9
21	и с	14	9
22	прежде всего	6	8
23	себя в	2	8
24	таким образом	3	8
25	точки зрения	7	8
26	с его	4	7
27	при этом	5	7
28	для него	9	7
29	в его	11	7
30	как бы	5	7
31	никогда не	7	7
32	в этих	4	7
33	и потому	2	7
34	и даже	10	7
35	как мы	11	7
36	с ним	5	7
37	в них	3	6
38	и к	6	6
39	все же	9	6
40	как и	5	6
41	в своем	8	6
42	но не	3	6
43	она не	2	6
44	в сущности	2	6
45	жизни и	6	6
46	все эти	5	6
47	но в	8	6
48	это не	2	5
49	и для	3	5
50	и все	7	5
51	по себе	5	5
52	для нас	7	5
53	том что	12	5
54	но все	2	5
55	только в	6	5
56	в том	18	5
57	уже не	3	5
58	и наконец	4	5
59	конечно не	4	5
60	не менее	7	4
61	всех этих	3	4
62	борьба с	2	4
63	ни в	7	4
64	же время	3	4
65	наконец в	3	4
66	в основном	5	4
67	в отношении	3	4
68	его не	2	4
69	отношения к	3	4
70	то же	4	4
71	в той	2	4
72	в таком	3	4
73	а в	11	4
74	и на	4	4
75	даже и	3	4
76	в то	9	4
77	отношение к	4	4
78	его в	4	4
79	здесь не	4	4
80	так как	5	4
81	или как	2	4
82	что в	12	3
83	хотя бы	3	3
84	не столько	3	3
85	и от	2	3
86	здесь в	2	3
87	в свою	3	3
88	что и	3	3
89	но это	4	3
90	связи с	8	3
91	на этом	2	3
92	единство и	2	3
93	у него	19	3
94	и как	3	3
95	и часто	2	3
96	как к	2	3
97	в ней	4	3
98	к нему	2	3
99	стремится к	2	3
100	а также	10	3
101	с точки	3	3
102	той же	4	3
103	сказать что	11	3
104	в чем	2	3
105	как это	7	3
106	в чисто	2	3
107	во всяком	6	3
108	в данном	3	2
109	уже в	3	2
110	не был	2	2
111	не было	10	2
112	хотя и	6	2
113	именно к	3	2
114	однако в	2	2
115	его и	2	2
116	жизни в	2	2
117	на котором	2	2
118	но он	3	2
119	того как	2	2
120	тогда когда	2	2
121	с которым	2	2
122	в себе	6	2
123	что он	13	2
124	без всякого	2	2
125	в дальнейшем	5	2
126	мы сказали	2	2
127	более или	3	2
128	свою очередь	2	2
129	только и	3	2
130	мы уже	2	2
131	же и	2	2
132	к ней	3	2
133	о нем	2	2
134	всяком случае	6	2
135	даже в	2	2
136	языке в	2	2
137	и особенно	3	2
138	на его	4	2
139	мы видели	2	2
140	то что	20	2
141	дело в	3	2
142	вместе с	8	2
143	те же	3	2
144	или менее	3	2
145	а именно	6	2
146	в их	2	2
147	кроме того	9	2
148	в связи	8	2
149	с этим	5	2
150	в виде	3	2
151	от нас	2	2
152	именно в	4	2
153	еще более	3	2
154	мы не	2	2
155	эта идея	2	2
156	того чтобы	2	2
157	для того	2	2
158	также и	6	2
159	в результате	5	2
160	и при	2	2
161	в более	2	2
162	он не	4	2
163	к его	2	2
164	о том	4	2
165	как он	2	2
166	можно говорить	3	2
167	в области	3	2
168	в новом	2	2
