N	2gram	Voloshinov_1	KFilosof
1	может быть	8	43
2	в его	7	39
3	в нем	2	31
4	не может	8	27
5	и не	8	26
6	по отношению	3	25
7	и в	13	22
8	отношению к	3	21
9	в себе	3	21
10	в ее	3	17
11	а не	2	17
12	и его	12	17
13	только в	6	16
14	точки зрения	7	13
15	в этом	2	13
16	для него	2	12
17	все эти	2	11
18	в своей	4	11
19	не в	3	11
20	все это	4	10
21	с точки	5	10
22	в целом	2	9
23	но и	3	9
24	в их	3	9
25	как бы	6	9
26	и все	3	9
27	и для	3	9
28	лишь в	4	8
29	если бы	2	8
30	было бы	4	8
31	во всем	2	7
32	вовсе не	2	7
33	то что	6	7
34	в том	2	6
35	и их	7	6
36	никогда не	3	5
37	хотя бы	5	5
38	то же	4	5
39	не имеет	2	5
40	но ведь	5	5
41	но в	4	5
42	как и	3	5
43	не только	6	5
44	для себя	2	5
45	ни одно	2	5
46	все же	5	5
47	там где	2	5
48	что в	3	4
49	входит в	2	4
50	здесь мы	3	4
51	при этом	2	4
52	в своих	2	4
53	с ними	2	4
54	между тем	2	4
55	в одном	3	4
56	не как	3	4
57	том что	2	4
58	во всей	2	4
59	а в	2	4
60	и т.д	5	4
61	в чем	2	4
62	не менее	2	3
63	в каждом	4	3
64	и пр	7	3
65	на язык	2	3
66	и тем	2	3
67	в ней	2	3
68	того или	2	3
69	мы не	4	3
70	сознания и	2	3
71	или иного	2	3
72	и этот	2	3
73	самом деле	3	3
74	тем что	2	3
75	могут быть	2	3
76	в другом	2	3
77	прежде всего	9	2
78	соответствии с	2	2
79	но для	3	2
80	может иметь	2	2
81	говорить о	3	2
82	в сознании	4	2
83	а как	2	2
84	и то	3	2
85	мы получим	2	2
86	что эта	2	2
87	думать что	2	2
88	конечно в	2	2
89	тот же	2	2
90	и может	2	2
91	кажется что	2	2
92	в процессе	5	2
93	так и	3	2
94	как в	2	2
95	и эта	5	2
96	в данном	2	2
97	от этого	2	2
98	всей своей	2	2
99	ничего общего	3	2
100	его на	2	2
101	в области	2	2
