N	2gram	Nazirov_Tr_1	Tvorches
1	у достоевского	5	28
2	и в	18	21
3	как бы	7	17
4	романах достоевского	2	15
5	в то	5	15
6	в его	3	13
7	то же	5	13
8	времени в	2	13
9	что в	4	12
10	как и	5	12
11	же время	6	12
12	достоевского в	3	12
13	то есть	3	12
14	с его	2	11
15	том что	4	11
16	в романе	10	10
17	все это	4	10
18	как в	3	8
19	он не	2	8
20	то что	4	8
21	у него	6	7
22	что достоевский	4	7
23	в том	2	7
24	тем самым	3	7
25	при этом	3	7
26	не только	8	7
27	и не	7	7
28	в году	9	7
29	и на	7	7
30	но в	6	7
31	он сам	7	6
32	что он	6	6
33	и все	4	6
34	в преступлении	2	6
35	для него	3	6
36	и его	6	6
37	в этом	9	6
38	о том	2	6
39	это уже	2	5
40	отнюдь не	3	5
41	но это	4	5
42	может быть	7	5
43	в этой	4	5
44	все же	5	5
45	потому что	2	5
46	как будто	3	5
47	в своем	3	4
48	прежде всего	4	4
49	в мире	3	4
50	и как	3	4
51	достоевский не	4	4
52	в целом	4	4
53	достоевским в	2	4
54	один из	3	4
55	романе идиот	3	4
56	и наказании	2	4
57	своего рода	3	4
58	преступлении и	2	4
59	не может	5	4
60	униженных и	16	4
61	это не	5	4
62	не случайно	2	4
63	и оскорбленных	17	4
64	для достоевского	2	4
65	в основном	3	4
66	в записках	2	4
67	уже в	3	3
68	никогда не	2	3
69	что все	2	3
70	я не	4	3
71	романа достоевского	2	3
72	с ним	3	3
73	не был	2	3
74	человеческой личности	2	3
75	говорит о	2	3
76	с ее	3	3
77	достоевский в	7	3
78	в дальнейшем	5	3
79	что я	4	3
80	в самом	2	3
81	неточка незванова	2	3
82	записках из	3	3
83	в нем	4	3
84	белых ночей	2	3
85	но и	4	3
86	князь мышкин	2	3
87	который в	2	3
88	в бесах	9	3
89	уже не	2	3
90	по мнению	2	3
91	и даже	4	3
92	не так	2	3
93	так же	4	3
94	и с	7	3
95	в виде	2	3
96	в рассказе	2	3
97	перед нами	2	2
98	а как	2	2
99	личности и	2	2
100	князь валковский	9	2
101	а что	2	2
102	в частности	2	2
103	романтический эстетизм	3	2
104	точно так	2	2
105	что и	2	2
106	об этом	4	2
107	униженные и	9	2
108	так что	2	2
109	не в	2	2
110	одна из	2	2
111	лицо его	2	2
112	в глаза	2	2
113	было в	2	2
114	году в	2	2
115	до конца	2	2
116	к тому	2	2
117	в неточке	2	2
118	моральный эстетизм	2	2
119	еще в	2	2
120	к жизни	5	2
121	данном случае	2	2
122	так и	5	2
123	вряд ли	2	2
124	говорит что	2	2
125	в отличие	2	2
126	что она	2	2
127	не мог	2	2
128	и он	3	2
129	отличие от	2	2
130	мертвого дома	2	2
131	в первом	2	2
132	сам достоевский	3	2
133	в данном	2	2
134	в себе	4	2
135	и оскорбленные	9	2
136	русской литературы	2	2
