N	2gram	Nazirov_Vr_1	Hudozhes
1	том что	3	16
2	и в	8	14
3	в том	3	12
4	не только	9	12
5	при этом	4	12
6	о том	4	12
7	в этом	8	11
8	в себе	2	11
9	для него	2	10
10	в своей	2	10
11	у него	5	9
12	что он	4	9
13	как и	6	9
14	то же	5	9
15	то что	7	8
16	же время	5	8
17	между тем	5	8
18	в этой	2	8
19	в то	5	8
20	в его	3	8
21	это не	4	7
22	уже не	2	7
23	еще не	2	7
24	как бы	4	7
25	не может	2	7
26	а в	2	7
27	тогда как	2	7
28	никогда не	2	6
29	что в	7	6
30	человека в	3	6
31	в глазах	2	6
32	не менее	2	5
33	с его	3	5
34	к себе	2	5
35	об этом	5	5
36	может быть	4	5
37	и он	2	5
38	и а	2	5
39	но и	7	5
40	по мнению	2	5
41	и его	3	5
42	точки зрения	2	5
43	но в	6	5
44	связи с	3	4
45	в своем	3	4
46	т е	3	4
47	столь же	2	4
48	и все	7	4
49	на то	3	4
50	несмотря на	4	4
51	и о	3	4
52	в ней	4	4
53	из них	2	4
54	как раз	2	4
55	не было	5	4
56	он не	3	4
57	в русской	3	4
58	в конце	3	4
59	и это	2	4
60	с ним	4	4
61	и с	6	4
62	отнюдь не	2	3
63	что у	3	3
64	но он	3	3
65	же в	2	3
66	это в	2	3
67	в мире	2	3
68	о нем	6	3
69	речь идет	3	3
70	в нем	6	3
71	русской литературе	3	3
72	все же	6	3
73	в связи	3	3
74	и даже	6	3
75	с точки	2	3
76	в своих	4	3
77	м м	2	3
78	тем что	3	3
79	его в	3	3
80	а также	2	3
81	так в	2	2
82	матери и	3	2
83	по нашему	3	2
84	мы знаем	2	2
85	этот момент	2	2
86	к творчеству	3	2
87	же как	2	2
88	одна из	2	2
89	и что	8	2
90	раз в	3	2
91	в начале	6	2
92	в него	2	2
93	все это	4	2
94	а с	2	2
95	и не	5	2
96	там же	2	2
97	в это	2	2
98	на основе	2	2
99	эти слова	3	2
100	что я	2	2
101	но как	2	2
