N	2gram	Trubetskoy_1	Psycholo
1	то что	7	37
2	и в	26	30
3	в том	11	27
4	что в	9	24
5	и что	4	23
6	потому что	7	23
7	том что	7	21
8	для того	5	20
9	таким образом	22	20
10	того чтобы	5	20
11	как бы	12	19
12	что он	4	17
13	на то	2	17
14	не только	10	16
15	в самом	4	14
16	в этом	15	14
17	так же	5	13
18	то есть	4	13
19	одной стороны	7	12
20	вместе с	15	12
21	с одной	7	12
22	если бы	3	11
23	может быть	10	11
24	как на	8	11
25	что мы	2	11
26	о том	6	10
27	никогда не	5	9
28	с другой	8	9
29	для этого	2	9
30	не может	4	9
31	сказать что	2	9
32	так как	9	9
33	с тем	18	8
34	что это	3	8
35	мы имеем	2	8
36	к тому	6	8
37	не в	2	8
38	а не	5	8
39	при этом	3	8
40	того что	3	8
41	и это	2	8
42	в нем	4	7
43	и как	3	7
44	но не	8	7
45	мы можем	2	7
46	все же	6	7
47	то же	4	7
48	точки зрения	13	7
49	уже в	2	6
50	ясно что	3	6
51	в своем	3	6
52	именно в	2	6
53	и если	3	6
54	и для	5	6
55	но и	9	6
56	что все	4	6
57	что оно	4	6
58	и не	8	6
59	жизни и	2	6
60	и здесь	2	6
61	о котором	2	6
62	только не	2	5
63	что именно	2	5
64	несмотря на	6	5
65	и потому	6	5
66	в этой	4	5
67	еще не	2	5
68	до сих	5	5
69	когда он	3	5
70	один из	2	5
71	сих пор	5	5
72	а с	7	5
73	в себе	6	5
74	но в	7	5
75	только в	4	5
76	же самое	2	5
77	в результате	3	4
78	сравнению с	2	4
79	и все	2	4
80	прежде всего	2	4
81	уже давно	2	4
82	и к	5	4
83	мысль о	2	4
84	в его	5	4
85	заключает в	2	4
86	в них	2	4
87	по сравнению	2	4
88	к другу	2	4
89	только что	2	4
90	а в	4	4
91	из которых	4	4
92	в конце	6	4
93	должен был	4	4
94	в виду	2	4
95	не могут	2	3
96	и другие	3	3
97	при таком	2	3
98	хотя бы	3	3
99	не как	2	3
100	из этих	10	3
101	состоит в	2	3
102	к этому	3	3
103	самого начала	2	3
104	с самого	3	3
105	так что	3	3
106	в свою	2	3
107	для него	3	3
108	тот же	2	3
109	друг с	5	3
110	он не	4	3
111	что и	6	3
112	так и	6	3
113	так например	2	3
114	и только	4	3
115	этом отношении	2	3
116	и сейчас	2	3
117	и о	3	3
118	с другом	5	3
119	и наконец	2	3
120	на этот	4	3
121	в таком	3	3
122	смотреть на	2	3
123	целый ряд	4	3
124	в силу	5	3
125	и на	2	3
126	мы должны	6	3
127	в этих	4	3
128	в которой	3	3
129	с этой	3	2
130	в отношении	6	2
131	с его	2	2
132	ни один	2	2
133	же как	3	2
134	связи с	9	2
135	он в	2	2
136	к которым	2	2
137	влечет за	2	2
138	в одном	3	2
139	что эти	3	2
140	или иной	2	2
141	именно из	2	2
142	можно сказать	3	2
143	различия между	2	2
144	по существу	2	2
145	но все	7	2
146	и при	3	2
147	того же	6	2
148	той или	2	2
149	в качестве	3	2
150	в котором	4	2
151	тех пор	2	2
152	не с	2	2
153	из них	7	2
154	во всех	2	2
155	быть и	2	2
156	все это	6	2
157	отличается от	2	2
158	и таким	3	2
159	образом если	2	2
160	в течение	4	2
161	приводит к	2	2
162	с точки	6	2
163	и даже	3	2
164	в глазах	2	2
165	в которых	4	2
166	и с	10	2
167	в то	4	2
168	все эти	6	2
169	из этого	2	2
170	конце концов	3	2
