N	3gram	Vygotskiy__1	Freidism
1	с точки зрения	2	11
2	во всяком случае	6	7
3	не может быть	8	7
4	в самом деле	7	6
5	в зависимости от	5	4
6	на самом деле	2	4
7	в таком случае	2	3
8	к тому чтобы	3	3
9	в собственном смысле	3	3
10	в конечном счете	3	3
11	и той же	3	3
12	одной и той	3	3
13	для того чтобы	5	3
14	то или иное	2	2
15	так и в	2	2
16	то же самое	2	2
17	с одной стороны	5	2
18	тем не менее	2	2
19	мы видели что	2	2
20	в отличие от	3	2
21	в конце концов	3	2
22	в этом отношении	2	2
23	он не только	2	2
24	до сих пор	3	2
25	благодаря тому что	2	2
26	все то что	3	2
