N	2gram	Tiupa_Lite_2	Tragedij
1	и в	19	18
2	в году	5	9
3	в этом	9	9
4	не только	8	8
5	и не	11	7
6	и на	6	7
7	и с	3	7
8	может быть	17	7
9	как бы	2	7
10	что он	3	6
11	и его	3	6
12	же время	9	6
13	у него	2	6
14	но в	2	6
15	все же	2	5
16	к жизни	2	5
17	так и	7	5
18	не может	9	5
19	то же	12	5
20	как и	10	5
21	в то	9	5
22	но и	10	4
23	то что	7	4
24	в целом	2	4
25	что в	4	4
26	я не	5	4
27	прежде всего	4	4
28	в нем	3	4
29	и даже	8	4
30	том что	7	4
31	но это	3	4
32	в этой	3	4
33	что я	2	4
34	и что	2	4
35	в себе	6	4
36	еще не	2	4
37	уже в	2	3
38	один из	4	3
39	с ее	2	3
40	отнюдь не	4	3
41	в конце	2	3
42	тем самым	3	3
43	и он	3	3
44	и как	3	3
45	в его	4	3
46	для него	4	3
47	при этом	6	3
48	и сам	2	3
49	своего рода	13	3
50	в мире	9	3
51	как это	2	3
52	с ним	2	3
53	то есть	5	3
54	еще в	4	2
55	и до	2	2
56	что и	2	2
57	в частности	4	2
58	и за	2	2
59	права на	3	2
60	со мной	4	2
61	данном случае	3	2
62	то и	3	2
63	из своих	2	2
64	уже не	2	2
65	столь же	5	2
66	не так	2	2
67	я все	3	2
68	в ее	2	2
69	в том	10	2
70	до конца	2	2
71	друг друга	2	2
72	так что	4	2
73	не в	4	2
74	в глазах	3	2
75	в данном	3	2
76	и то	3	2
77	в русском	2	2
78	не случайно	4	2
79	одна из	5	2
80	потому что	2	2
81	с тем	2	2
82	тем что	4	2
83	он и	2	2
84	о том	2	2
85	нет в	2	2
86	ничего не	3	2
87	он не	5	2
88	в одном	2	2
89	никогда не	3	2
90	одном из	2	2
