N	2gram	Vinokur_Ku_1	Morfolog
1	может быть	13	52
2	и т	33	49
3	т д	14	47
4	и пр	15	40
5	таким образом	12	20
6	не может	7	17
7	т е	38	16
8	в этих	4	16
9	с этим	4	14
10	этих случаях	2	14
11	и в	24	13
12	в этом	14	13
13	так как	9	12
14	связи с	7	11
15	прежде всего	9	9
16	не всегда	2	9
17	этом случае	2	9
18	так и	7	9
19	в связи	3	9
20	то же	8	9
21	и не	12	9
22	а не	8	9
23	мы имеем	6	9
24	с другой	7	8
25	по существу	4	8
26	что и	4	8
27	в результате	5	8
28	вопрос о	2	7
29	в тех	4	7
30	в качестве	7	7
31	но если	2	7
32	все же	12	7
33	это не	7	6
34	не могут	2	6
35	и здесь	3	6
36	в том	30	6
37	но не	5	6
38	а в	5	6
39	не менее	7	5
40	если мы	2	5
41	мы увидим	3	5
42	как бы	7	5
43	не все	2	5
44	один из	4	5
45	то что	9	5
46	или в	2	5
47	потому что	23	5
48	что в	17	4
49	и как	2	4
50	вовсе не	10	4
51	что его	2	4
52	тем не	4	4
53	отношению к	9	4
54	было бы	15	4
55	на его	3	4
56	несмотря на	3	4
57	не только	10	4
58	то это	3	4
59	как в	4	4
60	другой стороны	6	4
61	так же	4	4
62	по отношению	8	4
63	как и	2	4
64	там где	4	4
65	то мы	3	4
66	хотя и	3	4
67	тем что	8	4
68	точки зрения	14	4
69	с точки	9	4
70	видно что	2	4
71	также и	2	4
72	в иных	2	4
73	если в	2	4
74	а если	3	4
75	ничего не	2	4
76	если бы	9	3
77	а то	2	3
78	в какой	6	3
79	в последнем	2	3
80	же в	4	3
81	том что	21	3
82	но все	2	3
83	что они	4	3
84	в целом	4	3
85	в пределах	4	3
86	того чтобы	17	3
87	в сущности	3	3
88	во втором	2	3
89	он не	2	3
90	не является	2	3
91	в первом	3	3
92	ни в	2	3
93	но и	6	3
94	целый ряд	5	3
95	на самом	2	3
96	самом деле	9	3
97	и для	2	3
98	из них	4	3
99	в то	2	3
100	но в	2	3
101	иных случаях	2	2
102	и более	2	2
103	с тем	5	2
104	в частности	4	2
105	хотя бы	10	2
106	образом если	2	2
107	этого не	2	2
108	состоит в	3	2
109	что он	6	2
110	в собственном	2	2
111	можно сказать	3	2
112	так например	2	2
113	не с	3	2
114	и при	2	2
115	только в	11	2
116	а на	2	2
117	в большинстве	2	2
118	тех случаях	2	2
119	как то	2	2
120	в таких	4	2
121	оно не	3	2
122	или менее	3	2
123	и тогда	4	2
124	как например	2	2
125	а а	3	2
126	случаях когда	2	2
127	а с	3	2
128	все эти	6	2
129	и что	5	2
130	к себе	4	2
131	того что	9	2
132	для того	16	2
133	что такое	6	2
134	уже не	8	2
135	не имеет	2	2
136	после чего	2	2
137	и его	5	2
138	можно было	6	2
139	в каком	2	2
140	но вот	2	2
141	о том	9	2
142	что эти	4	2
143	в свое	2	2
144	ясно что	3	2
145	здесь не	3	2
146	как это	3	2
147	более или	3	2
148	это было	2	2
