N	2gram	Vinokur_St_2	UchenyiS
1	и в	29	14
2	а не	5	10
3	не только	19	10
4	и не	9	8
5	прежде всего	5	8
6	то что	11	7
7	в этом	21	7
8	не может	2	7
9	может быть	2	6
10	хотя бы	3	5
11	все это	11	5
12	то же	2	5
13	но и	19	4
14	в этой	2	4
15	в их	3	4
16	в россии	3	4
17	с другой	4	4
18	что такое	2	4
19	только к	2	3
20	но в	8	3
21	как и	2	3
22	все же	6	3
23	в своей	7	3
24	в частности	4	3
25	бы то	2	3
26	очевидно что	2	3
27	то ни	2	3
28	другой стороны	3	3
29	для него	4	3
30	вряд ли	3	3
31	в то	2	3
32	было бы	5	3
33	в области	2	3
34	к сожалению	2	3
35	ни было	2	3
36	у нас	3	3
37	том что	27	2
38	но не	3	2
39	в том	27	2
40	по существу	2	2
41	с его	2	2
42	не в	4	2
43	но это	3	2
44	должна была	2	2
45	не столько	7	2
46	о чем	5	2
47	если бы	2	2
48	только в	2	2
49	и с	4	2
50	тем что	3	2
51	сих пор	5	2
52	что он	13	2
53	в себе	2	2
54	как раз	8	2
55	до сих	6	2
56	пишет он	2	2
57	в конце	2	2
58	если не	2	2
59	этом отношении	9	2
60	в самом	7	2
61	неудивительно что	3	2
62	по себе	3	2
63	в некоторых	2	2
64	одним из	6	2
65	не приходится	4	2
66	ничего не	4	2
67	самом деле	3	2
68	а как	4	2
69	что и	2	2
70	в его	13	2
71	между тем	5	2
72	таким образом	10	2
73	материал для	3	2
74	это было	2	2
