N	2gram	Voloshinov_1	Narrotol
1	не только	7	31
2	но и	4	27
3	и не	4	23
4	при этом	6	19
5	может быть	17	15
6	в частности	2	14
7	как и	2	13
8	а в	3	13
9	только в	4	12
10	в этом	9	12
11	и в	16	11
12	и его	8	10
13	то что	3	9
14	то же	2	8
15	в том	3	8
16	и т.п	2	8
17	не может	8	8
18	у него	2	7
19	том что	3	7
20	на протяжении	2	7
21	но в	4	7
22	в самом	2	6
23	как бы	5	6
24	один из	2	6
25	жизни и	3	6
26	в его	4	6
27	в этой	4	6
28	можно сказать	4	5
29	в своей	2	5
30	так и	4	5
31	и на	4	5
32	точки зрения	8	5
33	с его	7	4
34	никогда не	2	4
35	из этих	2	4
36	к себе	3	4
37	матери и	3	4
38	что на	2	4
39	для него	6	4
40	прежде всего	9	4
41	еще не	5	4
42	в нем	4	4
43	о том	2	4
44	в одном	3	4
45	не существует	2	3
46	не менее	2	3
47	что в	3	3
48	в жизни	2	3
49	что он	2	3
50	сводится к	2	3
51	и как	3	3
52	в начале	2	3
53	самом деле	6	3
54	но как	2	3
55	при всей	2	3
56	и о	2	3
57	он не	2	3
58	в конечном	3	3
59	едва ли	3	3
60	мы не	2	3
61	их в	3	3
62	и с	8	3
63	и ее	4	3
64	и все	4	3
65	как это	3	3
66	отнюдь не	4	2
67	в этих	3	2
68	между собой	2	2
69	а на	2	2
70	как мы	4	2
71	но зато	2	2
72	с ее	4	2
73	по своему	2	2
74	все что	4	2
75	между ними	3	2
76	всех его	2	2
77	до сих	3	2
78	в пределах	2	2
79	во сне	2	2
80	к ним	2	2
81	всяком случае	3	2
82	оно не	2	2
83	на две	3	2
84	хотя бы	4	2
85	не будет	2	2
86	вместе с	3	2
87	сих пор	3	2
88	только на	3	2
89	и только	9	2
90	и через	2	2
91	и вот	3	2
92	что не	2	2
93	и даже	4	2
94	и притом	3	2
95	и для	2	2
96	с ними	4	2
97	друг на	2	2
98	сказать что	7	2
99	во всяком	3	2
100	мы можем	9	2
101	на друга	2	2
102	что мы	2	2
103	в чем	5	2
104	с ним	2	2
105	в области	3	2
