N	2gram	Potebnia_M_1	KulturaY
1	и т	6	54
2	т п	4	41
3	и в	39	23
4	точки зрения	8	23
5	в том	26	22
6	не только	21	17
7	было бы	12	16
8	в этом	15	16
9	с точки	3	16
10	может быть	27	14
11	что в	22	13
12	в самом	3	13
13	не менее	6	12
14	для того	3	12
15	потому что	52	12
16	вопрос о	4	11
17	том что	16	11
18	а не	21	11
19	того что	8	11
20	в его	5	11
21	того чтобы	2	11
22	у нас	2	10
23	и не	18	10
24	прежде всего	4	9
25	тем не	6	9
26	еще не	6	9
27	хотя бы	2	9
28	таким образом	13	9
29	так как	21	9
30	если бы	14	8
31	между прочим	2	8
32	т д	4	8
33	уже не	2	8
34	как на	3	8
35	в виду	2	8
36	с другой	7	7
37	если мы	3	7
38	слова и	4	7
39	в языке	33	7
40	и что	10	7
41	должно быть	7	7
42	сказать что	3	7
43	того как	6	7
44	с тем	5	6
45	для этого	2	6
46	языка в	6	6
47	по себе	10	6
48	что и	6	6
49	при этом	6	6
50	и тем	3	6
51	так и	13	6
52	в их	2	6
53	не может	22	6
54	то же	6	6
55	о языке	3	6
56	могут быть	9	6
57	связи с	3	6
58	только в	25	6
59	о том	2	6
60	что же	2	5
61	не могут	4	5
62	независимо от	6	5
63	и есть	2	5
64	вовсе не	5	5
65	слов и	4	5
66	как и	9	5
67	не в	15	5
68	хотя и	3	5
69	как бы	6	5
70	все же	6	5
71	от того	4	5
72	как мы	2	5
73	во внимание	3	5
74	а в	5	5
75	но это	5	5
76	тем более	2	5
77	тем что	9	5
78	из этих	4	5
79	в первом	5	5
80	и должно	2	5
81	слова в	2	4
82	были бы	3	4
83	тому что	3	4
84	языка как	5	4
85	для нас	9	4
86	только тогда	5	4
87	в целом	2	4
88	того же	3	4
89	одной стороны	3	4
90	столь же	3	4
91	в сущности	2	4
92	в своей	3	4
93	и о	2	4
94	язык есть	17	4
95	то что	10	4
96	как в	10	4
97	в своем	3	4
98	не было	4	4
99	с одной	3	4
100	заключается в	3	4
101	тем самым	4	4
102	что не	10	4
103	в таком	5	4
104	к языку	2	4
105	вопросом о	2	4
106	в слове	8	4
107	между тем	5	4
108	тогда когда	9	4
109	но на	2	3
110	и более	2	3
111	что это	3	3
112	то мы	2	3
113	вопроса о	2	3
114	что слово	3	3
115	это не	7	3
116	должна быть	3	3
117	есть не	2	3
118	к тому	4	3
119	что на	6	3
120	с этой	2	3
121	но как	3	3
122	мы видели	4	3
123	то в	5	3
124	что именно	2	3
125	но не	8	3
126	очевидно что	3	3
127	этого языка	2	3
128	по поводу	3	3
129	что сам	3	3
130	он не	3	3
131	но если	2	3
132	то это	5	3
133	не есть	10	3
134	только то	2	3
135	но и	20	3
136	на него	3	3
137	по отношению	13	3
138	связь между	2	3
139	другой стороны	5	3
140	мы не	10	3
141	не по	4	3
142	в ней	7	3
143	не имеет	5	3
144	не так	3	3
145	не потому	2	3
146	и с	3	3
147	той же	3	3
148	что как	3	3
149	языка но	3	3
150	могло бы	3	3
151	этот вопрос	2	3
152	то он	2	3
153	в каком	6	3
154	в то	4	3
155	и только	2	3
156	она не	3	3
157	мы должны	3	3
158	бы не	6	3
159	там где	4	3
160	когда мы	2	3
161	так сказать	2	2
162	вопрос об	3	2
163	только для	3	2
164	но все	2	2
165	себе представить	7	2
166	все они	2	2
167	одного и	2	2
168	в одном	8	2
169	что все	3	2
170	как например	2	2
171	язык не	5	2
172	не более	4	2
173	сама по	3	2
174	и того	2	2
175	и как	6	2
176	и при	3	2
177	чем в	2	2
178	язык и	5	2
179	когда в	3	2
180	и если	2	2
181	от языка	4	2
182	мог бы	2	2
183	за пределы	2	2
184	никак не	2	2
185	что если	3	2
186	увидим что	4	2
187	в таких	2	2
188	однако в	4	2
189	не все	2	2
190	отношению к	13	2
191	вместе с	8	2
192	но язык	2	2
193	мысли и	9	2
194	отношений между	3	2
195	и без	3	2
196	языка и	17	2
197	то и	7	2
198	и вопрос	2	2
199	быть не	4	2
200	при котором	2	2
201	только что	2	2
202	от нас	2	2
203	еще более	2	2
204	а потому	10	2
205	из того	2	2
206	чтобы не	2	2
207	перейти к	2	2
208	на этот	2	2
209	тем же	2	2
210	так же	5	2
211	во всяком	3	2
212	что мы	4	2
213	мы называем	2	2
214	тому как	4	2
215	если же	5	2
216	в этих	7	2
217	таком случае	2	2
218	относится к	3	2
219	она может	3	2
220	то не	3	2
221	само собою	2	2
222	но в	9	2
223	к новым	2	2
224	если и	2	2
