N	2gram	Vinokur_Ku_3	Myshleni
1	письменной речи	4	39
2	то что	4	26
3	что он	6	25
4	в этом	16	25
5	потому что	12	21
6	таким образом	9	19
7	в том	22	18
8	не может	6	18
9	точки зрения	23	18
10	того чтобы	11	17
11	что в	13	16
12	и в	23	16
13	того что	11	16
14	так как	9	16
15	не только	17	16
16	так же	2	15
17	том что	11	15
18	для того	12	14
19	в сущности	4	13
20	сказать что	7	13
21	в процессе	3	13
22	отношению к	2	12
23	вопрос о	11	12
24	по отношению	3	12
25	и не	10	12
26	и что	7	12
27	в области	14	12
28	отношение к	3	11
29	в его	11	11
30	из того	2	11
31	но не	3	10
32	с помощью	6	10
33	было бы	16	10
34	как мы	5	10
35	а не	11	10
36	в силу	6	10
37	только в	6	10
38	в отношении	3	9
39	может быть	14	9
40	с точки	16	9
41	точка зрения	4	8
42	должно быть	7	8
43	о том	6	8
44	как это	7	8
45	в известном	2	8
46	если бы	8	8
47	как и	5	8
48	мы должны	3	8
49	он не	3	8
50	то же	6	8
51	тем самым	4	8
52	и есть	5	7
53	известном смысле	2	7
54	в письменной	2	7
55	того же	4	7
56	так и	6	7
57	по себе	6	7
58	если мы	7	7
59	в какой	3	6
60	что все	2	6
61	не в	5	6
62	но если	3	6
63	но и	3	6
64	речи в	7	6
65	как он	2	6
66	но в	2	6
67	состоит в	2	6
68	языка и	2	6
69	к тому	3	6
70	в той	4	6
71	этот вопрос	3	6
72	на вопрос	3	5
73	должна быть	3	5
74	тому что	4	5
75	в своем	4	5
76	что они	2	5
77	как бы	5	5
78	но мы	2	5
79	хотя бы	9	5
80	еще более	2	5
81	заключается в	4	5
82	не знает	2	5
83	в то	3	5
84	тогда когда	4	5
85	можно сказать	2	5
86	тот же	6	5
87	как в	4	5
88	мысли и	2	5
89	только что	2	5
90	того как	7	5
91	можно было	11	5
92	тем что	5	5
93	ничего не	6	5
94	не могут	5	4
95	что если	2	4
96	все эти	7	4
97	с другой	7	4
98	это не	3	4
99	с этой	3	4
100	сама по	2	4
101	речи как	3	4
102	в пределах	2	4
103	при этом	6	4
104	в самом	13	4
105	на этот	2	4
106	в целом	4	4
107	в свете	2	4
108	именно в	3	4
109	к овладению	2	4
110	не имеет	3	4
111	что мы	2	4
112	в результате	3	4
113	не означает	2	4
114	точек зрения	2	4
115	ответить на	2	4
116	тем более	5	4
117	в качестве	2	4
118	еще не	9	4
119	за пределы	2	4
120	не есть	3	4
121	вместе с	2	4
122	той же	3	4
123	тому как	2	4
124	могут быть	6	4
125	не то	2	4
126	такой же	2	4
127	не менее	12	3
128	в частности	2	3
129	перейти к	2	3
130	одного и	2	3
131	прежде всего	9	3
132	и как	2	3
133	но это	5	3
134	самом деле	14	3
135	одной стороны	4	3
136	но как	3	3
137	и тот	2	3
138	нас к	2	3
139	как они	2	3
140	и тем	6	3
141	мы видели	3	3
142	значение в	2	3
143	от того	5	3
144	в их	6	3
145	он имеет	2	3
146	еще и	2	3
147	с одной	4	3
148	они не	3	3
149	между понятиями	2	3
150	как на	8	3
151	а в	5	3
152	и с	3	3
153	к его	2	3
154	говорить о	6	3
155	в первом	5	3
156	в этих	2	3
157	между тем	4	3
158	мы не	3	3
159	и более	3	3
160	с тем	6	3
161	в одном	2	3
162	вопрос об	2	3
163	этом случае	4	3
164	все же	5	3
165	и того	2	3
166	по существу	3	3
167	это и	3	3
168	то в	3	3
169	чем в	2	3
170	по своему	2	3
171	никак не	2	3
172	а потому	2	3
173	что и	6	3
174	сих пор	8	3
175	на этом	2	3
176	как я	2	3
177	речь в	2	3
178	что значит	4	3
179	он в	2	3
180	отношения между	4	3
181	связи с	6	3
182	один и	2	3
183	вопроса о	3	3
184	в чем	5	3
185	до сих	8	3
186	только для	2	2
187	я не	5	2
188	столь же	4	2
189	но все	2	2
190	очевидно что	3	2
191	не дает	2	2
192	по поводу	3	2
193	в ней	3	2
194	в виду	8	2
195	совершенно не	5	2
196	в котором	2	2
197	связи и	2	2
198	в своей	4	2
199	через которые	2	2
200	в отличие	2	2
201	что она	5	2
202	отношений между	2	2
203	все это	2	2
204	другой стороны	3	2
205	то и	2	2
206	язык и	2	2
207	то обстоятельство	3	2
208	те же	7	2
209	совершенно ясно	2	2
210	свое время	2	2
211	говорим о	2	2
212	не станем	2	2
213	может иметь	3	2
214	на практике	4	2
215	обстоятельство что	3	2
216	и здесь	2	2
217	что эти	2	2
218	быть совершенно	2	2
219	же мы	4	2
220	речи но	3	2
221	о чем	2	2
222	в зависимости	7	2
223	вовсе не	5	2
224	его в	2	2
225	быть в	2	2
226	есть не	3	2
227	в различных	2	2
228	не с	2	2
229	то это	3	2
230	и к	3	2
231	отличие от	2	2
232	у нас	10	2
233	чтобы понять	2	2
234	зависимости от	8	2
235	учение о	2	2
236	бы сказать	3	2
237	слов и	5	2
238	или иным	2	2
239	когда он	2	2
240	в корне	2	2
241	во внимание	5	2
242	в область	2	2
243	в свое	2	2
244	тому же	3	2
245	а с	3	2
246	естественно что	3	2
247	ни одного	2	2
248	а тем	2	2
249	во всяком	2	2
250	ни на	2	2
251	совершенно иной	2	2
252	на протяжении	2	2
253	мы говорим	4	2
254	учения о	4	2
