N	2gram	Kanaev_Sov_1	Myslijsy
1	и в	7	39
2	может быть	12	27
3	в том	4	26
4	что в	2	22
5	не может	17	22
6	а не	3	21
7	так как	4	21
8	не только	4	21
9	в нем	3	20
10	и не	6	18
11	не в	3	15
12	в этом	7	15
13	в себе	3	13
14	таким образом	11	13
15	было бы	3	12
16	мы не	9	10
17	и что	2	10
18	могут быть	2	9
19	для нас	3	9
20	как и	6	9
21	но в	3	9
22	в одном	3	8
23	вместе с	4	8
24	точки зрения	12	8
25	с этим	2	7
26	это не	4	7
27	то и	2	7
28	не менее	2	6
29	тем не	2	6
30	еще не	3	6
31	как бы	4	6
32	все же	3	6
33	то же	3	6
34	при этом	3	6
35	и по	2	6
36	и потому	3	5
37	что при	2	5
38	в его	2	5
39	в первом	3	5
40	а в	4	5
41	в таком	2	5
42	если же	2	5
43	не могут	2	4
44	при таком	3	4
45	вопрос о	4	4
46	прежде всего	5	4
47	в свою	2	4
48	мы видели	4	4
49	мы видим	2	4
50	свою очередь	2	4
51	каждый раз	6	4
52	в каждом	8	4
53	и даже	2	4
54	из этих	2	4
55	что это	2	3
56	и во	2	3
57	что все	2	3
58	из одного	2	3
59	самого начала	3	3
60	с самого	3	3
61	в этой	3	3
62	если мы	4	3
63	в самом	2	3
64	по мнению	2	3
65	или же	2	3
66	то ни	2	3
67	с одной	2	3
68	той же	2	3
69	во всяком	2	3
70	с точки	5	3
71	мы должны	4	3
72	и все	3	3
73	она может	2	3
74	и есть	2	2
75	он должен	2	2
76	мы называем	3	2
77	известных нам	2	2
78	не можем	7	2
79	как мы	2	2
80	жизни и	4	2
81	уже не	2	2
82	у нас	3	2
83	но все	2	2
84	ни одна	2	2
85	в целом	4	2
86	что же	5	2
87	времени и	2	2
88	еще более	2	2
89	на этот	2	2
90	тем же	2	2
91	в один	2	2
92	так сказать	2	2
93	когда мы	3	2
94	само собою	3	2
95	в которой	2	2
96	мы можем	6	2
