N	2gram	Tiupa_Narr_2	FransuaR
1	и в	13	40
2	то есть	9	18
3	и его	3	17
4	прежде всего	6	16
5	в этом	13	15
6	не только	26	13
7	и не	14	13
8	в его	6	13
9	что в	4	12
10	вовсе не	2	12
11	как и	4	11
12	но и	15	11
13	и т.п	6	10
14	таким образом	5	10
15	и все	4	9
16	может быть	10	9
17	он не	5	9
18	во время	2	8
19	в том	14	8
20	у него	6	8
21	все эти	3	8
22	той же	2	8
23	но в	6	8
24	в своем	6	7
25	то же	4	7
26	же время	3	6
27	в самом	2	6
28	в своей	4	6
29	в той	5	6
30	в то	5	6
31	в литературе	4	5
32	со всеми	2	5
33	как раз	3	5
34	в нем	5	5
35	то что	8	5
36	начала и	2	5
37	те же	2	5
38	а не	17	5
39	и для	3	5
40	в своих	2	5
41	так сказать	3	5
42	для него	4	5
43	в нашем	2	4
44	у нас	2	4
45	том что	13	4
46	было бы	2	4
47	ни для	2	4
48	в ней	2	4
49	а также	6	4
50	один из	3	4
51	в мире	4	4
52	в культуре	2	4
53	жизни и	4	4
54	жизнью и	2	4
55	роль в	2	4
56	только на	2	4
57	о том	5	4
58	в данном	10	4
59	того чтобы	3	4
60	и даже	3	4
61	и здесь	2	4
62	видно что	2	4
63	в области	2	4
64	с его	3	3
65	если бы	4	3
66	в частности	11	3
67	и к	6	3
68	об этом	4	3
69	в ее	4	3
70	но это	2	3
71	в начале	2	3
72	в этой	4	3
73	одна из	3	3
74	еще не	2	3
75	такого рода	12	3
76	никак не	3	3
77	как бы	6	3
78	о нем	3	3
79	что и	2	3
80	так и	9	3
81	как в	5	3
82	по отношению	5	3
83	не может	8	3
84	а в	9	3
85	на самом	2	3
86	самом деле	3	3
87	можно было	2	3
88	сказать что	3	3
89	между тем	3	3
90	при этом	14	3
91	одно из	2	3
92	в отличие	5	3
93	они не	2	3
94	в себе	8	3
95	в другом	4	3
96	только в	11	3
97	на протяжении	5	3
98	в конце	4	3
99	здесь не	2	3
100	отличие от	5	3
101	в других	2	3
102	не менее	4	2
103	времени и	4	2
104	о чем	2	2
105	хотя бы	2	2
106	в течение	2	2
107	с другой	5	2
108	это не	3	2
109	из этих	2	2
110	с нею	2	2
111	что он	5	2
112	или иной	3	2
113	можно сказать	6	2
114	все же	6	2
115	но не	3	2
116	все что	4	2
117	и сам	3	2
118	свидетельствует о	4	2
119	той или	3	2
120	в котором	5	2
121	раз в	2	2
122	отношению к	5	2
123	в целом	3	2
124	не к	4	2
125	своего рода	9	2
126	данном случае	6	2
127	жизни с	2	2
128	в форме	5	2
129	этом отношении	3	2
130	именно в	2	2
131	и у	4	2
132	характер и	3	2
133	потому что	2	2
134	нового времени	2	2
135	но он	2	2
136	точки зрения	5	2
137	все то	2	2
138	далеко не	5	2
139	как он	2	2
140	мы не	2	2
141	как о	2	2
