N	2gram	Nazirov_Vr_1	Psycholo
1	и в	8	38
2	то что	7	35
3	в том	3	25
4	что в	7	20
5	может быть	4	19
6	и что	8	18
7	на то	3	16
8	точки зрения	2	16
9	в ней	4	15
10	том что	3	14
11	как бы	4	14
12	в этой	2	13
13	в этом	8	13
14	не только	9	12
15	таким образом	2	12
16	что он	4	11
17	то же	5	10
18	и не	5	10
19	и все	7	10
20	с точки	2	9
21	все же	6	8
22	для нас	4	8
23	как и	6	8
24	и как	3	8
25	как раз	2	8
26	и то	2	8
27	и это	2	8
28	не может	2	7
29	что у	3	7
30	а в	2	7
31	между тем	5	7
32	из них	2	6
33	в котором	6	6
34	он не	3	6
35	и его	3	6
36	о том	4	6
37	я не	3	5
38	в своем	3	5
39	несмотря на	4	5
40	в своей	2	5
41	вместе с	2	5
42	но и	7	5
43	в той	2	5
44	в его	3	5
45	никогда не	2	4
46	в свою	2	4
47	при этом	4	4
48	речь идет	3	4
49	не мог	2	4
50	в нем	6	4
51	раз в	3	4
52	при помощи	2	4
53	и даже	6	4
54	в своих	4	4
55	у него	5	4
56	одна из	2	4
57	в себе	2	4
58	в виду	4	4
59	место в	2	3
60	в них	2	3
61	к этому	3	3
62	он был	3	3
63	но это	2	3
64	наряду с	3	3
65	и о	3	3
66	все это	4	3
67	к ним	2	3
68	этот рассказ	2	3
69	тем что	3	3
70	далеко не	3	3
71	в то	5	3
72	на это	2	3
73	его в	3	3
74	но в	6	3
75	отнюдь не	2	2
76	столь же	2	2
77	и во	3	2
78	и ее	2	2
79	же в	2	2
80	как же	2	2
81	уже не	2	2
82	для него	2	2
83	но он	3	2
84	и уже	3	2
85	целый ряд	4	2
86	так же	4	2
87	по мнению	2	2
88	отношения к	2	2
89	а с	2	2
90	в конце	3	2
91	их в	2	2
92	эти слова	3	2
93	к себе	2	2
94	но как	2	2
95	в истории	4	2
96	чтобы он	3	2
97	в русской	3	2
98	с ним	4	2
99	в эту	2	2
