N	2gram	Potebnia_M_1	Narrotol
1	не только	21	31
2	но и	20	27
3	и не	18	23
4	при этом	6	19
5	может быть	27	15
6	как и	9	13
7	а не	21	13
8	а в	5	13
9	только в	25	12
10	в этом	15	12
11	и в	39	11
12	и его	5	10
13	тогда как	2	10
14	времени и	2	9
15	то что	10	9
16	то есть	42	9
17	то же	6	8
18	в том	26	8
19	со стороны	8	8
20	не может	22	8
21	уже не	2	8
22	если бы	14	7
23	том что	16	7
24	но в	9	7
25	одного из	2	6
26	к тому	4	6
27	не в	15	6
28	в самом	3	6
29	не мог	3	6
30	как бы	6	6
31	жизни и	2	6
32	во втором	5	6
33	или в	2	6
34	в себе	13	6
35	в его	5	6
36	в этой	3	6
37	в своей	3	5
38	так и	13	5
39	тем самым	4	5
40	столь же	3	5
41	потому что	52	5
42	точки зрения	8	5
43	слова в	2	4
44	никогда не	4	4
45	из этих	4	4
46	что на	6	4
47	все же	6	4
48	для него	4	4
49	то в	5	4
50	но не	8	4
51	же время	4	4
52	прежде всего	4	4
53	еще не	6	4
54	имеет место	2	4
55	в ней	7	4
56	и тем	3	4
57	в нем	20	4
58	в мире	3	4
59	в первом	5	4
60	не по	4	4
61	по себе	10	4
62	как в	10	4
63	того что	8	4
64	того чтобы	2	4
65	хотя и	3	4
66	в то	4	4
67	о том	2	4
68	в одном	8	4
69	в сознании	3	4
70	не существует	2	3
71	не менее	6	3
72	тому как	4	3
73	что в	22	3
74	однако в	4	3
75	в своем	3	3
76	это не	7	3
77	в жизни	3	3
78	тем не	6	3
79	у нас	2	3
80	и как	6	3
81	в начале	2	3
82	когда в	3	3
83	в целом	2	3
84	но как	3	3
85	для того	3	3
86	и о	2	3
87	он не	3	3
88	отношению к	13	3
89	по отношению	13	3
90	быть не	4	3
91	не было	4	3
92	но при	3	3
93	в слове	8	3
94	мы не	10	3
95	в глазах	3	3
96	и то	3	3
97	и с	3	3
98	подобно тому	3	3
99	как будто	2	3
100	и все	3	3
101	могло бы	3	3
102	между тем	5	3
103	стало быть	2	3
104	зависит от	5	2
105	что одно	2	2
106	по мере	6	2
107	для них	2	2
108	в этих	7	2
109	не могло	3	2
110	язык как	7	2
111	в сущности	2	2
112	в свою	4	2
113	на то	2	2
114	о его	2	2
115	как мы	2	2
116	же в	2	2
117	она может	3	2
118	с ее	2	2
119	и того	2	2
120	свою очередь	4	2
121	все что	2	2
122	она не	3	2
123	а его	3	2
124	к ним	2	2
125	никак не	2	2
126	не имеет	5	2
127	оно не	3	2
128	лица и	2	2
129	хотя бы	2	2
130	не будет	2	2
131	вместе с	8	2
132	заключает в	2	2
133	только на	3	2
134	другой стороны	5	2
135	только что	2	2
136	не могла	2	2
137	и только	2	2
138	если не	2	2
139	ключ к	2	2
140	сознания в	2	2
141	что не	10	2
142	тем же	2	2
143	и даже	4	2
144	и притом	4	2
145	с другой	7	2
146	и для	5	2
147	друг друга	5	2
148	столько же	3	2
149	в таком	5	2
150	сказать что	3	2
151	во всяком	3	2
152	мы можем	2	2
153	и от	3	2
154	с языком	2	2
155	связи с	3	2
156	что мы	4	2
157	дело в	2	2
158	так сказать	2	2
159	с ним	3	2
160	как она	3	2
