N	2gram	Tiupa_Anal_3	Formalny
1	и не	12	30
2	и в	18	27
3	может быть	9	25
4	не может	2	24
5	так и	14	21
6	и его	13	19
7	таким образом	4	18
8	в этом	14	18
9	а не	9	17
10	точки зрения	3	16
11	самом деле	2	16
12	в нем	2	15
13	то же	3	15
14	как и	14	14
15	с точки	2	14
16	не в	6	12
17	и от	2	11
18	в самом	5	11
19	в жизни	2	11
20	но и	13	10
21	лишь в	5	9
22	не только	22	9
23	что в	9	8
24	при этом	11	8
25	в пределах	4	8
26	как бы	10	8
27	отнюдь не	4	8
28	и все	2	8
29	то что	2	8
30	как раз	7	8
31	входит в	2	8
32	только в	2	8
33	не менее	4	7
34	в том	9	7
35	же время	3	7
36	все это	3	7
37	в искусстве	2	7
38	в то	3	7
39	его в	3	7
40	между тем	5	7
41	с тем	2	7
42	совершенно не	2	7
43	в его	7	7
44	там где	2	7
45	с другой	7	6
46	всяком случае	2	6
47	все эти	2	6
48	здесь и	3	6
49	но в	2	6
50	произведения как	2	6
51	что он	4	6
52	еще не	6	6
53	было бы	3	6
54	все же	4	6
55	и для	2	6
56	в данном	4	6
57	во всяком	2	6
58	и ее	2	6
59	вместе с	2	6
60	никогда не	5	5
61	в каждом	3	5
62	в дальнейшем	2	5
63	что они	3	5
64	не является	5	5
65	другой стороны	5	5
66	в ней	2	5
67	в литературу	2	5
68	в результате	5	5
69	но не	7	5
70	и потому	2	5
71	сводится к	2	5
72	без исключения	3	5
73	тому как	2	5
74	тем что	2	5
75	так сказать	2	5
76	уже в	3	4
77	прежде всего	5	4
78	к тому	6	4
79	да и	2	4
80	и как	4	4
81	в большинстве	2	4
82	в целом	3	4
83	данном случае	3	4
84	со стороны	9	4
85	о том	6	4
86	как это	3	4
87	мы можем	2	4
88	по себе	4	4
89	не есть	4	4
90	в ее	3	4
91	в романе	2	4
92	том что	12	4
93	как в	3	4
94	роль в	3	4
95	в слове	5	4
96	мы не	3	4
97	могут быть	2	4
98	подобно тому	3	4
99	бы и	2	3
100	столь же	4	3
101	это не	2	3
102	в конце	5	3
103	те же	2	3
104	можно сказать	4	3
105	по отношению	7	3
106	той же	5	3
107	этом отношении	3	3
108	произведения и	2	3
109	высказывания как	2	3
110	и на	4	3
111	сказать что	2	3
112	нуждается в	2	3
113	он и	3	3
114	от его	2	3
115	в них	2	3
116	всякое высказывание	2	3
117	того же	5	3
118	во всех	2	3
119	отношению к	7	3
120	дело с	3	3
121	в произведении	3	3
122	а и	4	3
123	в той	2	3
124	уже не	5	3
125	жизнь и	3	3
126	в себе	2	3
127	или иной	5	2
128	в этой	6	2
129	очевидно что	2	2
130	в общем	2	2
131	ни для	2	2
132	известной степени	3	2
133	нам кажется	2	2
134	дело не	3	2
135	что она	2	2
136	в своем	4	2
137	отношения к	2	2
138	и даже	8	2
139	одной и	2	2
140	одну из	2	2
141	из этих	3	2
142	с его	8	2
143	только не	3	2
144	однако в	5	2
145	поэтому в	2	2
146	не как	2	2
147	к этому	3	2
148	с ее	3	2
149	говорить о	3	2
150	то в	2	2
151	одна из	2	2
152	не от	2	2
153	в сущности	5	2
154	этого слова	2	2
155	даже в	2	2
156	что и	5	2
157	тем не	2	2
158	так в	3	2
159	в отличие	2	2
160	это и	2	2
161	до известной	3	2
162	или точнее	2	2
163	дело в	2	2
164	героя и	4	2
165	здесь не	3	2
166	отличие от	2	2
167	ничего не	3	2
