N	2gram	Nazirov_Tv_1	Marksizm
1	может быть	5	28
2	и в	21	19
3	как бы	17	19
4	и не	7	19
5	не может	4	18
6	то же	13	16
7	и его	6	16
8	в этом	6	15
9	таким образом	5	14
10	так сказать	2	14
11	не только	7	13
12	в нем	3	11
13	вовсе не	5	11
14	не в	2	10
15	но и	3	10
16	том что	11	10
17	так и	2	10
18	для него	6	9
19	при этом	7	9
20	в основе	2	9
21	как и	12	9
22	самом деле	2	9
23	а не	5	9
24	отнюдь не	5	8
25	же время	12	8
26	в то	15	8
27	с его	11	8
28	только в	5	8
29	никогда не	3	7
30	в том	7	7
31	но в	7	7
32	прежде всего	4	7
33	одна из	2	7
34	на самом	3	7
35	к тому	2	6
36	и как	4	6
37	в свою	7	6
38	в самом	3	6
39	в направлении	2	6
40	и все	6	6
41	хотя бы	5	6
42	самого начала	3	5
43	в их	3	5
44	так же	3	5
45	и на	7	5
46	к этому	2	5
47	и того	2	5
48	того же	2	5
49	в его	13	5
50	все же	5	5
51	с самого	3	5
52	в данном	2	5
53	это не	4	4
54	то что	8	4
55	и тем	2	4
56	влияние на	2	4
57	того что	3	4
58	сказать что	2	4
59	а как	2	4
60	что он	6	4
61	в основном	4	4
62	этой связи	2	4
63	только на	2	4
64	в себе	2	4
65	не существует	3	3
66	перед нами	2	3
67	в этих	2	3
68	с другой	3	3
69	и от	4	3
70	в двух	2	3
71	здесь мы	2	3
72	в этой	5	3
73	не имеют	4	3
74	в ней	2	3
75	в котором	6	3
76	а в	6	3
77	о том	6	3
78	так как	3	3
79	подхода к	3	3
80	в качестве	2	3
81	одной из	4	3
82	он не	8	3
83	что и	2	3
84	не будет	2	3
85	в своей	4	3
86	мысли и	4	3
87	только что	2	3
88	в отличие	2	3
89	той же	3	3
90	могут быть	2	3
91	отличие от	2	3
92	место в	3	2
93	уже в	3	2
94	что в	12	2
95	все более	2	2
96	в одной	2	2
97	не знает	2	2
98	до конца	2	2
99	не так	3	2
100	и у	2	2
101	одним из	4	2
102	жизни и	3	2
103	в своем	4	2
104	именно в	2	2
105	и даже	3	2
106	и с	3	2
107	по крайней	2	2
108	xix века	6	2
109	то есть	12	2
110	стремится к	3	2
111	у него	7	2
112	в жизни	2	2
113	но не	3	2
114	крайней мере	2	2
115	приводит к	2	2
116	еще более	2	2
117	что не	2	2
118	и он	2	2
119	или в	2	2
120	свидетельствует о	2	2
121	в виде	3	2
122	на протяжении	3	2
123	далеко не	3	2
124	вместе с	2	2
