N	2gram	Bakhtin_fo_1	FransuaR
1	и в	50	49
2	то есть	33	32
3	прежде всего	15	19
4	в его	13	18
5	не только	9	17
6	и его	16	17
7	и на	8	17
8	и не	14	15
9	в этом	25	15
10	в них	4	13
11	только в	4	13
12	но и	8	13
13	как и	8	11
14	как бы	2	11
15	и т.п	4	11
16	xvii веке	2	11
17	в xvii	3	10
18	вовсе не	13	10
19	все это	4	9
20	в романе	32	9
21	для него	2	9
22	xvii века	2	9
23	и др	9	9
24	в нем	24	9
25	в сущности	3	8
26	отношение к	2	8
27	до нас	5	8
28	все же	6	7
29	один из	3	7
30	жизни и	8	7
31	не может	6	7
32	таким образом	11	7
33	то же	11	7
34	все эти	9	7
35	как мы	14	7
36	именно в	3	6
37	то что	6	6
38	в литературе	16	6
39	xviii века	3	6
40	в истории	2	6
41	же время	9	6
42	здесь в	2	6
43	мы уже	11	6
44	времени и	10	6
45	во всех	6	6
46	так и	12	6
47	рядом с	2	6
48	с их	2	6
49	сказать что	3	6
50	и с	4	6
51	но он	2	6
52	точки зрения	5	6
53	в то	9	6
54	так как	6	6
55	с его	9	5
56	никогда не	2	5
57	в своем	4	5
58	уже в	2	5
59	выражение в	2	5
60	в начале	3	5
61	но не	5	5
62	при этом	3	5
63	может быть	11	5
64	в основном	5	5
65	и потому	3	5
66	уже говорили	3	5
67	в своей	2	5
68	в особенности	9	5
69	с точки	2	5
70	роль в	9	5
71	в последующие	4	4
72	с другой	2	4
73	и во	7	4
74	в жизни	6	4
75	и к	2	4
76	в себе	3	4
77	том что	4	4
78	но все	5	4
79	одна из	2	4
80	в этих	3	4
81	значение в	5	4
82	и до	5	4
83	сих пор	3	4
84	этот процесс	5	4
85	до сих	3	4
86	в форме	3	4
87	отношения к	3	4
88	не было	7	4
89	а в	3	4
90	мы находим	2	4
91	лишь в	6	4
92	характер и	7	4
93	тем что	2	4
94	там где	2	4
95	с ним	2	4
96	но в	10	4
97	например у	3	3
98	место в	2	3
99	но они	3	3
100	всех этих	5	3
101	с одной	3	3
102	в течение	2	3
103	жизни в	8	3
104	в одном	3	3
105	человека и	11	3
106	его целом	2	3
107	же в	3	3
108	в ее	6	3
109	в том	9	3
110	да и	3	3
111	во всем	2	3
112	в значительной	2	3
113	одной стороны	2	3
114	было бы	2	3
115	в самом	8	3
116	жизни это	2	3
117	раз в	4	3
118	с ее	6	3
119	ни в	8	3
120	этом отношении	3	3
121	и все	6	3
122	и других	3	3
123	также и	2	3
124	их в	3	3
125	и вообще	2	3
126	далеко не	2	3
127	и это	4	3
128	мире и	2	3
129	в виду	3	3
130	весь роман	2	2
131	автора и	2	2
132	человек в	3	2
133	связи с	6	2
134	что в	5	2
135	не были	2	2
136	для них	3	2
137	очень характерно	2	2
138	на фоне	3	2
139	могут быть	5	2
140	мы еще	3	2
141	в нашем	2	2
142	до наших	2	2
143	понятно что	4	2
144	в качестве	3	2
145	характерно что	4	2
146	точку зрения	2	2
147	никто не	2	2
148	вследствие этого	3	2
149	на площади	4	2
150	в условиях	7	2
151	и были	2	2
152	в отношении	3	2
153	в самой	2	2
154	по существу	12	2
155	в дальнейшем	6	2
156	сочетается с	2	2
157	лишь как	2	2
158	связаны с	3	2
159	есть в	2	2
160	по сравнению	2	2
161	ничего не	9	2
162	до конца	4	2
163	в пределах	5	2
164	еще не	5	2
165	и другие	5	2
166	со всеми	3	2
167	этого момента	2	2
168	совершенно не	2	2
169	у него	6	2
170	в новое	3	2
171	в какой-то	3	2
172	хотя и	3	2
173	в ней	4	2
174	к ней	2	2
175	себе и	3	2
176	на этой	4	2
177	вполне понятно	4	2
178	по преимуществу	3	2
179	вместе с	3	2
180	ее в	2	2
181	в их	6	2
182	в связи	5	2
183	были в	2	2
184	на материале	2	2
185	того чтобы	5	2
186	и эта	2	2
187	и даже	2	2
188	и прежде	2	2
189	так же	6	2
190	на основе	2	2
191	жизнь и	4	2
192	во всяком	3	2
193	одной из	3	2
194	и следовательно	4	2
195	на литературу	2	2
196	и еще	2	2
197	во все	2	2
198	мы должны	2	2
199	сравнению с	2	2
200	в конце	9	2
201	тех же	2	2
202	здесь не	4	2
