N	2gram	Voloshinov_1	EvropaiC
1	таким образом	9	32
2	в том	3	31
3	и в	16	24
4	том что	3	20
5	все эти	5	19
6	не может	8	18
7	то что	3	17
8	может быть	17	15
9	точки зрения	8	13
10	до сих	3	12
11	сих пор	3	12
12	самом деле	6	12
13	в этом	9	12
14	все это	4	11
15	с этим	2	11
16	мы знаем	3	10
17	как бы	5	10
18	все что	4	10
19	во всех	3	10
20	так и	4	10
21	при этом	6	9
22	как и	2	9
23	того же	2	9
24	что в	3	9
25	в самом	2	8
26	так же	2	8
27	знаем что	2	8
28	и все	4	8
29	с точки	6	8
30	не менее	2	7
31	для этого	2	7
32	но и	4	7
33	и не	4	7
34	из этих	2	7
35	о том	2	7
36	что он	2	7
37	в психике	8	7
38	на самом	4	7
39	в этой	4	6
40	в общем	3	6
41	и на	4	6
42	так как	4	6
43	с ним	2	6
44	еще не	5	6
45	что и	2	6
46	мы можем	9	6
47	только в	4	6
48	вместе с	3	6
49	что это	2	5
50	у него	2	5
51	и их	4	5
52	и с	8	5
53	его в	4	5
54	между собою	2	5
55	но в	4	5
56	сравнению с	3	5
57	к этому	2	5
58	и к	6	5
59	по своему	2	5
60	в его	4	5
61	не только	7	5
62	не будет	2	5
63	по сравнению	3	5
64	и для	2	5
65	не могут	2	4
66	никогда не	2	4
67	и проч	9	4
68	отношение к	5	4
69	а потому	4	4
70	между собой	2	4
71	мы уже	2	4
72	он не	2	4
73	не есть	2	4
74	совершенно не	8	4
75	то же	2	4
76	если мы	2	4
77	хотя бы	4	4
78	в области	3	4
79	же как	2	3
80	в этих	3	3
81	для нас	2	3
82	в нем	4	3
83	на этой	3	3
84	что оно	2	3
85	и других	2	3
86	и наконец	4	3
87	и по	2	3
88	а в	3	3
89	в начале	2	3
90	что мы	2	3
91	и потому	3	3
92	можно назвать	2	3
93	прежде всего	9	3
94	в жизни	2	3
95	и может	4	3
96	конечно не	6	3
97	и вообще	2	3
98	и это	6	3
99	в частности	2	2
100	себя и	2	2
101	и говорить	2	2
102	с этой	2	2
103	что на	2	2
104	как мы	4	2
105	сводится к	2	2
106	для него	6	2
107	на этом	3	2
108	к ним	2	2
109	всяком случае	3	2
110	с ее	4	2
111	другими словами	2	2
112	те же	3	2
113	в одно	2	2
114	они не	2	2
115	ни было	2	2
116	с ними	4	2
117	и так	2	2
118	но как	2	2
119	говорить о	2	2
120	все то	2	2
121	в один	4	2
122	во всяком	3	2
123	в основе	3	2
124	отнюдь не	4	2
125	в них	2	2
126	на первый	2	2
127	только то	2	2
128	тех же	3	2
129	было бы	2	2
130	жизни и	3	2
131	нечего и	2	2
132	как не	2	2
133	между ними	3	2
134	потому и	2	2
135	и ее	4	2
136	ту же	2	2
137	не знает	2	2
138	есть в	2	2
139	и только	9	2
