N	3gram	Potebnia_M_1	Vvedenie
1	и т д	4	36
2	для того чтобы	2	20
3	в том что	13	12
4	тем не менее	6	8
5	не может быть	9	8
6	в этом смысле	4	8
7	то же время	3	6
8	в то же	3	6
9	в применении к	2	6
10	и т п	2	5
11	с другой стороны	5	5
12	может быть названо	3	4
13	по крайней мере	2	4
14	на этот вопрос	2	4
15	не только в	3	4
16	с одной стороны	3	4
17	что иное как	2	4
18	само по себе	4	4
19	не что иное	2	4
20	и в этом	6	4
21	по отношению к	13	4
22	и в том	3	3
23	с тем что	3	3
24	сама по себе	3	3
25	и той же	3	2
26	а так как	3	2
27	дело в том	2	2
28	с точки зрения	3	2
29	не могут быть	2	2
30	не в том	4	2
31	языка и его	5	2
32	подобно тому как	3	2
33	одной и той	3	2
