N	3gram	Losev_Prob_3	Myslijsy
1	в том что	9	7
2	само по себе	3	5
3	по крайней мере	5	5
4	о том что	3	5
5	в этом случае	5	5
6	не может быть	5	5
7	можно сказать что	2	4
8	то же самое	7	4
9	и в этом	6	4
10	тем не менее	10	4
11	до сих пор	2	4
12	сам по себе	6	4
13	и то что	7	4
14	во всяком случае	6	3
15	с точки зрения	2	3
16	в то же	4	3
17	и т д	13	3
18	на самом деле	2	3
19	когда мы говорим	3	3
20	то есть от	2	2
21	сами по себе	6	2
22	и как бы	2	2
23	в данном случае	7	2
24	в том смысле	3	2
25	только потому что	2	2
26	не что иное	4	2
27	в таком случае	4	2
28	то есть в	3	2
29	мы могли бы	3	2
30	что и в	3	2
31	что иное как	4	2
