N	2gram	Tiupa_Disk_1	Komedia
1	и в	16	26
2	в г	2	17
3	и не	11	14
4	едва ли	2	14
5	к тому	5	12
6	так и	8	12
7	и его	2	12
8	в том	23	11
9	тому же	5	11
10	может быть	17	11
11	но и	14	10
12	на протяжении	2	10
13	в этом	15	10
14	что в	4	9
15	столь же	3	9
16	том что	19	9
17	и на	5	7
18	из них	3	7
19	не только	28	7
20	что и	3	7
21	ли не	3	7
22	на себя	2	7
23	в своем	6	6
24	то что	5	6
25	еще не	14	6
26	в нем	9	6
27	потому что	4	6
28	в то	3	6
29	о том	8	6
30	таким образом	3	6
31	с его	4	5
32	к этому	2	5
33	что он	4	5
34	в качестве	34	5
35	один из	3	5
36	в истории	4	5
37	с этим	3	5
38	уже в	2	4
39	не менее	2	4
40	в частности	9	4
41	в них	4	4
42	прежде всего	11	4
43	как мы	2	4
44	как и	16	4
45	в целом	4	4
46	одной из	4	4
47	хотя и	2	4
48	в его	7	4
49	еще в	3	4
50	мира в	3	4
51	все же	3	4
52	в самом	3	4
53	более чем	2	4
54	точки зрения	3	4
55	в начале	2	4
56	только в	7	4
57	между тем	4	4
58	это было	2	4
59	том числе	2	3
60	о чем	2	3
61	в каждом	2	3
62	в тех	2	3
63	отношению к	9	3
64	связи с	4	3
65	но не	11	3
66	того же	3	3
67	во всех	5	3
68	же время	4	3
69	здесь в	2	3
70	например в	2	3
71	как правило	4	3
72	в котором	5	3
73	себя в	2	3
74	в своей	5	3
75	в их	5	3
76	по отношению	9	3
77	дело с	2	3
78	то же	7	3
79	не было	7	3
80	как в	10	3
81	а в	5	3
82	или в	2	3
83	человека в	2	3
84	тем что	3	3
85	не может	9	3
86	что касается	2	3
87	в этой	2	3
88	могла бы	2	3
89	но в	8	3
90	одновременно с	2	2
91	и есть	2	2
92	отнюдь не	8	2
93	однако в	3	2
94	не всегда	2	2
95	в какой	2	2
96	с другой	10	2
97	это не	3	2
98	представления о	2	2
99	в одной	3	2
100	в одном	2	2
101	и к	4	2
102	об этом	2	2
103	в ее	3	2
104	не в	7	2
105	в силу	5	2
106	х годов	2	2
107	в построении	2	2
108	на этом	2	2
109	по своему	3	2
110	своего времени	2	2
111	одной стороны	9	2
112	в действительности	3	2
113	или на	3	2
114	как не	3	2
115	на сцене	2	2
116	одним из	2	2
117	как бы	5	2
118	частности в	2	2
119	не является	4	2
120	в античной	2	2
121	говоря уже	2	2
122	хотя бы	3	2
123	отношение к	4	2
124	не говоря	2	2
125	со стороны	7	2
126	уже о	2	2
127	целый ряд	2	2
128	в отличие	5	2
129	с одной	9	2
130	то ли	2	2
131	и что	2	2
132	не более	2	2
133	в принципе	2	2
134	времени в	2	2
135	отличие от	5	2
136	роль в	7	2
137	не следует	2	2
138	во всяком	2	2
139	и во	2	2
140	следует признать	2	2
141	и ее	2	2
142	к его	2	2
143	и все	2	2
144	в первом	3	2
145	мы имеем	2	2
146	в виду	2	2
