N	2gram	Tiupa_Narr_2	Dialekti
1	и не	14	30
2	может быть	10	20
3	и в	13	19
4	не только	26	19
5	и т	2	17
6	а не	17	16
7	в себе	8	15
8	то что	8	14
9	что она	2	14
10	и даже	3	14
11	в том	14	14
12	как бы	6	14
13	потому что	2	14
14	вовсе не	2	13
15	но и	15	12
16	то же	4	12
17	точки зрения	5	12
18	и все	4	12
19	что это	4	10
20	как и	4	10
21	в нем	5	10
22	так и	9	10
23	том что	13	10
24	это не	3	10
25	сказать что	3	10
26	стало быть	2	10
27	времени и	4	9
28	никогда не	6	9
29	не может	8	9
30	личности в	2	8
31	прежде всего	6	8
32	с точки	2	8
33	не в	8	8
34	в этом	13	8
35	в своей	4	8
36	в душе	2	7
37	как это	4	7
38	но это	2	7
39	и к	6	7
40	что в	4	7
41	я не	5	6
42	что он	5	6
43	да и	3	6
44	что они	3	6
45	отнюдь не	4	6
46	в то	5	6
47	но не	3	6
48	того что	6	6
49	не могу	2	6
50	жизни и	4	6
51	не обязательно	2	5
52	должна быть	2	5
53	с другой	5	5
54	же время	3	5
55	в силу	4	5
56	по своему	2	5
57	можно сказать	6	5
58	в самом	2	5
59	что и	2	5
60	как раз	3	5
61	и что	2	5
62	только что	2	5
63	и его	3	5
64	говорить о	2	5
65	только в	11	5
66	о том	5	5
67	а потом	2	4
68	в своем	6	4
69	в ее	4	4
70	все же	6	4
71	при этом	14	4
72	еще не	2	4
73	той или	3	4
74	он не	5	4
75	хотя бы	2	4
76	таким образом	5	4
77	самом деле	3	4
78	и по	3	4
79	а в	9	4
80	в таком	3	4
81	одно из	2	4
82	но он	2	4
83	и когда	3	4
84	в другом	4	4
85	по своей	3	4
86	как он	2	4
87	с ним	4	4
88	не менее	4	3
89	и уже	4	3
90	и более	2	3
91	же как	2	3
92	о чем	2	3
93	с нею	2	3
94	об этом	4	3
95	уже не	4	3
96	в этой	4	3
97	было бы	2	3
98	себе и	2	3
99	у меня	2	3
100	мы имеем	3	3
101	в той	5	3
102	в данном	10	3
103	они не	2	3
104	о котором	3	3
105	в чем	2	3
106	ничего не	6	3
107	все его	4	3
108	зависит от	2	2
109	только не	2	2
110	в частности	11	2
111	мере в	2	2
112	что у	2	2
113	в какой	4	2
114	перед нами	4	2
115	в бытии	2	2
116	в конце	4	2
117	я уже	2	2
118	и пространства	2	2
119	на самом	2	2
120	именно в	2	2
121	он может	2	2
122	к тому	9	2
123	тем не	5	2
124	же в	4	2
125	эти два	2	2
126	что я	3	2
127	не будет	2	2
128	что с	2	2
129	своей природе	2	2
130	несмотря на	2	2
131	в ней	2	2
132	только к	3	2
133	раз в	2	2
134	себя в	2	2
135	в мире	4	2
136	на него	5	2
137	и личность	2	2
138	я сам	2	2
139	от всего	2	2
140	данном случае	6	2
141	жизни с	2	2
142	тому что	3	2
143	так же	2	2
144	т п	2	2
145	собственно говоря	2	2
146	с одной	5	2
147	как в	5	2
148	или иначе	2	2
149	с ними	3	2
150	в своих	2	2
151	в результате	2	2
152	между тем	3	2
153	в виде	2	2
154	во время	2	2
155	того или	3	2
156	все эти	3	2
157	в области	2	2
158	но в	6	2
159	в жизни	6	2
160	том как	2	2
