N	2gram	Bakhtin_Fr_7	UchenyiS
1	и в	41	14
2	а не	2	10
3	не только	5	10
4	и не	7	8
5	прежде всего	11	8
6	то что	8	7
7	в этом	15	7
8	не может	3	7
9	может быть	4	6
10	все это	10	5
11	то же	13	5
12	но и	9	4
13	в этой	13	4
14	в их	3	4
15	но в	8	3
16	как и	14	3
17	и то	2	3
18	в своей	3	3
19	же время	9	3
20	для него	6	3
21	это не	6	3
22	в то	10	3
23	было бы	4	3
24	и т.д	2	3
25	в области	2	3
26	ни было	2	3
27	том что	4	2
28	в том	11	2
29	по существу	8	2
30	мы не	2	2
31	с его	2	2
32	не есть	2	2
33	не в	9	2
34	и для	5	2
35	но это	3	2
36	нас в	3	2
37	только в	6	2
38	и с	4	2
39	тем что	3	2
40	что он	3	2
41	все они	6	2
42	и у	5	2
43	в себе	11	2
44	в конце	8	2
45	что все	2	2
46	этом отношении	2	2
47	ничего не	4	2
48	для всех	2	2
49	что и	5	2
50	в его	12	2
51	конце концов	4	2
52	таким образом	19	2
53	это было	2	2
