N	2gram	Medvedev_S_1	Problema
1	то что	2	38
2	и в	3	35
3	не только	3	24
4	том что	2	19
5	может быть	2	18
6	в этом	5	17
7	но и	2	16
8	только в	2	14
9	и что	2	13
10	в том	5	12
11	что в	2	11
12	тем более	2	10
13	еще не	2	10
14	для нас	3	9
15	было бы	2	8
16	в конце	2	7
17	в его	3	7
18	конце концов	2	7
19	как будто	2	6
20	в частности	2	5
21	то же	2	5
22	как же	3	4
23	как бы	2	4
24	все это	7	4
25	и только	3	4
26	таким образом	2	4
27	в результате	2	4
28	далеко не	2	4
29	как только	2	3
30	или даже	2	3
31	но ведь	3	3
32	это и	2	3
33	только как	2	3
34	не в	3	2
35	и мы	2	2
36	ведь это	2	2
