N	2gram	Propp_Morf_1	Narrotol
1	не только	4	32
2	может быть	52	25
3	но и	4	23
4	в качестве	5	21
5	и не	12	20
6	и в	13	19
7	в том	6	18
8	в этом	14	17
9	в частности	2	14
10	том что	4	14
11	не в	3	14
12	состоит в	2	13
13	а не	11	12
14	тогда как	2	12
15	представляет собой	17	12
16	то что	8	11
17	а в	7	11
18	не может	14	10
19	точки зрения	2	10
20	со стороны	3	9
21	так и	6	9
22	с другой	8	8
23	героя в	4	8
24	не является	3	8
25	как и	3	7
26	еще не	3	7
27	к тому	4	7
28	а также	4	7
29	все же	7	7
30	как в	3	7
31	по отношению	4	7
32	с его	2	6
33	что он	4	6
34	отношению к	4	6
35	то в	3	6
36	но не	4	6
37	как это	3	6
38	о том	2	6
39	но в	2	6
40	и как	5	5
41	можно сказать	2	5
42	не все	6	5
43	в форме	6	5
44	уже не	2	5
45	к нему	3	5
46	в этой	2	5
47	далеко не	5	5
48	перед нами	10	4
49	во втором	3	4
50	прежде всего	9	4
51	то же	7	4
52	же в	2	4
53	но все	3	4
54	было бы	3	4
55	связи с	10	4
56	вслед за	5	4
57	как бы	3	4
58	и тем	2	4
59	хотя бы	4	4
60	другой стороны	4	4
61	из которых	3	4
62	сказать что	2	4
63	только в	2	4
64	здесь не	2	4
65	не существует	3	3
66	не менее	5	3
67	а с	2	3
68	ни было	2	3
69	что в	8	3
70	могут быть	16	3
71	тем не	5	3
72	это и	2	3
73	что они	2	3
74	одна из	4	3
75	в сущности	3	3
76	хотя и	3	3
77	он не	3	3
78	из двух	2	3
79	если в	5	3
80	один из	5	3
81	не с	2	3
82	бы то	3	3
83	в первом	3	3
84	из них	3	3
85	на него	3	3
86	даже не	3	3
87	то ни	3	3
88	как мы	6	3
89	между тем	5	3
90	тем что	4	3
91	в то	3	3
92	как будто	2	3
93	независимо от	3	2
94	себя и	2	2
95	между собой	4	2
96	в какой	3	2
97	первом случае	3	2
98	оно не	2	2
99	та же	2	2
100	не всегда	9	2
101	в собственном	3	2
102	утверждать что	3	2
103	идет по	2	2
104	на первый	3	2
105	а по	3	2
106	по существу	12	2
107	более или	2	2
108	сюжета от	2	2
109	в пределах	3	2
110	она не	2	2
111	несмотря на	4	2
112	не от	2	2
113	например в	2	2
114	наряду с	5	2
115	в обоих	2	2
116	и др	10	2
117	нарушение запрета	2	2
118	не имеет	2	2
119	героя из	2	2
120	или менее	2	2
121	приводит к	2	2
122	который в	2	2
123	так же	3	2
124	не на	2	2
125	в связи	9	2
126	все эти	2	2
127	первый взгляд	3	2
128	самом деле	4	2
129	что мы	2	2
130	и для	2	2
131	с точки	2	2
132	это не	6	2
133	или в	4	2
134	можно было	2	2
135	тому как	5	2
136	в результате	7	2
137	однако в	2	2
138	подобно тому	6	2
139	и ее	3	2
140	но как	2	2
141	говорить о	3	2
142	со смертью	2	2
143	его в	2	2
144	представляют собой	11	2
145	а если	4	2
146	оно может	3	2
147	ничего не	4	2
148	мы имеем	9	2
149	то они	2	2
