N	2gram	Propp_Isto_6	Vvedenie
1	и т	10	42
2	т д	8	36
3	т е	22	35
4	и в	26	32
5	в том	12	31
6	в этом	12	30
7	может быть	11	26
8	том что	10	26
9	не только	10	22
10	таким образом	12	19
11	то что	6	16
12	потому что	13	15
13	так как	18	15
14	не может	6	14
15	в нем	8	13
16	о том	7	13
17	со стороны	3	13
18	того что	2	12
19	и не	10	12
20	как на	3	12
21	представляет собой	2	12
22	в его	5	12
23	только в	5	12
24	как мы	4	11
25	в данном	3	11
26	что в	12	10
27	но в	7	9
28	и как	2	9
29	то же	5	9
30	с другой	10	8
31	это не	4	8
32	не в	3	8
33	прежде всего	4	7
34	вопрос о	3	7
35	о котором	2	7
36	но не	2	7
37	было бы	2	7
38	все же	8	7
39	можно было	2	7
40	из этих	4	6
41	до сих	4	6
42	один из	3	6
43	но и	9	6
44	в то	5	6
45	его в	5	6
46	как он	6	6
47	с тем	4	6
48	вовсе не	2	6
49	как и	5	6
50	в качестве	3	6
51	сих пор	4	6
52	а именно	9	6
53	и его	7	6
54	тем что	5	6
55	в руки	2	6
56	и это	8	6
57	так что	3	5
58	так например	3	5
59	как бы	4	5
60	и тем	4	5
61	данном случае	3	5
62	другой стороны	8	5
63	в которых	2	5
64	сказать что	3	5
65	в них	3	5
66	есть и	4	5
67	или вообще	2	5
68	не есть	2	5
69	вместе с	8	5
70	а не	2	5
71	что не	2	5
72	могут быть	3	5
73	независимо от	3	4
74	связана с	3	4
75	с этой	2	4
76	этом случае	6	4
77	одной стороны	7	4
78	о чем	2	4
79	всяком случае	2	4
80	здесь нет	2	4
81	по отношению	2	4
82	с одной	7	4
83	и что	5	4
84	не имеет	2	4
85	а в	3	4
86	что иное	2	4
87	как это	5	4
88	мы имеем	14	4
89	е в	2	4
90	от этого	3	4
91	что он	9	4
92	еще не	9	4
93	отношению к	2	4
94	в своей	3	4
95	только что	2	4
96	в виде	6	4
97	уже не	7	4
98	и то	3	4
99	во всяком	2	4
100	и ее	3	4
101	в себе	3	4
102	за собой	5	3
103	зависит от	4	3
104	что это	2	3
105	в частности	3	3
106	в этих	2	3
107	вообще не	3	3
108	можно сказать	2	3
109	к тому	2	3
110	но все	2	3
111	в этой	2	3
112	при этом	3	3
113	в ней	5	3
114	не вполне	2	3
115	то это	5	3
116	мы видели	11	3
117	на этой	2	3
118	на том	8	3
119	что она	3	3
120	в своем	2	3
121	все эти	8	3
122	и других	3	3
123	и вот	3	3
124	так же	2	3
125	и на	12	3
126	при помощи	3	3
127	есть еще	2	3
128	если бы	3	3
129	однако в	2	3
130	к этому	3	3
131	стороны и	2	3
132	в одном	3	3
133	в свое	2	3
134	а также	4	3
135	что и	4	3
136	своего рода	2	3
137	в очень	4	3
138	что же	2	3
139	вот почему	3	3
140	как будто	3	3
141	или как	2	3
142	как только	3	2
143	все время	2	2
144	же как	3	2
145	должна быть	3	2
146	и другие	3	2
147	никогда не	13	2
148	точно так	2	2
149	это еще	3	2
150	из его	2	2
151	но это	4	2
152	и сам	2	2
153	и др	2	2
154	после этого	4	2
155	от того	3	2
156	в форме	2	2
157	не было	3	2
158	именно на	2	2
159	и те	2	2
160	в более	6	2
161	и с	6	2
162	говорит он	2	2
163	с этим	2	2
164	он и	2	2
165	когда мы	2	2
166	так и	5	2
167	уже знаем	2	2
168	на котором	3	2
169	влечет за	2	2
170	у нас	5	2
171	того же	2	2
172	что мы	2	2
173	мы должны	2	2
174	жизни и	2	2
175	мы уже	6	2
176	и до	2	2
177	него в	2	2
178	с соответствующими	2	2
179	тогда как	2	2
180	того как	3	2
181	и сейчас	2	2
182	из которых	3	2
183	те кто	2	2
184	мы не	6	2
185	у них	4	2
186	мы можем	7	2
187	здесь не	2	2
188	одна из	2	2
189	ничего не	2	2
