N	2gram	Losev_Vesc_1	Sovremen
1	не может	17	17
2	точки зрения	5	12
3	может быть	16	12
4	таким образом	8	11
5	мы не	6	9
6	в этом	4	7
7	и в	21	7
8	и не	29	6
9	как и	8	6
10	в результате	3	6
11	мы можем	4	6
12	ничего не	3	6
13	что же	8	5
14	прежде всего	9	5
15	все эти	3	5
16	с точки	3	5
17	как бы	12	4
18	если мы	8	4
19	жизни и	2	4
20	это не	5	4
21	а в	4	4
22	не только	36	4
23	же это	4	4
24	в том	8	4
25	их в	3	4
26	из них	4	4
27	мы должны	2	4
28	так как	7	4
29	все же	4	3
30	мы получим	2	3
31	отнюдь не	5	3
32	может не	2	3
33	все это	5	3
34	отличается от	7	3
35	в конце	2	3
36	то же	6	3
37	у всех	3	3
38	ясно что	8	3
39	в нем	2	3
40	а не	19	3
41	для нас	2	3
42	у нас	7	3
43	когда мы	6	3
44	не в	5	3
45	в этой	3	3
46	одна из	5	3
47	еще не	8	3
48	ли мы	2	3
49	было бы	14	3
50	в одном	2	3
51	и все	5	3
52	в первом	2	3
53	в себе	14	3
54	что она	15	3
55	но в	5	3
56	и потому	5	3
57	совершенно не	5	2
58	этих двух	2	2
59	только один	2	2
60	не знаем	2	2
61	что это	13	2
62	не менее	3	2
63	и есть	26	2
64	у него	2	2
65	на их	2	2
66	жизни мы	2	2
67	то и	4	2
68	и во	3	2
69	что все	2	2
70	с одной	3	2
71	еще более	2	2
72	как мы	4	2
73	уже не	9	2
74	в свою	4	2
75	самом деле	4	2
76	и что	15	2
77	в и	2	2
78	и пр	6	2
79	что такое	12	2
80	и даже	6	2
81	тем не	3	2
82	она может	4	2
83	той же	2	2
84	то ни	4	2
85	мы видим	2	2
86	во всяком	3	2
87	свою очередь	4	2
88	на этом	2	2
89	с этим	3	2
90	теперь же	2	2
91	что в	9	2
92	говорить о	6	2
93	тот же	3	2
94	в самом	9	2
95	в его	2	2
96	всяком случае	2	2
